Date,Open,High,Low,Close,Volume
2020-11-02,150.0,165.0,150.0,155.0,15321
2020-11-09,145.0,155.0,125.0,135.0,21110
2020-11-16,145.0,145.0,125.0,135.0,21543
2020-11-23,140.0,140.0,125.0,135.0,225
2020-11-30,130.0,135.0,125.0,125.0,2111
2020-12-07,125.0,160.0,125.0,160.0,46281
2020-12-14,150.0,185.0,145.0,185.0,10811
2020-12-21,180.0,190.0,175.0,185.0,10994
2020-12-28,190.0,200.0,190.0,200.0,2200
2021-01-04,185.0,230.0,185.0,230.0,7397
2021-01-11,230.0,230.0,215.0,215.0,80
2021-01-18,200.0,200.0,180.0,180.0,10540
2021-01-25,180.0,190.0,180.0,190.0,19049
2021-02-01,190.0,215.0,190.0,215.0,5386
2021-02-08,215.0,215.0,215.0,215.0,2821
2021-02-15,215.0,215.0,215.0,215.0,126
2021-02-22,215.0,215.0,205.0,205.0,60
2021-03-01,205.0,205.0,205.0,205.0,336
2021-03-08,195.0,195.0,195.0,195.0,2810
2021-03-15,190.0,190.0,190.0,190.0,5465
2021-03-22,190.0,190.0,180.0,180.0,8561
2021-03-29,180.0,180.0,180.0,180.0,463
2021-04-05,190.0,190.0,190.0,190.0,210
2021-04-12,190.0,190.0,155.0,155.0,3848
2021-04-19,155.0,160.0,150.0,150.0,2368
2021-04-26,150.0,180.0,150.0,180.0,36010
2021-05-03,190.0,245.0,190.0,245.0,1577
2021-05-10,260.0,320.0,260.0,320.0,15702
2021-05-17,320.0,320.0,300.0,320.0,13959
2021-05-24,320.0,320.0,290.0,290.0,2423
2021-05-31,300.0,300.0,280.0,300.0,12578
2021-06-07,300.0,300.0,250.0,250.0,10014
2021-06-14,265.0,265.0,250.0,265.0,7255
2021-06-21,265.0,365.0,265.0,365.0,4403
2021-06-28,390.0,475.0,385.0,440.0,36760
2021-07-05,440.0,450.0,370.0,370.0,13006
2021-07-12,365.0,400.0,345.0,370.0,9942
2021-07-19,395.0,430.0,395.0,430.0,2636
2021-07-26,420.0,430.0,365.0,370.0,2062
2021-08-02,390.0,395.0,300.0,300.0,46572
2021-08-09,305.0,350.0,305.0,330.0,28356
2021-08-16,350.0,390.0,315.0,390.0,107675
2021-08-23,385.0,545.0,385.0,545.0,57690
2021-08-30,545.0,625.0,510.0,530.0,81633
2021-09-06,565.0,590.0,500.0,560.0,44125
2021-09-13,560.0,560.0,495.0,515.0,6648
2021-09-20,510.0,550.0,490.0,550.0,9266
2021-09-27,545.0,550.0,500.0,550.0,59770
2021-10-04,550.0,560.0,500.0,530.0,38419
2021-10-11,525.0,525.0,490.0,500.0,14360
2021-10-18,500.0,535.0,500.0,510.0,2615
2021-10-25,530.0,530.0,490.0,490.0,6002
2021-11-01,490.0,525.0,490.0,510.0,6794
2021-11-08,585.0,670.0,585.0,635.0,28631
2021-11-15,635.0,635.0,550.0,590.0,4932
2021-11-22,550.0,590.0,505.0,580.0,46358
2021-11-29,580.0,580.0,535.0,575.0,4931
2021-12-06,580.0,580.0,540.0,550.0,7223
2021-12-13,525.0,575.0,525.0,535.0,3132
2021-12-20,535.0,610.0,535.0,610.0,11815
2021-12-27,610.0,615.0,605.0,610.0,14372
2022-01-03,615.0,625.0,580.0,605.0,8126
2022-01-10,605.0,605.0,565.0,570.0,3551
2022-01-17,590.0,590.0,560.0,570.0,11860
2022-01-24,580.0,595.0,565.0,590.0,3972
2022-01-31,590.0,625.0,590.0,625.0,20258
2022-02-07,600.0,650.0,600.0,650.0,10623
2022-02-14,695.0,800.0,650.0,760.0,21454
2022-02-21,790.0,955.0,760.0,950.0,25895
2022-02-28,900.0,940.0,735.0,780.0,33342
2022-03-07,770.0,800.0,710.0,740.0,10506
2022-03-14,740.0,755.0,650.0,755.0,6190
2022-03-21,750.0,770.0,715.0,755.0,8174
2022-03-28,750.0,825.0,750.0,805.0,6595
2022-04-04,825.0,845.0,770.0,770.0,17541
2022-04-11,775.0,835.0,775.0,790.0,4603
2022-04-18,790.0,820.0,770.0,800.0,14533
2022-04-25,805.0,870.0,800.0,810.0,11463
2022-05-02,810.0,850.0,810.0,840.0,5222
2022-05-09,795.0,800.0,580.0,625.0,38194
2022-05-16,590.0,630.0,590.0,630.0,10254
2022-05-23,630.0,655.0,590.0,655.0,7599
2022-05-30,655.0,675.0,600.0,655.0,13095
2022-06-06,655.0,655.0,610.0,655.0,6332
2022-06-13,645.0,645.0,600.0,640.0,885
2022-06-20,640.0,655.0,610.0,645.0,4916
2022-06-27,640.0,675.0,640.0,645.0,249
2022-07-04,645.0,645.0,610.0,610.0,3035
2022-07-11,645.0,670.0,610.0,645.0,1457
2022-07-18,645.0,670.0,640.0,670.0,1387
2022-07-25,670.0,725.0,670.0,725.0,2354
2022-08-01,725.0,725.0,670.0,715.0,1146
2022-08-08,670.0,710.0,660.0,700.0,2241
2022-08-15,695.0,700.0,650.0,700.0,7311
2022-08-22,685.0,705.0,645.0,700.0,8940
2022-08-29,695.0,720.0,695.0,710.0,4856
2022-09-05,710.0,725.0,680.0,680.0,5966
2022-09-12,680.0,715.0,635.0,635.0,858
2022-09-19,605.0,665.0,605.0,660.0,2874
2022-09-26,660.0,715.0,630.0,700.0,4964
2022-10-03,700.0,700.0,695.0,695.0,225
2022-10-10,645.0,700.0,645.0,695.0,920
2022-10-17,690.0,695.0,645.0,650.0,27924
2022-10-24,650.0,715.0,610.0,715.0,16749
2022-10-31,710.0,760.0,670.0,760.0,25061
2022-11-07,805.0,805.0,750.0,795.0,6564
2022-11-14,795.0,795.0,740.0,780.0,4473
2022-11-21,725.0,775.0,725.0,725.0,22
2022-11-28,725.0,725.0,675.0,720.0,89
2022-12-05,720.0,720.0,665.0,710.0,1069
2022-12-12,710.0,800.0,710.0,800.0,6686
2022-12-19,795.0,800.0,740.0,740.0,63
2022-12-26,685.0,750.0,685.0,750.0,410
2023-01-02,800.0,800.0,735.0,800.0,2532
2023-01-09,750.0,750.0,690.0,690.0,224
2023-01-16,645.0,645.0,635.0,635.0,1428
2023-01-23,600.0,640.0,600.0,640.0,901
2023-01-30,640.0,700.0,640.0,700.0,1241
2023-02-06,700.0,700.0,695.0,695.0,253
2023-02-13,645.0,650.0,610.0,650.0,3975
2023-02-20,650.0,695.0,650.0,695.0,3080
2023-02-27,695.0,695.0,650.0,685.0,132
2023-03-06,635.0,695.0,635.0,695.0,180
2023-03-13,690.0,690.0,650.0,680.0,416
2023-03-20,680.0,690.0,650.0,685.0,699
2023-03-27,635.0,690.0,610.0,690.0,1721
2023-04-03,640.0,690.0,640.0,680.0,2931
2023-04-17,680.0,680.0,630.0,675.0,605
2023-04-24,665.0,675.0,665.0,670.0,425
2023-05-01,670.0,670.0,665.0,665.0,3011
2023-05-08,620.0,665.0,620.0,650.0,971
2023-05-15,620.0,690.0,605.0,605.0,1715
2023-05-22,615.0,670.0,615.0,670.0,173
2023-05-29,660.0,670.0,650.0,670.0,1316
2023-06-05,660.0,690.0,630.0,680.0,2470
2023-06-12,630.0,680.0,630.0,680.0,818
2023-06-19,675.0,680.0,675.0,675.0,215
2023-06-26,645.0,680.0,645.0,680.0,440
2023-07-03,680.0,695.0,650.0,695.0,10981
2023-07-10,695.0,700.0,695.0,700.0,234
2023-07-17,695.0,700.0,690.0,690.0,812
2023-07-24,685.0,690.0,640.0,690.0,590
2023-07-31,690.0,700.0,685.0,700.0,1568
2023-08-07,700.0,700.0,635.0,700.0,2974
2023-08-14,700.0,705.0,650.0,680.0,92
2023-08-21,675.0,680.0,675.0,675.0,490
2023-08-28,660.0,675.0,645.0,650.0,461
2023-09-04,605.0,650.0,605.0,610.0,1581
2023-09-11,610.0,630.0,610.0,630.0,1152
2023-09-18,630.0,675.0,630.0,660.0,2165
2023-09-25,660.0,660.0,620.0,645.0,760
2023-10-02,645.0,645.0,635.0,635.0,481
2023-10-09,635.0,640.0,580.0,640.0,3385
2023-10-16,645.0,645.0,610.0,635.0,478
2023-10-23,635.0,635.0,615.0,620.0,83
2023-10-30,620.0,620.0,610.0,615.0,363
2023-11-06,615.0,630.0,550.0,630.0,2438
2023-11-13,590.0,630.0,585.0,600.0,1526
2023-11-20,600.0,600.0,595.0,595.0,418
2023-11-27,595.0,660.0,590.0,635.0,10535
2023-12-04,630.0,635.0,590.0,615.0,1362
2023-12-11,615.0,690.0,600.0,690.0,4435
2023-12-18,690.0,705.0,615.0,680.0,4909
2023-12-25,630.0,730.0,630.0,730.0,12668
2024-01-01,700.0,755.0,680.0,725.0,5750
2024-01-08,725.0,740.0,650.0,685.0,60667
2024-01-15,685.0,730.0,670.0,670.0,429
2024-01-22,670.0,670.0,605.0,605.0,326
2024-01-29,605.0,635.0,585.0,635.0,5426
2024-02-05,590.0,680.0,590.0,630.0,6956
2024-02-12,600.0,630.0,580.0,590.0,3575
2024-02-19,600.0,670.0,585.0,670.0,3538
2024-02-26,620.0,700.0,620.0,700.0,4556
2024-03-04,690.0,750.0,690.0,720.0,2011
2024-03-11,690.0,720.0,635.0,680.0,3946
2024-03-18,675.0,680.0,625.0,675.0,218
2024-03-25,625.0,675.0,610.0,670.0,3851
2024-04-01,670.0,670.0,620.0,660.0,839
2024-04-08,650.0,675.0,610.0,665.0,901
2024-04-15,620.0,665.0,615.0,645.0,2442
2024-04-22,600.0,660.0,605.0,650.0,904
2024-04-29,695.0,780.0,650.0,740.0,24197
2024-05-06,740.0,780.0,710.0,760.0,11470
2024-05-13,750.0,770.0,700.0,750.0,8893
2024-05-20,745.0,750.0,705.0,750.0,2406
2024-05-27,750.0,765.0,695.0,765.0,2912
2024-06-03,750.0,860.0,735.0,830.0,21776
2024-06-10,830.0,845.0,800.0,835.0,3815
2024-06-17,835.0,890.0,780.0,870.0,7248
2024-06-24,870.0,880.0,815.0,840.0,2826
2024-07-01,835.0,845.0,740.0,795.0,6931
2024-07-08,795.0,810.0,720.0,795.0,1953
2024-07-15,795.0,795.0,760.0,790.0,1164
2024-07-22,785.0,790.0,715.0,770.0,1360
2024-07-29,770.0,785.0,720.0,775.0,1411
2024-08-05,775.0,780.0,725.0,770.0,2361
2024-08-12,770.0,770.0,715.0,765.0,1294
2024-08-19,765.0,770.0,765.0,770.0,1541
2024-08-26,770.0,770.0,715.0,770.0,40079
2024-09-02,770.0,785.0,730.0,730.0,2337
2024-09-09,740.0,785.0,730.0,780.0,6303
2024-09-16,725.0,785.0,715.0,770.0,1315
2024-09-23,770.0,785.0,715.0,775.0,155324
2024-09-30,770.0,780.0,720.0,780.0,8291
2024-10-07,785.0,785.0,740.0,765.0,887
2024-10-14,715.0,770.0,710.0,765.0,40821
2024-10-21,760.0,815.0,740.0,800.0,15268
2024-10-28,780.0,800.0,715.0,740.0,2594
2024-11-04,740.0,815.0,685.0,815.0,5828
2024-11-11,800.0,815.0,710.0,780.0,332
2024-11-18,740.0,780.0,725.0,765.0,1841
2024-11-25,765.0,780.0,715.0,765.0,5288
2024-12-02,765.0,780.0,740.0,780.0,3103
2024-12-09,725.0,780.0,715.0,770.0,474
2024-12-16,760.0,770.0,705.0,740.0,2614
2024-12-23,740.0,750.0,685.0,750.0,1109
2024-12-30,745.0,750.0,745.0,750.0,397
2025-01-06,750.0,750.0,720.0,720.0,47
2025-01-13,720.0,720.0,625.0,710.0,1741
2025-01-20,670.0,710.0,620.0,690.0,1058
2025-01-27,690.0,750.0,650.0,745.0,33363
2025-02-03,745.0,745.0,710.0,745.0,228
2025-02-10,745.0,745.0,685.0,735.0,873
2025-02-17,735.0,740.0,700.0,725.0,895
2025-02-24,720.0,740.0,700.0,740.0,3664
2025-03-03,730.0,740.0,690.0,740.0,2905
2025-03-10,740.0,740.0,685.0,685.0,1976
2025-03-17,680.0,730.0,680.0,720.0,2274
2025-03-24,720.0,730.0,680.0,730.0,2313
2025-03-31,730.0,740.0,680.0,730.0,5311
2025-04-07,730.0,730.0,680.0,720.0,426
2025-04-14,680.0,720.0,575.0,620.0,8364
2025-04-21,620.0,660.0,535.0,615.0,17051
2025-04-28,615.0,615.0,570.0,600.0,2046
2025-05-05,600.0,605.0,555.0,585.0,8899
2025-05-12,585.0,585.0,520.0,560.0,21894
2025-05-19,550.0,600.0,530.0,570.0,7762
2025-05-26,565.0,570.0,535.0,545.0,53202
2025-06-02,545.0,555.0,525.0,550.0,2920
2025-06-09,550.0,555.0,530.0,555.0,3364
2025-06-16,555.0,590.0,525.0,590.0,14150
2025-06-23,590.0,615.0,580.0,585.0,11762
2025-06-30,585.0,600.0,560.0,595.0,5779
2025-07-07,595.0,600.0,570.0,595.0,4144
2025-07-14,600.0,600.0,555.0,590.0,1671
2025-07-21,590.0,600.0,580.0,595.0,599
2025-07-28,590.0,595.0,550.0,590.0,3104
2025-08-04,550.0,600.0,550.0,600.0,2435
2025-08-11,595.0,600.0,595.0,595.0,2481
2025-08-18,600.0,600.0,550.0,595.0,1128
2025-08-25,600.0,600.0,560.0,600.0,8872
2025-09-01,620.0,645.0,600.0,645.0,3145
2025-09-08,645.0,690.0,645.0,660.0,5668
2025-09-15,660.0,665.0,650.0,665.0,3979
2025-09-22,665.0,685.0,645.0,685.0,7193
2025-09-29,685.0,690.0,645.0,680.0,5409
2025-10-06,660.0,690.0,660.0,660.0,6032
2025-10-13,655.0,690.0,650.0,670.0,9950
2025-10-20,670.0,725.0,670.0,700.0,9460
2025-10-27,700.0,700.0,640.0,700.0,7380
2025-11-03,695.0,720.0,700.0,720.0,14983
