Date,Open,High,Low,Close,Volume
2020-11-13,3950,4000,3950,4000,160
2020-11-16,3995,4000,3995,4000,393
2020-11-17,3995,4100,3995,4100,1484
2020-11-18,4000,4000,4000,4000,100
2020-11-19,4000,4100,3995,4100,33
2020-11-20,4100,4300,4100,4300,5016
2020-11-23,4295,4620,4200,4620,278
2020-11-24,4620,4965,4620,4965,1056
2020-11-25,4955,5335,4700,5335,4067
2020-11-26,5200,5300,5000,5300,1484
2020-11-27,5300,5300,5000,5295,733
2020-11-30,5295,5300,5200,5300,1810
2020-12-01,5000,5500,5000,5500,3678
2020-12-02,5245,5295,5090,5295,5804
2020-12-03,5290,5300,5080,5295,2498
2020-12-04,5100,5300,4920,4920,489
2020-12-07,4950,5100,4920,5100,1207
2020-12-08,5100,5480,5100,5480,1197
2020-12-10,5250,5500,5070,5500,751
2020-12-11,5150,5500,5090,5500,1481
2020-12-14,5090,5395,5090,5300,1902
2020-12-15,5050,5500,4905,5500,8137
2020-12-16,5090,5500,5090,5500,2460
2020-12-17,5100,5900,5100,5900,13097
2020-12-18,5500,6250,5495,6250,3160
2020-12-21,6145,6245,5785,6245,712
2020-12-22,5780,6080,5780,6080,378
2020-12-23,6000,6195,5625,6195,2121
2020-12-24,6000,6000,5735,6000,79
2020-12-28,5625,5900,5620,5900,1866
2020-12-29,5460,6000,5460,6000,14536
2020-12-30,5650,5995,5650,5995,18488
2020-12-31,6000,6000,6000,6000,10000
2021-01-04,5550,5550,5550,5550,41
2021-01-05,5195,5200,5195,5200,114
2021-01-06,4850,5200,4850,5100,154
2021-01-07,4810,4810,4810,4810,152
2021-01-08,4810,4810,4810,4810,13
2021-01-11,4475,4475,4465,4470,105
2021-01-12,4470,4470,4470,4470,38
2021-01-13,4135,4135,4135,4135,599
2021-01-14,4165,4165,4135,4135,296
2021-01-15,4160,4160,4000,4095,56
2021-01-18,4090,4095,4085,4095,72
2021-01-19,4050,4095,3850,3850,298
2021-01-20,3850,3850,3590,3590,57
2021-01-21,3600,3855,3590,3855,142
2021-01-22,4095,4095,4090,4095,181
2021-01-25,4160,4160,4095,4095,65
2021-01-26,4095,4095,4095,4095,16
2021-01-27,4150,4150,4150,4150,25
2021-01-28,4150,4150,4150,4150,1
2021-01-29,4400,4400,4400,4400,2
2021-02-01,4500,4500,4500,4500,37
2021-02-02,4500,4600,4500,4500,2959
2021-02-03,4400,4600,4400,4500,5690
2021-02-04,4550,4550,4400,4400,419
2021-02-05,4500,4500,4400,4400,19
2021-02-08,4400,4400,4400,4400,16
2021-02-09,4400,4550,4150,4550,193
2021-02-10,4445,4445,4445,4445,10
2021-02-11,4440,4440,4150,4150,128
2021-02-12,4100,4100,4095,4095,47
2021-02-15,4095,4095,4095,4095,8
2021-02-16,4000,4000,3995,3995,327
2021-02-17,3900,3900,3855,3855,6
2021-02-18,3850,3850,3850,3850,4
2021-02-19,3645,3645,3565,3565,112
2021-02-22,3405,3500,3400,3400,2254
2021-02-23,3200,3450,3145,3400,1181
2021-02-24,3475,3625,3475,3500,426
2021-02-25,3500,3600,3400,3600,61
2021-02-26,3500,3500,3500,3500,675
2021-03-01,3500,3500,3400,3500,266
2021-03-02,3500,3500,3500,3500,90
2021-03-03,3450,3450,3400,3450,467
2021-03-04,3490,3490,3450,3450,80
2021-03-05,3495,3495,3495,3495,271
2021-03-08,3755,3755,3750,3755,227
2021-03-09,3790,3995,3755,3890,816
2021-03-10,3755,3995,3755,3800,3034
2021-03-11,3850,3850,3800,3850,81
2021-03-12,3800,3800,3600,3600,321
2021-03-15,3600,3850,3600,3850,159
2021-03-16,3600,3850,3600,3650,203
2021-03-17,3650,3650,3650,3650,114
2021-03-18,3800,3800,3650,3650,450
2021-03-22,3700,3795,3700,3795,52
2021-03-23,3750,3795,3515,3515,7280
2021-03-24,3605,3605,3605,3605,10
2021-03-25,3675,3675,3555,3600,137
2021-03-29,3600,3600,3525,3600,56
2021-03-30,3525,3525,3525,3525,79
2021-03-31,3530,3550,3525,3550,87
2021-04-01,3600,3600,3600,3600,224
2021-04-02,3555,3800,3555,3800,185
