Date,Open,High,Low,Close,Volume
2020-12-31,3765,6250,3700,6000,129558
2021-03-31,5550,5550,3145,3550,31279
2021-06-30,3600,5600,3555,5190,96485
2021-09-30,5190,6605,4650,5925,136280
2021-12-31,5900,6500,5550,6185,69269
2022-03-31,6185,6185,5320,5800,80636
2022-06-30,5800,5995,5200,5850,98673
2022-09-30,5700,5970,5000,5300,59442
2022-12-31,5295,6200,4205,5975,183509
2023-03-31,5890,5890,4700,4900,50493
2023-06-30,4900,5375,4705,5245,29229
2023-09-30,5250,6350,5000,6315,51011
2023-12-31,6300,6315,5355,6000,108449
2024-03-31,5990,6000,5250,5690,58798
2024-06-30,5650,6300,5090,6290,54568
2024-09-30,6295,6595,5865,6300,124074
2024-12-31,6300,7955,6100,7090,98530
2025-03-31,7090,9240,7050,8400,101683
2025-06-30,8400,10650,7595,10210,146160
2025-09-30,10400,11815,9000,11500,126054
2025-12-31,11450,12000,10970,12000,43878
