Date,Open,High,Low,Close,Volume
2020-11-09,3700,4000,3700,4000,2398
2020-11-16,3925,4000,3720,4000,15057
2020-11-23,3995,4620,3995,4620,6911
2020-11-30,4620,5335,4620,5300,9150
2020-12-07,5000,5500,4920,5100,13676
2020-12-14,5100,5500,5070,5300,5331
2020-12-21,5050,6250,4905,6245,27566
2020-12-28,5780,6195,5620,5900,4444
2021-01-04,5460,6000,5460,5550,43065
2021-01-11,5195,5200,4465,4470,538
2021-01-18,4470,4470,4000,4095,1061
2021-01-25,4050,4160,3590,4095,743
2021-02-01,4095,4500,4095,4500,81
2021-02-08,4500,4600,4400,4400,9103
2021-02-15,4400,4550,4095,4095,386
2021-02-22,4000,4000,3400,3400,2703
2021-03-01,3200,3625,3145,3500,2609
2021-03-08,3500,3755,3400,3755,1135
2021-03-15,3790,3995,3600,3850,4411
2021-03-22,3600,3850,3600,3795,819
2021-03-29,3750,3795,3515,3600,7483
2021-04-05,3525,3800,3525,3800,575
2021-04-12,3650,3800,3555,3750,2021
2021-04-19,3750,3890,3610,3750,4754
2021-04-26,3800,3850,3605,3800,1178
2021-05-03,3800,4200,3630,4150,12726
2021-05-10,4195,4200,3885,3885,7254
2021-05-17,3700,3885,3700,3885,1994
2021-05-24,3805,4085,3800,3850,977
2021-05-31,3855,4450,3855,4450,3968
2021-06-07,4500,4900,4200,4900,31508
2021-06-14,4810,5000,4800,4995,15447
2021-06-21,4800,5600,4625,5600,7638
2021-06-28,5495,5500,5000,5200,5193
2021-07-05,5155,5195,4650,4950,2043
2021-07-12,4950,5100,4800,4950,3577
2021-07-19,4655,5000,4655,4800,584
2021-07-26,4850,4850,4700,4750,17195
2021-08-02,4805,5000,4760,5000,1598
2021-08-09,5000,5100,4900,5000,24535
2021-08-16,5000,5085,4950,4995,19965
2021-08-23,4995,5100,4955,5095,2802
2021-08-30,5100,5100,4995,5000,7754
2021-09-06,5100,5100,4800,5000,4359
2021-09-13,5010,6605,5000,6190,20529
2021-09-20,5935,6200,5900,6195,16713
2021-09-27,6110,6195,6100,6115,4485
2021-10-04,6115,6115,5795,6000,12533
2021-10-11,5995,5995,5550,5710,3305
2021-10-18,5800,6195,5600,5920,9393
2021-10-25,5920,6100,5900,5905,3257
2021-11-01,5920,6450,5920,6400,4949
2021-11-08,6300,6300,6010,6030,2935
2021-11-15,6035,6190,6015,6190,3583
2021-11-22,6105,6200,6100,6150,7556
2021-11-29,6150,6300,6120,6160,3924
2021-12-06,6195,6500,6010,6250,10271
2021-12-13,6210,6495,6210,6210,1096
2021-12-20,6210,6400,6000,6090,1270
2021-12-27,6090,6200,5700,6175,3328
2022-01-03,6095,6250,5690,6000,13554
2022-01-10,6000,6000,5800,6000,3332
2022-01-17,5550,6000,5500,6000,2277
2022-01-24,6000,6000,5625,5980,382
2022-01-31,5550,6000,5550,5995,2143
2022-02-07,5755,5995,5750,5750,1346
2022-02-14,5750,5800,5320,5750,4479
2022-02-21,5750,5750,5500,5750,6881
2022-02-28,5750,5750,5605,5650,8714
2022-03-07,5750,5750,5350,5750,6634
2022-03-14,5750,6000,5550,5900,15244
2022-03-21,5815,5900,5540,5600,10271
2022-03-28,5510,5950,5400,5835,7255
2022-04-04,5940,5940,5650,5885,12995
2022-04-11,5900,5900,5650,5795,2408
2022-04-18,5795,5800,5500,5700,38287
2022-04-25,5700,5995,5515,5750,7311
2022-05-02,5760,5970,5750,5850,539
2022-05-09,5750,5850,5400,5750,13581
2022-05-16,5800,5850,5405,5850,1479
2022-05-23,5850,5850,5405,5600,3838
2022-05-30,5595,5600,5300,5500,3987
2022-06-06,5500,5840,5305,5320,1912
2022-06-13,5200,5610,5200,5225,4483
2022-06-20,5300,5585,5200,5585,4683
2022-06-27,5400,5800,5270,5750,3872
2022-07-04,5750,5965,5650,5850,11027
2022-07-11,5850,5850,5590,5595,3047
2022-07-18,5590,5600,5350,5600,1833
2022-07-25,5590,5970,5590,5890,1811
2022-08-01,5850,5965,5600,5700,2339
2022-08-08,5700,5875,5275,5275,2726
2022-08-15,5305,5670,5275,5670,1835
2022-08-22,5650,5670,5235,5650,1435
2022-08-29,5600,5955,5000,5350,13844
2022-09-05,5350,5650,5300,5600,4749
2022-09-12,5605,5610,5205,5600,3579
2022-09-19,5400,5600,5230,5230,6480
2022-09-26,5250,5450,5220,5450,13294
2022-10-03,5550,5550,5050,5200,2669
2022-10-10,5200,5225,5000,5000,5658
2022-10-17,5000,5095,4900,4920,6106
2022-10-24,4900,5095,4900,5000,20805
2022-10-31,5000,5000,4905,5000,2234
2022-11-07,4905,5000,4580,4895,2099
2022-11-14,4895,5000,4650,4805,2029
2022-11-21,4995,4995,4500,4750,5070
2022-11-28,4600,4600,4400,4550,5103
2022-12-05,4500,4560,4205,4560,8110
2022-12-12,4560,5000,4400,5000,2372
2022-12-19,4745,5900,4745,5895,43747
2022-12-26,5455,6200,5455,6100,31884
2023-01-02,5995,6100,5600,5975,47916
2023-01-09,5890,5890,5450,5490,264
2023-01-16,5445,5445,4800,4800,414
2023-01-23,4700,5000,4700,5000,3123
2023-01-30,4900,4995,4725,4980,516
2023-02-06,4720,4975,4720,4975,1049
2023-02-13,4970,4970,4800,4900,1820
2023-02-20,4980,5000,4755,4900,6717
2023-02-27,4755,5095,4755,4990,3621
2023-03-06,4985,4985,4750,4850,13359
2023-03-13,4850,4900,4800,4800,8601
2023-03-20,4800,5000,4800,5000,4244
2023-03-27,4960,5000,4960,4995,4527
2023-04-03,4995,5000,4900,4990,2947
2023-04-10,4950,5000,4950,5000,2483
2023-04-17,4990,5000,4750,4995,1207
2023-04-24,4800,4800,4705,4705,785
2023-05-01,4705,5050,4705,5000,1221
2023-05-08,4900,5375,4900,5305,1213
2023-05-15,5305,5305,5000,5100,2396
2023-05-22,5010,5150,4900,5100,1556
2023-05-29,5100,5150,5000,5000,1855
2023-06-05,4815,5300,4815,5290,2667
2023-06-12,5000,5295,5000,5280,938
2023-06-19,5200,5300,5180,5290,901
2023-06-26,5290,5300,5200,5245,5416
2023-07-03,5150,5250,5150,5245,8425
2023-07-10,5245,5750,5000,5750,3144
2023-07-17,5725,5900,5270,5900,6743
2023-07-24,5510,5900,5350,5795,2783
2023-07-31,5700,5795,5455,5700,505
2023-08-07,5695,5700,5450,5555,2583
2023-08-14,5555,5795,5400,5460,4158
2023-08-21,5460,5715,5460,5460,2799
2023-08-28,5470,5900,5460,5770,9313
2023-09-04,5770,6100,5410,5900,10015
2023-09-11,5900,6200,5735,6200,1611
2023-09-18,6100,6350,6050,6105,1943
2023-09-25,6300,6350,6105,6345,2194
2023-10-02,6110,6345,5875,6310,1035
2023-10-09,6310,6310,5890,6050,2171
2023-10-16,6055,6315,6050,6300,20923
2023-10-23,6200,6300,5880,6265,5208
2023-10-30,6265,6270,6005,6195,1593
2023-11-06,6195,6260,6010,6260,583
2023-11-13,6260,6260,6000,6255,3438
2023-11-20,6250,6255,6000,6200,794
2023-11-27,6050,6200,6000,6005,8776
2023-12-04,6090,6300,5425,5785,24617
2023-12-11,5800,6000,5785,5900,4158
2023-12-18,5900,5900,5750,5795,2575
2023-12-25,5795,5795,5355,5700,3391
2024-01-01,5790,6020,5500,6000,29864
2024-01-08,5990,6000,5460,5795,2623
2024-01-15,5795,5795,5355,5750,1654
2024-01-22,5700,5750,5320,5400,5022
2024-01-29,5450,5735,5400,5735,1140
2024-02-05,5655,5800,5585,5700,4112
2024-02-12,5700,5800,5650,5790,879
2024-02-19,5795,5800,5650,5750,2193
2024-02-26,5750,5800,5500,5750,2103
2024-03-04,5455,5750,5455,5700,17435
2024-03-11,5675,5700,5490,5600,6694
2024-03-18,5450,5600,5320,5600,1049
2024-03-25,5590,5600,5250,5600,5203
2024-04-01,5600,5695,5550,5690,8691
2024-04-08,5650,5690,5550,5600,3195
2024-04-15,5600,5695,5550,5675,1658
2024-04-22,5560,6000,5090,5795,13138
2024-04-29,5790,6000,5795,5800,1950
2024-05-06,5800,5800,5690,5800,2152
2024-05-13,5800,5800,5690,5800,1885
2024-05-20,5700,5800,5600,5800,2930
2024-05-27,5800,6000,5700,6000,3858
2024-06-03,6000,6000,5900,5995,5992
2024-06-10,5995,6000,5900,5995,5558
2024-06-17,6300,6300,5970,6250,1586
2024-06-24,6250,6250,5905,6230,4573
2024-07-01,6250,6300,5950,6295,9961
2024-07-08,6300,6300,5900,6150,26035
2024-07-15,6145,6195,5905,6000,7994
2024-07-22,5905,6000,5905,6000,1676
2024-07-29,6000,6000,5910,6000,1395
2024-08-05,6000,6000,5865,5980,5437
2024-08-12,5900,6000,5900,5950,2572
2024-08-19,5950,6300,5950,5990,5357
2024-08-26,5990,6400,5990,6400,10825
2024-09-02,6400,6500,6360,6495,8554
2024-09-09,6450,6595,6300,6490,8181
2024-09-16,6450,6495,6300,6300,8544
2024-09-23,6450,6450,6150,6395,22400
2024-09-30,6300,6400,6150,6300,11236
2024-10-07,6300,6455,6285,6455,6755
2024-10-14,6455,6455,6100,6410,13906
2024-10-21,6400,6440,6390,6435,5617
2024-10-28,6455,7950,6435,7900,9673
2024-11-04,7950,7955,7500,7505,3163
2024-11-11,7505,7600,7305,7445,4840
2024-11-18,7455,7650,7400,7500,4389
2024-11-25,7400,7650,7300,7600,21242
2024-12-02,7500,7600,7310,7445,2209
2024-12-09,7445,7445,7400,7445,2531
2024-12-16,7440,7445,7100,7390,6168
2024-12-23,7400,7400,7115,7300,8326
2024-12-30,7200,7300,7000,7095,9149
2025-01-06,7095,7200,7015,7200,2743
2025-01-13,7200,7350,7150,7350,9594
2025-01-20,7300,7400,7250,7400,11237
2025-01-27,7395,7650,7305,7550,5556
2025-02-03,7410,7800,7350,7650,3130
2025-02-10,7600,8500,7600,8210,3751
2025-02-17,8250,8620,8010,8620,5382
2025-02-24,8995,9100,8620,9050,11503
2025-03-03,9075,9240,8500,8830,3999
2025-03-10,8750,8900,8200,8900,11243
2025-03-17,8950,9000,8330,8800,10392
2025-03-24,8990,9000,8505,8890,12633
2025-03-31,8890,8890,8100,8400,11082
2025-04-07,8400,8400,8005,8250,11959
2025-04-14,8200,8250,7595,8100,8194
2025-04-21,8100,8200,8000,8190,1996
2025-04-28,8190,8200,8000,8110,4535
2025-05-05,8125,8300,7950,8200,16764
2025-05-12,8215,8700,8200,8690,3743
2025-05-19,8700,8855,8500,8500,13557
2025-05-26,8500,8650,8400,8585,17853
2025-06-02,8490,8985,8455,8985,21271
2025-06-09,8985,9000,8780,8985,3074
2025-06-16,8985,9000,8605,8990,21687
2025-06-23,8990,9995,8990,9940,9573
2025-06-30,9940,10650,9890,10210,11954
2025-07-07,10400,10455,9500,9850,11886
2025-07-14,9850,9850,9000,9450,7403
2025-07-21,9450,9900,9450,9900,4694
2025-07-28,9900,9900,9500,9700,5983
2025-08-04,9700,10000,9525,9680,5601
2025-08-11,9695,9695,9220,9500,23897
2025-08-18,9450,9575,9275,9500,5837
2025-08-25,9500,9700,9470,9685,8880
2025-09-01,9705,10000,9550,9995,15365
2025-09-08,9995,10195,9905,9995,4092
2025-09-15,10005,10210,9995,10500,10967
2025-09-22,10500,11815,10210,11465,14817
2025-09-29,11460,11465,11050,11220,5767
2025-10-06,11250,11500,10970,11000,4342
2025-10-13,11000,11490,10985,11300,15758
2025-10-20,11300,11300,11005,11200,4921
2025-10-27,11200,11495,10995,11490,10726
2025-11-03,11540,12240,11205,11300,18329
2025-11-10,11300,11490,11000,11490,3164
