Date,Open,High,Low,Close,Volume
2020-11-30,330,350,315,320,31512
2020-12-31,300,350,300,320,19308
2021-01-31,320,690,320,690,38926
2021-02-28,700,745,550,705,10285
2021-03-31,705,750,620,620,3055
2021-04-30,620,1020,550,1020,7392
2021-05-31,1095,3405,1095,3400,25291
2021-06-30,3390,3600,3000,3600,32943
2021-07-31,3600,4265,3200,3695,22116
2021-08-31,3695,4000,3410,3900,10406
2021-09-30,3910,4000,3700,3700,301167
2021-10-31,3705,5645,3650,5200,83637
2021-11-30,5000,5050,4200,4700,42876
2021-12-31,4675,4710,4550,4605,62681
2022-01-31,4670,5745,4605,5745,38258
2022-02-28,5730,5730,5000,5650,18829
2022-03-31,5550,6750,5550,6750,13792
2022-04-30,6750,8570,5700,7755,53138
2022-05-31,7325,7680,6700,7535,69668
2022-06-30,7500,7520,6810,7180,33817
2022-07-31,7190,7695,6230,6940,50626
2022-08-31,6940,7150,6290,7150,86770
2022-09-30,7145,7150,6155,7100,137780
2022-10-31,7100,7100,6050,6400,10799
2022-11-30,6350,7095,5950,7095,17153
2022-12-31,6770,8550,6770,8245,142918
2023-01-31,7990,7990,6670,6895,7251
2023-02-28,6825,7495,6825,7000,47463
2023-03-31,6950,7140,6750,6900,19847
2023-04-30,6805,7500,6505,7475,26550
2023-05-31,7475,7980,7195,7730,5069
2023-06-30,7695,7730,7310,7695,5485
2023-07-31,7730,9400,7680,9295,21600
2023-08-31,9290,9295,7900,8150,89957
2023-09-30,8150,9400,7900,9400,24147
2023-10-31,9000,9400,7045,7900,9104
2023-11-30,7900,7900,6890,7785,33806
2023-12-31,7785,7785,6410,7385,77208
2024-01-31,7295,7400,6755,7175,1946
2024-02-29,7175,7175,6475,6990,3324
2024-03-31,6990,6995,6250,6900,19921
2024-04-30,6890,6900,6500,6900,10304
2024-05-31,6900,7750,6600,7490,36975
2024-06-30,7500,7995,7350,7500,72665
2024-07-31,7500,8000,7300,8000,90587
2024-08-31,8000,8000,6950,7000,92112
2024-09-30,7100,7190,6965,7000,61441
2024-10-31,7000,7995,6900,7875,248358
2024-11-30,7875,7995,7700,7995,125572
2024-12-31,7995,7995,7850,7960,31767
2025-01-31,7960,8400,7885,8400,38104
2025-02-28,8390,9485,8320,9400,77309
2025-03-31,9355,10300,9095,9995,119768
2025-04-30,9995,10000,9160,9990,41610
2025-05-31,9900,10700,9500,10700,104317
2025-06-30,10640,11500,10640,11140,35194
2025-07-31,11135,12100,11135,12005,63430
2025-08-31,12005,12850,11900,12535,43165
2025-09-30,12555,13400,12500,12935,40820
2025-10-31,12935,15395,12935,14110,18779
2025-11-30,13060,14110,10340,10340,3685
