Date,Open,High,Low,Close,Volume
2020-12-31,340,350,300,320,19979
2021-03-31,320,750,320,620,52266
2021-06-30,620,3600,550,3600,65626
2021-09-30,3600,4265,3200,3700,333689
2021-12-31,3705,5645,3650,4605,189194
2022-03-31,4670,6750,4605,6750,70879
2022-06-30,6750,8570,5700,7180,156623
2022-09-30,7190,7695,6155,7100,275176
2022-12-31,7100,8550,5950,8245,170870
2023-03-31,7990,7990,6670,6900,74561
2023-06-30,6805,7980,6505,7695,37104
2023-09-30,7730,9400,7680,9400,135704
2023-12-31,9000,9400,6410,7385,120118
2024-03-31,7295,7400,6250,6900,25191
2024-06-30,6890,7995,6500,7500,119944
2024-09-30,7500,8000,6950,7000,244140
2024-12-31,7000,7995,6900,7960,405697
2025-03-31,7960,10300,7885,9995,235181
2025-06-30,9995,11500,9160,11140,181121
2025-09-30,11135,13400,11135,12935,147415
2025-12-31,12935,15395,10250,11100,32752
