Date,Open,High,Low,Close,Volume
2020-11-09,330,330,330,330,200
2020-11-16,325,340,325,340,30641
2020-11-23,340,350,340,340,340
2020-11-30,315,320,315,320,331
2020-12-07,300,300,300,300,923
2020-12-14,320,320,300,320,13557
2020-12-21,320,325,320,320,992
2020-12-28,340,350,340,350,1965
2021-01-04,345,345,320,340,2274
2021-01-11,350,400,350,400,3045
2021-01-18,400,460,400,460,7136
2021-01-25,450,590,435,590,13799
2021-02-01,625,740,595,740,17851
2021-02-08,740,745,685,700,1995
2021-02-15,700,700,555,555,564
2021-02-22,550,645,550,645,3189
2021-03-01,645,730,625,725,1319
2021-03-08,720,750,720,730,1644
2021-03-15,730,730,720,720,153
2021-03-22,710,710,695,695,235
2021-03-29,645,645,645,645,608
2021-04-05,645,645,615,620,595
2021-04-12,615,615,570,580,1845
2021-04-19,550,590,550,590,332
2021-04-26,590,770,585,770,4035
2021-05-03,825,1095,825,1095,1010
2021-05-10,1175,1555,1175,1555,1246
2021-05-17,1670,1925,1670,1925,215
2021-05-24,2065,2555,2065,2555,9929
2021-05-31,2745,3405,2745,3400,13801
2021-06-07,3390,3390,3000,3000,10310
2021-06-14,3010,3400,3005,3390,4879
2021-06-21,3255,3500,3250,3395,1641
2021-06-28,3395,3585,3395,3585,430
2021-07-05,3585,3600,3240,3500,18277
2021-07-12,3400,3545,3200,3540,9074
2021-07-19,3540,3970,3540,3970,1180
2021-07-26,3970,4265,3755,3765,5462
2021-08-02,3785,3995,3690,3690,4070
2021-08-09,3685,3800,3615,3675,2311
2021-08-16,3650,3900,3410,3700,3990
2021-08-23,3900,3900,3810,3820,402
2021-08-30,3900,4000,3825,3890,3094
2021-09-06,3900,3950,3850,3885,4230
2021-09-13,3900,3950,3850,3900,2073
2021-09-20,3945,4000,3900,3910,1670
2021-09-27,3900,4000,3800,3840,119004
2021-10-04,3840,3900,3650,3900,201312
2021-10-11,3900,4000,3895,3900,47315
2021-10-18,3900,4000,3900,4000,1724
2021-10-25,4000,5325,3920,5300,1510
2021-11-01,5590,5645,5200,5200,6311
2021-11-08,5000,5000,4650,4670,3242
2021-11-15,4670,4670,4200,4210,6542
2021-11-22,4210,4670,4210,4665,2675
2021-11-29,4620,5050,4550,4675,26007
2021-12-06,4695,4710,4600,4670,24365
2021-12-13,4670,4670,4555,4670,22980
2021-12-20,4600,4670,4550,4635,10641
2021-12-27,4650,4650,4600,4650,7306
2022-01-03,4600,4670,4600,4670,1894
2022-01-10,4670,4900,4615,4900,6919
2022-01-17,4900,4900,4670,4890,21017
2022-01-24,4890,5150,4820,5140,4725
2022-01-31,5130,5745,5110,5745,5502
