Date,Open,High,Low,Close,Volume
2020-12-31,3000,3000,2650,2865,349860
2021-03-31,2865,3495,2800,3385,546747
2021-06-30,3400,3695,3055,3300,469254
2021-09-30,3280,4115,3205,4045,544047
2021-12-31,4020,4200,3800,3945,778074
2022-03-31,3950,4990,3825,4980,430940
2022-06-30,4980,4985,3750,3760,472014
2022-09-30,3770,4100,3700,4075,302927
2022-12-31,3900,4000,3195,3200,225298
2023-03-31,3200,3595,3150,3300,263049
2023-06-30,3250,3350,2690,2690,242608
2023-09-30,2695,2710,2165,2200,343304
2023-12-31,2200,2365,2000,2280,310958
2024-03-31,2285,2395,2010,2300,307190
2024-06-30,2300,2880,2250,2800,664248
2024-09-30,2845,3000,2350,2450,494190
2024-12-31,2455,2500,2195,2295,494277
2025-03-31,2290,2895,2080,2770,320900
2025-06-30,2750,2780,2250,2600,289655
2025-09-30,2600,2705,2200,2360,457667
2025-12-31,2345,2600,2325,2500,89152
