Date,Open,High,Low,Close,Volume
2020-11-02,3000,3000,2940,2940,71
2020-11-09,2940,2940,2650,2845,31968
2020-11-16,2845,2845,2705,2795,25963
2020-11-23,2795,2800,2700,2750,84182
2020-11-30,2750,2800,2705,2750,26177
2020-12-07,2750,2800,2750,2790,40581
2020-12-14,2760,2845,2750,2800,25445
2020-12-21,2795,2800,2750,2800,37087
2020-12-28,2800,2850,2755,2800,43658
2021-01-04,2800,2900,2800,2865,34977
2021-01-11,2845,2870,2800,2845,13173
2021-01-18,2850,2900,2840,2895,30364
2021-01-25,2900,2975,2875,2900,105234
2021-02-01,2910,3200,2910,3095,39295
2021-02-08,3100,3125,2950,3000,35373
2021-02-15,2995,3100,2990,3095,22178
2021-02-22,3090,3180,3050,3105,14578
2021-03-01,3145,3320,3145,3320,38701
2021-03-08,3300,3350,3250,3300,70124
2021-03-15,3295,3300,3140,3240,67206
2021-03-22,3205,3300,3205,3295,50240
2021-03-29,3310,3495,3300,3400,54066
2021-04-05,3400,3425,3375,3425,18272
2021-04-12,3420,3425,3360,3395,50179
2021-04-19,3400,3400,3350,3400,17370
2021-04-26,3400,3490,3375,3470,17578
2021-05-03,3450,3470,3350,3395,30414
2021-05-10,3350,3490,3350,3410,26662
2021-05-17,3410,3475,3410,3475,5142
2021-05-24,3475,3645,3475,3600,58083
2021-05-31,3600,3695,3150,3175,44408
2021-06-07,3175,3175,3055,3055,35248
2021-06-14,3085,3300,3085,3200,27991
2021-06-21,3200,3305,3200,3250,91540
2021-06-28,3250,3300,3205,3275,40136
2021-07-05,3275,3300,3270,3285,18677
2021-07-12,3300,3300,3250,3285,8965
2021-07-19,3205,3590,3205,3585,14578
2021-07-26,3575,3625,3475,3625,139364
2021-08-02,3625,3650,3600,3605,45731
2021-08-09,3605,3625,3600,3615,14708
2021-08-16,3620,3750,3605,3750,38524
2021-08-23,3750,3995,3650,3755,21318
2021-08-30,3755,3850,3750,3825,51254
2021-09-06,3825,4090,3820,4000,49280
2021-09-13,3995,4100,3860,3995,22527
2021-09-20,4000,4100,3915,4100,10335
2021-09-27,4050,4115,4025,4090,83324
2021-10-04,4050,4100,3920,4025,119837
2021-10-11,4000,4200,3950,3995,55851
2021-10-18,3990,4000,3955,3975,33344
2021-10-25,4000,4000,3955,3960,44786
2021-11-01,3960,4150,3950,4000,66797
2021-11-08,4000,4005,3950,3975,25063
2021-11-15,3960,3995,3920,3925,28680
2021-11-22,3935,4000,3805,3900,51674
2021-11-29,3900,3950,3875,3900,38530
2021-12-06,3900,3925,3890,3895,22676
2021-12-13,3910,3910,3875,3910,25464
2021-12-20,3900,3910,3800,3815,17509
2021-12-27,3880,3925,3820,3825,127789
2022-01-03,3840,3950,3825,3940,158330
2022-01-10,3830,4015,3825,3965,13754
2022-01-17,3965,4285,3955,3980,17045
2022-01-24,3990,4075,3940,4075,38499
2022-01-31,4000,4100,3915,4050,39975
2022-02-07,4030,4195,4005,4105,16550
2022-02-14,4115,4300,4005,4250,69338
2022-02-21,4210,4250,4165,4210,27859
2022-02-28,4215,4790,4200,4785,49687
2022-03-07,4600,4785,4530,4750,47144
2022-03-14,4750,4850,4700,4765,36968
2022-03-21,4780,4900,4765,4805,43342
2022-03-28,4895,4985,4845,4905,21548
2022-04-04,4905,4990,4905,4920,14121
2022-04-11,4925,4950,4500,4550,33683
2022-04-18,4600,4675,4510,4600,20266
2022-04-25,4555,4695,4515,4595,59255
2022-05-02,4600,4750,4240,4450,24892
2022-05-09,4450,4450,4005,4235,72061
2022-05-16,4250,4325,4210,4320,27407
2022-05-23,4300,4450,4210,4425,23885
2022-05-30,4425,4500,4300,4450,28934
2022-06-06,4450,4600,4310,4500,32193
2022-06-13,4500,4595,4075,4290,82030
2022-06-20,4275,4275,3815,3850,23580
2022-06-27,3855,3890,3755,3800,21411
2022-07-04,3800,3800,3700,3700,30975
2022-07-11,3800,4000,3700,3810,24617
2022-07-18,3900,3900,3750,3780,36037
2022-07-25,3780,3785,3700,3750,24297
2022-08-01,3750,3775,3725,3770,28639
2022-08-08,3760,4000,3760,4000,7798
2022-08-15,4000,4000,3900,3955,9300
2022-08-22,3950,3950,3800,3895,18860
2022-08-29,3880,3895,3775,3810,18676
2022-09-05,3810,3830,3710,3800,17427
