Date,Open,High,Low,Close,Volume
2022-12-31,10210,10210,9505,10210,50274
2023-03-31,10220,10925,9495,9500,879716
2023-06-30,9495,9990,8995,9510,322922
2023-09-30,9510,11100,9510,10600,270691
2023-12-31,10505,11500,10020,10900,275519
2024-03-31,11000,11250,10600,10845,76883
2024-06-30,10845,12200,10595,11800,94563
2024-09-30,11800,15965,11750,15750,181032
2024-12-31,15700,18240,14900,17500,290006
2025-03-31,17400,18200,12925,14500,165528
2025-06-30,15000,16000,14005,15350,130510
2025-09-30,15250,15395,13790,14650,148735
2025-12-31,14800,15300,14300,14480,61514
