Date,Open,High,Low,Close,Volume
2023-01-02,10210,10925,9505,10925,65142
2023-01-09,10920,10920,10190,10190,81238
2023-01-16,10005,10200,10000,10175,49692
2023-01-23,10175,10175,10000,10000,53922
2023-01-30,10000,10050,10000,10050,16385
2023-02-06,10050,10495,10050,10495,430666
2023-02-13,10360,10495,10350,10400,99040
2023-02-20,10400,10400,10150,10200,27030
2023-02-27,10225,10235,10150,10150,11787
2023-03-06,10050,10100,10000,10010,30890
2023-03-13,10010,10100,9990,9995,13175
2023-03-20,9995,9995,9600,9600,21040
2023-03-27,9505,9530,9495,9530,14815
2023-04-03,9520,9520,9495,9500,17020
2023-04-10,9400,9450,9300,9400,7638
2023-04-17,9400,9400,9050,9050,10846
2023-04-24,9000,9050,8995,9050,15114
2023-05-01,9000,9275,9000,9275,6626
2023-05-08,9275,9490,9275,9400,5608
2023-05-15,9400,9500,9400,9500,28497
2023-05-22,9500,9500,9500,9500,12241
2023-05-29,9480,9590,9360,9500,33633
2023-06-05,9500,9600,9500,9600,69635
2023-06-12,9600,9990,9550,9600,40260
2023-06-19,9480,9580,9210,9400,16864
2023-06-26,9400,9545,9400,9500,53630
2023-07-03,9500,9600,9500,9560,29375
2023-07-10,9560,10000,9560,10000,31334
2023-07-17,10000,10100,9800,9990,54303
2023-07-24,10000,10000,9825,9990,15556
2023-07-31,9995,10050,9910,9990,11624
2023-08-07,9990,9995,9800,9850,7582
2023-08-14,9950,9950,9800,9900,13385
2023-08-21,9900,10695,9810,10695,21451
2023-08-28,10695,10695,10400,10450,21342
2023-09-04,10450,10950,10450,10800,11138
2023-09-11,10795,10950,10700,10805,6944
2023-09-18,10950,11100,10700,10850,12364
2023-09-25,10815,10995,10500,10680,28487
2023-10-02,10700,10700,10500,10505,26393
2023-10-09,10500,10800,10450,10510,33306
2023-10-16,10600,10900,10505,10800,10093
2023-10-23,10900,10800,10605,10610,3843
2023-10-30,10605,10850,10605,10750,8713
2023-11-06,10620,10750,10020,10400,60907
2023-11-13,10400,10500,10300,10490,3594
2023-11-20,10450,10600,10400,10400,27390
2023-11-27,10490,10700,10400,10700,30169
2023-12-04,10605,11500,10500,10700,47756
2023-12-11,10750,10750,10500,10500,7415
2023-12-18,10490,10900,10455,10595,11014
2023-12-25,10595,10995,10450,10700,8850
2024-01-01,10625,11200,10500,10900,22360
2024-01-08,11000,11000,10600,10850,11524
2024-01-15,10605,10850,10605,10800,1785
2024-01-22,10750,10800,10650,10655,6602
2024-01-29,10655,10700,10655,10700,4329
2024-02-05,10655,10840,10655,10800,2153
2024-02-12,10800,10800,10655,10655,3021
2024-02-19,10655,10700,10655,10700,3280
2024-02-26,10700,11250,10660,10730,5107
2024-03-04,10700,11000,10700,10985,4535
2024-03-11,10975,10985,10700,10710,12727
2024-03-18,10890,10890,10710,10890,12909
2024-03-25,10800,10890,10750,10850,5305
2024-04-01,10750,10850,10750,10845,3606
2024-04-08,10845,10990,10790,10845,3847
2024-04-15,10845,11000,10800,11000,12519
2024-04-22,11000,11000,10800,10855,3120
2024-04-29,10995,11000,10790,11000,16175
2024-05-06,10990,11075,10855,11050,5677
2024-05-13,11050,11075,10850,11075,11923
2024-05-20,11075,11500,11000,11400,9379
2024-05-27,11395,12000,11395,11505,4206
2024-06-03,11700,12200,11120,11485,5247
2024-06-10,11450,11485,10595,11175,12910
2024-06-17,11450,11750,11090,11745,4634
2024-06-24,11745,11790,11505,11755,2664
2024-07-01,11760,12000,11755,11850,6952
2024-07-08,11950,12000,11750,12000,27551
2024-07-15,12000,12400,11760,12050,4635
2024-07-22,12000,13435,12000,12600,11405
2024-07-29,12605,13000,12600,12995,3245
2024-08-05,13000,13430,12605,13050,4088
2024-08-12,13300,14000,13050,14000,8957
2024-08-19,13855,14995,13855,14500,16323
2024-08-26,14500,15000,13760,14100,42259
2024-09-02,14880,14995,14100,14880,8975
2024-09-09,14880,15000,14800,14895,20958
2024-09-16,14900,15500,14895,14950,16495
2024-09-23,15000,15965,14950,15600,3131
2024-09-30,15950,15800,15000,15750,8320
2024-10-07,15700,15750,15000,15500,12752
2024-10-14,15500,15800,15005,15155,13589
2024-10-21,15155,15300,15050,15060,3412
2024-10-28,15045,15690,14900,15690,11059
2024-11-04,15695,16800,15690,16100,7176
2024-11-11,16100,17385,15850,17385,12590
2024-11-18,17600,17600,16520,17200,11504
2024-11-25,17100,17395,16900,17340,7751
2024-12-02,17300,17350,17300,17300,7278
2024-12-09,17350,17500,17005,17400,23199
2024-12-16,17400,18240,17005,17500,41659
2024-12-23,17500,17990,17000,17500,38922
2024-12-30,17360,17500,16100,17000,90807
2025-01-06,17000,17550,16900,17550,10708
2025-01-13,17550,17990,17005,17800,21791
2025-01-20,17790,18200,16700,17500,10405
2025-01-27,17500,18000,17000,18000,15446
2025-02-03,18000,18000,17200,17700,16635
2025-02-10,17700,17800,17500,17500,4871
2025-02-17,17500,17800,17500,17600,9148
2025-02-24,17500,18000,16900,17580,24631
2025-03-03,17200,18000,16000,17495,12040
2025-03-10,17490,17495,15725,16450,9507
2025-03-17,16300,16450,15500,16000,6525
2025-03-24,15890,16000,12925,13300,17427
2025-03-31,13700,14700,13200,14500,14702
2025-04-07,15000,15200,14500,15150,14271
2025-04-14,15200,15750,14005,14605,18435
2025-04-21,14605,15390,14005,14055,14168
2025-04-28,14995,14995,14055,14200,7067
2025-05-05,14200,14900,14200,14700,2819
2025-05-12,14750,15500,14700,15500,3863
2025-05-19,15700,15700,14920,15495,6482
2025-05-26,15495,16000,15000,15900,4653
2025-06-02,15750,15900,14915,15785,5994
2025-06-09,14925,15785,14925,15550,2661
2025-06-16,15555,16000,15500,15500,18720
2025-06-23,15500,15600,14500,15500,21205
2025-06-30,15000,15500,14800,15350,10172
2025-07-07,15250,15350,14400,14500,11775
2025-07-14,14500,14500,14000,14000,16039
2025-07-21,14000,15395,14000,14200,15756
2025-07-28,14595,14595,14000,14100,11338
2025-08-04,14100,14250,13950,14200,8317
2025-08-11,14200,14200,13790,14150,32154
2025-08-18,14000,14580,13990,14570,3444
2025-08-25,14570,15000,14000,14600,11040
2025-09-01,14600,15000,14450,14900,13671
2025-09-08,14900,14995,14100,14600,5959
2025-09-15,14600,14750,14065,14400,5278
2025-09-22,14400,14900,14015,14500,7781
2025-09-29,14500,14745,14400,14600,5340
2025-10-06,14650,14995,14300,14995,4851
2025-10-13,14900,14995,14310,14510,10429
2025-10-20,14550,15000,14305,14900,17559
2025-10-27,15000,15300,14500,14800,15114
2025-11-03,14700,14800,14400,14405,15290
2025-11-10,14400,14605,14000,14205,40642
2025-11-17,14210,14680,14000,14280,11733
