Date,Open,High,Low,Close,Volume
2020-11-09,1600,1610,1600,1610,65
2020-11-10,1610,1610,1600,1600,481
2020-11-11,1600,1605,1600,1605,1882
2020-11-12,1600,1650,1600,1645,901
2020-11-13,1645,1645,1645,1645,11663
2020-11-17,1600,1620,1600,1600,482
2020-11-18,1510,1610,1510,1610,237
2020-11-19,1600,1645,1600,1645,2602
2020-11-23,1600,1750,1600,1650,9036
2020-11-26,1620,1620,1620,1620,16
2020-11-27,1600,1600,1600,1600,234
2020-11-30,1600,1600,1600,1600,30
2020-12-01,1600,1600,1600,1600,58
2020-12-02,1600,1650,1600,1650,11521
2020-12-04,1625,1650,1625,1650,125
2020-12-07,1530,1530,1530,1530,5
2020-12-08,1640,1640,1640,1640,120
2020-12-09,1640,1750,1640,1750,353
2020-12-10,1740,1800,1740,1800,736
2020-12-11,1790,1800,1790,1800,982
2020-12-14,1800,1805,1800,1805,205
2020-12-15,1810,1890,1800,1890,301
2020-12-16,2000,2030,2000,2030,885
2020-12-17,2030,2100,2030,2100,2294
2020-12-18,2050,2250,2050,2250,3393
2020-12-21,2250,2300,2200,2300,755
2020-12-22,2300,2305,2300,2300,279
2020-12-23,2270,2275,2245,2245,9
2020-12-24,2200,2200,2200,2200,3
2020-12-29,2200,2200,2200,2200,4135
2020-12-30,2200,2200,2200,2200,2863
2020-12-31,2250,2250,2250,2250,2500
2021-01-04,2200,2200,2200,2200,648
2021-01-06,2200,2200,2200,2200,91874
2021-01-07,2205,2250,2205,2250,618
2021-01-08,2260,2260,2250,2250,54
2021-01-11,2250,2250,2250,2250,218
2021-01-12,2205,2300,2205,2300,1367
2021-01-13,2245,2400,2245,2350,1218
2021-01-14,2305,2305,2305,2305,92
2021-01-15,2305,2475,2305,2475,788
2021-01-18,2350,2500,2350,2500,1132
2021-01-19,2505,2505,2500,2500,200
2021-01-20,2505,2685,2505,2685,100
2021-01-21,2500,2885,2500,2885,20217
2021-01-22,3100,3100,2700,3000,3076
2021-01-25,3000,3150,3000,3150,1296
2021-01-26,3150,3150,3150,3150,35
2021-01-27,3100,3170,3100,3100,2926
2021-01-28,3100,3150,3100,3105,339
2021-01-29,3150,3150,3150,3150,10
2021-02-01,3150,3225,3150,3200,191
2021-02-02,3200,3200,3150,3200,189
2021-02-03,3350,3350,3350,3350,1
2021-02-04,3325,3325,3325,3325,87
2021-02-05,3325,3325,3325,3325,8
2021-02-08,3150,3500,3150,3500,2001
2021-02-09,3445,3710,3445,3710,837
2021-02-10,3650,3650,3650,3650,25
2021-02-11,3400,3900,3400,3900,1352
2021-02-12,3620,3620,3620,3620,3
2021-02-15,3600,3600,3600,3600,1
2021-02-16,3550,3550,3500,3550,135
2021-02-17,3500,3500,3500,3500,28
2021-02-18,3500,3500,3400,3400,222
2021-02-19,3250,3250,3250,3250,20
2021-02-22,3250,3250,3250,3250,210
2021-02-23,3025,3025,3025,3025,2
2021-02-24,2995,3250,2995,3250,919
2021-03-02,3245,3245,3245,3245,5
2021-03-03,3245,3245,3245,3245,5
2021-03-04,3245,3245,3190,3195,93
