Date,Open,High,Low,Close,Volume
2020-11-30,1600,1750,1510,1600,25201
2020-12-31,1600,2305,1530,2250,31522
2021-01-31,2200,3170,2200,3150,126208
2021-02-28,3150,3900,2995,3250,6231
2021-03-31,3245,3450,3000,3000,24339
2021-04-30,3200,4300,3000,4050,5334
2021-05-31,4350,4675,3225,4000,17311
2021-06-30,3990,4400,3960,4350,4540
2021-07-31,4350,4410,4080,4395,5341
2021-08-31,4110,5345,4015,5290,12284
2021-09-30,5235,6075,4320,5370,38487
2021-10-31,5770,7000,5500,6550,29132
2021-11-30,6600,7000,6505,6890,37921
2021-12-31,6890,7100,6500,6990,78969
2022-01-31,6900,7400,6710,7000,62439
2022-02-28,7300,9550,7000,9100,207525
2022-03-31,9005,9700,8900,9300,43503
2022-04-30,9250,12120,9020,12100,173904
2022-05-31,12280,13550,12280,12795,149041
2022-06-30,12770,12890,12405,12625,132024
2022-07-31,12625,12645,11470,12400,150752
2022-08-31,12055,12400,10750,11110,139990
2022-09-30,11115,11120,9700,10995,301031
2022-10-31,10995,11490,9100,10895,172910
2022-11-30,10895,10950,9515,9800,152636
2022-12-31,9860,10795,9515,10385,221935
2023-01-31,10000,10400,9600,10000,117085
2023-02-28,9800,11095,9800,11000,156177
2023-03-31,11000,11000,10850,10980,63540
2023-04-30,10950,11000,9400,10000,44017
2023-05-31,9905,9905,9600,9790,58311
2023-06-30,9795,10600,9605,10600,100348
2023-07-31,10020,10600,8000,8095,136930
2023-08-31,8000,8095,7800,7945,52302
2023-09-30,7945,7950,7125,7600,43103
2023-10-31,7650,7695,6500,6900,41309
2023-11-30,6950,6960,6370,6800,31295
2023-12-31,6500,6800,6250,6750,15402
2024-01-31,6750,7000,6500,6790,20986
2024-02-29,6790,6900,6300,6780,41319
2024-03-31,6775,7000,6500,6995,39977
2024-04-30,6995,8085,6800,7240,23713
2024-05-31,6800,7240,5305,6000,66587
2024-06-30,6000,6250,5600,6250,56766
2024-07-31,6195,6250,5310,5600,68621
2024-08-31,5580,5600,4620,4980,103048
2024-09-30,4805,5200,4585,4810,103383
2024-10-31,4765,4895,4520,4695,88852
2024-11-30,4695,4700,4485,4695,88637
2024-12-31,4690,5000,4485,5000,105548
2025-01-31,5000,5265,4495,4650,256596
2025-02-28,4650,6400,4650,6100,58094
2025-03-31,6080,6595,6000,6400,83090
2025-04-30,6400,6400,5095,6300,195455
2025-05-31,6300,7000,6250,6995,132484
2025-06-30,6995,8380,6500,8380,231857
2025-07-31,8500,8600,8150,8450,155427
2025-08-31,8450,9215,8405,8815,57262
2025-09-30,8815,9255,8495,9150,75240
2025-10-31,9105,9895,7930,8350,223289
2025-11-30,7750,8500,6615,8450,34097
