Date,Open,High,Low,Close,Volume
2020-12-31,1500,2305,1500,2250,59190
2021-03-31,2200,3900,2200,3000,156778
2021-06-30,3200,4675,3000,4350,27185
2021-09-30,4350,6075,4015,5370,56112
2021-12-31,5770,7100,5500,6990,146022
2022-03-31,6900,9700,6710,9300,313467
2022-06-30,9250,13550,9020,12625,454969
2022-09-30,12625,12645,9700,10995,591773
2022-12-31,10995,11490,9100,10385,547481
2023-03-31,10000,11095,9600,10980,336802
2023-06-30,10950,11000,9400,10600,202676
2023-09-30,10020,10600,7125,7600,232335
2023-12-31,7650,7695,6250,6750,88006
2024-03-31,6750,7000,6300,6995,102282
2024-06-30,6995,8085,5305,6250,147066
2024-09-30,6195,6250,4585,4810,275052
2024-12-31,4765,5000,4485,5000,283037
2025-03-31,5000,6595,4495,6400,397780
2025-06-30,6400,8380,5095,8380,559796
2025-09-30,8500,9255,8150,9150,287929
2025-12-31,9105,9895,8555,8570,213684
