Date,Open,High,Low,Close,Volume
2020-11-09,1600,1610,1600,1610,65
2020-11-16,1610,1650,1600,1645,14927
2020-11-23,1600,1750,1510,1650,12357
2020-11-30,1620,1620,1600,1600,280
2020-12-07,1600,1650,1530,1530,11709
2020-12-14,1640,1805,1640,1805,2396
2020-12-21,1810,2300,1800,2300,7628
2020-12-28,2300,2305,2200,2200,291
2021-01-04,2200,2250,2200,2200,10146
2021-01-11,2200,2260,2200,2250,92764
2021-01-18,2205,2500,2205,2500,4597
2021-01-25,2505,3150,2500,3150,24889
2021-02-01,3150,3225,3100,3200,3501
2021-02-08,3200,3500,3150,3500,2286
2021-02-15,3445,3900,3400,3600,2218
2021-02-22,3550,3550,3250,3250,615
2021-03-01,3025,3250,2995,3250,921
2021-03-08,3245,3245,3000,3000,169
2021-03-15,3000,3400,3000,3250,21096
2021-03-22,3245,3450,3200,3200,1099
2021-03-29,3350,3400,3150,3350,1451
2021-04-05,3150,3200,3000,3000,559
2021-04-12,3200,3200,3000,3000,372
2021-04-19,3100,3350,3000,3200,234
2021-04-26,3200,3870,3200,3870,1248
2021-05-03,4000,4350,3660,4350,4846
2021-05-10,4675,4675,3485,3485,7539
2021-05-17,3225,3535,3225,3535,1212
2021-05-24,3750,4350,3750,4350,3479
2021-05-31,4100,4350,3910,4000,3680
2021-06-07,3990,4000,3960,4000,1358
2021-06-14,4000,4400,4000,4390,1972
2021-06-21,4385,4385,4215,4365,759
2021-06-28,4350,4395,4200,4350,423
2021-07-05,4300,4410,4210,4215,1010
2021-07-12,4210,4300,4210,4210,469
2021-07-19,4210,4350,4210,4310,1718
2021-07-26,4355,4410,4080,4395,879
2021-08-02,4395,4400,4110,4395,1298
2021-08-09,4310,4395,4150,4155,2092
2021-08-16,4105,4350,4100,4350,1483
2021-08-23,4400,4400,4350,4355,1220
2021-08-30,4395,4980,4015,4980,6636
2021-09-06,5345,5345,4635,4635,1461
2021-09-13,4635,4895,4320,4735,1345
2021-09-20,4800,5000,4730,4825,3278
2021-09-27,4995,6060,4850,6000,29271
2021-10-04,6000,6075,5365,5910,4405
2021-10-11,5605,6300,5600,6005,4099
2021-10-18,6000,6215,5700,6195,7019
2021-10-25,6190,6995,5740,6800,14695
2021-11-01,6800,7000,6550,6550,2894
2021-11-08,6600,6700,6505,6510,3547
2021-11-15,6550,6740,6505,6700,1764
2021-11-22,6700,6740,6540,6600,1332
2021-11-29,6700,7000,6560,6680,31207
2021-12-06,6890,7100,6750,6900,7836
2021-12-13,6805,6805,6500,6700,4659
2021-12-20,6585,6750,6550,6700,55711
2021-12-27,6690,6900,6610,6900,1162
2022-01-03,6900,7000,6750,6800,9704
2022-01-10,6990,6990,6710,6990,855
2022-01-17,6800,7100,6735,7100,2846
2022-01-24,7100,7295,6755,6755,46071
2022-01-31,6715,7400,6715,7000,12635
2022-02-07,7300,7400,7000,7255,5708
2022-02-14,7260,7810,7260,7810,135837
2022-02-21,7810,9550,7810,9435,46457
2022-02-28,8905,9430,8900,9100,19523
2022-03-07,9005,9600,9000,9600,18336
2022-03-14,9600,9700,9390,9495,3472
2022-03-21,9495,9500,8900,9310,6272
2022-03-28,9310,9600,9265,9500,5431
2022-04-04,9500,9600,9020,9030,15333
2022-04-11,9090,9350,9090,9160,22033
2022-04-18,9225,9505,9225,9400,2239
2022-04-25,9700,10310,9205,10300,28612
2022-05-02,10500,12120,10110,12100,115679
2022-05-09,12280,13550,12280,12990,38238
2022-05-16,12985,13100,12790,12995,43887
2022-05-23,13000,13000,12700,12700,60119
2022-05-30,12560,12800,12560,12680,5850
2022-06-06,12675,12795,12675,12775,34990
2022-06-13,12780,12800,12685,12690,22168
2022-06-20,12700,12890,12690,12800,18809
2022-06-27,12800,12850,12500,12500,33860
2022-07-04,12405,12685,12405,12500,24395
2022-07-11,12455,12500,11470,12195,57716
2022-07-18,12195,12200,12000,12100,19913
2022-07-25,12200,12400,12000,12350,18620
2022-08-01,12395,12400,11900,12000,58347
2022-08-08,12015,12400,11985,12300,19056
2022-08-15,12295,12300,11990,12300,22255
2022-08-22,12100,12300,11900,12000,67960
2022-08-29,12000,12050,10750,11495,20090
2022-09-05,11500,11500,10765,11000,18210
2022-09-12,11000,11000,10510,10600,62368
2022-09-19,10700,10765,10490,10760,41263
2022-09-26,10760,10765,10100,10500,14754
2022-10-03,10400,11000,9700,10175,175782
2022-10-10,10200,10340,9865,10200,18513
2022-10-17,10200,10200,9100,9640,39447
2022-10-24,9640,11490,9400,11000,88939
2022-10-31,10950,11000,10210,10895,20199
2022-11-07,10895,10950,9520,10285,74963
2022-11-14,10285,10285,9605,9800,24982
2022-11-21,9800,9995,9515,9795,14494
2022-11-28,9830,9950,9600,9800,12207
2022-12-05,9725,9880,9515,9750,31293
2022-12-12,9750,10625,9750,10625,24849
2022-12-19,10795,10795,9905,10400,75070
2022-12-26,10100,10400,10000,10385,80757
2023-01-02,10005,10400,10000,10400,47647
2023-01-09,10300,10300,9800,9805,55011
2023-01-16,9795,9995,9795,9990,23495
2023-01-23,9920,9990,9900,9975,12940
2023-01-30,9975,10095,9600,10095,12254
2023-02-06,10000,10095,9800,10050,5512
2023-02-13,10050,10695,10010,10695,25715
2023-02-20,10695,11095,10695,11080,21323
2023-02-27,11075,11075,11000,11000,102429
2023-03-06,11000,11000,10950,10950,10771
2023-03-13,10950,10950,10875,10875,30988
2023-03-20,10875,10960,10875,10950,8147
2023-03-27,10910,10950,10850,10940,12191
2023-04-03,10905,10995,10905,10945,6383
2023-04-10,10900,10965,10900,10950,6632
2023-04-17,10970,11000,10900,10995,3433
2023-04-24,10945,11000,10940,10990,8834
2023-05-01,11000,11000,9400,10000,23070
2023-05-08,9905,9905,9800,9830,9075
2023-05-15,9805,9900,9600,9900,39733
2023-05-22,9900,9900,9800,9850,3048
2023-05-29,9880,9880,9750,9790,4651
2023-06-05,9790,9800,9790,9795,5423
2023-06-12,9795,9800,9700,9700,15940
2023-06-19,9750,9900,9605,9900,22204
2023-06-26,9700,9900,9700,9895,41021
2023-07-03,9890,10600,9890,10350,37719
2023-07-10,10350,10350,10200,10200,18409
2023-07-17,10200,10200,8950,9000,46255
2023-07-24,8900,9000,8560,8600,33944
2023-07-31,8600,8600,8000,8095,18167
2023-08-07,8000,8095,7915,8040,10626
2023-08-14,8090,8090,7905,7995,6607
2023-08-21,7995,8015,7900,8000,6019
2023-08-28,8000,8000,7800,7900,27782
2023-09-04,7950,8000,7850,7945,2973
2023-09-11,7940,7945,7700,7800,9097
2023-09-18,7805,7825,7505,7700,13801
2023-09-25,7690,7770,7125,7700,13900
2023-10-02,7700,7735,7500,7565,5299
2023-10-09,7550,7600,6930,7200,9127
2023-10-16,7245,7695,7150,7600,4012
2023-10-23,7595,7650,7300,7315,5175
2023-10-30,7315,7315,6500,6900,21093
2023-11-06,6900,6960,6600,6960,5766
2023-11-13,6950,6960,6450,6885,5720
2023-11-20,6880,6885,6450,6500,3016
2023-11-27,6500,6850,6370,6800,14384
2023-12-04,6500,6800,6250,6500,7228
2023-12-11,6500,6800,6250,6795,4281
2023-12-18,6795,6800,6400,6500,2102
2023-12-25,6700,6780,6500,6725,2588
2024-01-01,6720,6800,6690,6750,2815
2024-01-08,6750,7000,6500,6900,7811
2024-01-15,6900,6900,6505,6875,7557
2024-01-22,6875,6875,6660,6700,4099
2024-01-29,6700,6800,6600,6600,1306
2024-02-05,6505,6790,6510,6780,1277
2024-02-12,6775,6805,6550,6800,10838
2024-02-19,6550,6800,6450,6775,3653
2024-02-26,6775,6900,6300,6800,9041
2024-03-04,6320,6800,6320,6750,25459
2024-03-11,6750,6750,6560,6700,3864
2024-03-18,6700,7000,6500,7000,16678
2024-03-25,6990,7000,6900,7000,2889
