Date,Open,High,Low,Close,Volume
2020-12-31,2195,2200,2050,2195,19815
2021-03-31,2195,2195,2000,2100,16889
2021-06-30,2095,2860,1870,2585,15823
2021-09-30,2500,3115,2500,3110,29900
2021-12-31,3110,4200,2900,4200,45493
2022-03-31,4200,5375,3600,4710,62362
2022-06-30,4750,4975,3240,3545,61599
2022-09-30,3490,3855,3400,3600,18432
2022-12-31,3500,3700,2940,3195,11125
2023-03-31,3160,3160,2775,2900,34405
2023-06-30,2900,3105,2600,3100,25662
2023-09-30,3000,3450,2780,2800,23072
2023-12-31,2805,3015,1610,1900,38392
2024-03-31,1900,2325,1685,2280,15720
2024-06-30,2280,2300,2000,2295,36611
2024-09-30,2295,2795,2040,2150,10221
2024-12-31,2150,2275,1835,2200,14617
2025-03-31,2200,2300,1760,2035,39354
2025-06-30,2000,2630,1800,2500,31471
2025-09-30,2600,2875,2330,2345,36759
2025-12-31,2500,4100,2345,3980,108214
