Date,Open,High,Low,Close,Volume
2020-11-16,2190.0,2195.0,2190.0,2195.0,1705
2020-11-23,2195.0,2195.0,2195.0,2195.0,5956
2020-11-30,2195.0,2195.0,2050.0,2050.0,425
2020-12-14,2195.0,2195.0,2195.0,2195.0,4
2020-12-21,2195.0,2195.0,2195.0,2195.0,2332
2020-12-28,2185.0,2195.0,2180.0,2190.0,5031
2021-01-04,2195.0,2195.0,2190.0,2195.0,3819
2021-01-11,2190.0,2190.0,2050.0,2190.0,1128
2021-01-18,2170.0,2185.0,2170.0,2185.0,651
2021-01-25,2180.0,2180.0,2180.0,2180.0,26
2021-02-01,2180.0,2180.0,2180.0,2180.0,1264
2021-02-08,2180.0,2180.0,2160.0,2180.0,3052
2021-02-15,2180.0,2180.0,2000.0,2060.0,2502
2021-02-22,2060.0,2060.0,2060.0,2060.0,1839
2021-03-01,2060.0,2060.0,2060.0,2060.0,331
2021-03-08,2060.0,2100.0,2060.0,2100.0,622
2021-03-15,2100.0,2100.0,2100.0,2100.0,4481
2021-03-22,2100.0,2100.0,2100.0,2100.0,736
2021-03-29,2100.0,2100.0,2095.0,2100.0,207
2021-04-05,2095.0,2100.0,2095.0,2100.0,15
2021-04-12,2095.0,2100.0,2000.0,2100.0,657
2021-04-19,2100.0,2105.0,2100.0,2105.0,2096
2021-04-26,2180.0,2180.0,1870.0,2020.0,6629
2021-05-03,2140.0,2180.0,2140.0,2150.0,261
2021-05-10,2185.0,2400.0,2185.0,2310.0,1673
2021-05-17,2480.0,2860.0,2480.0,2845.0,158
2021-05-24,2845.0,2845.0,2665.0,2800.0,256
2021-05-31,2800.0,2840.0,2630.0,2700.0,417
2021-06-07,2700.0,2800.0,2700.0,2795.0,1069
2021-06-14,2795.0,2795.0,2700.0,2795.0,1249
2021-06-21,2795.0,2795.0,2795.0,2795.0,1280
2021-06-28,2795.0,2795.0,2790.0,2790.0,37
2021-07-05,2790.0,2790.0,2500.0,2510.0,581
2021-07-12,2695.0,2700.0,2695.0,2695.0,193
2021-07-19,2695.0,2700.0,2500.0,2600.0,933
2021-07-26,2600.0,2795.0,2600.0,2795.0,382
2021-08-02,2800.0,2950.0,2615.0,2950.0,791
2021-08-09,2900.0,2950.0,2800.0,2900.0,548
2021-08-16,2900.0,3000.0,2800.0,2950.0,2980
2021-08-23,3000.0,3000.0,2850.0,3000.0,1757
2021-08-30,3000.0,3000.0,2805.0,2995.0,5428
2021-09-06,2995.0,2995.0,2700.0,2900.0,1245
2021-09-13,2950.0,3115.0,2950.0,3110.0,9003
2021-09-20,3115.0,3115.0,2900.0,3005.0,3680
2021-09-27,3110.0,3110.0,3100.0,3110.0,1830
2021-10-04,3110.0,3265.0,3000.0,3265.0,1226
2021-10-11,3265.0,3265.0,2900.0,3150.0,3185
2021-10-18,3100.0,3125.0,2900.0,3115.0,925
2021-10-25,3110.0,3275.0,2900.0,3275.0,5013
2021-11-01,3275.0,3500.0,3030.0,3265.0,2165
2021-11-08,3265.0,3265.0,3025.0,3245.0,3431
2021-11-15,3240.0,3505.0,3080.0,3315.0,2869
2021-11-22,3080.0,3310.0,3060.0,3235.0,830
2021-11-29,3235.0,3315.0,3235.0,3315.0,5772
2021-12-06,3315.0,3500.0,3310.0,3500.0,8458
2021-12-13,3500.0,3750.0,3500.0,3680.0,1785
2021-12-20,3680.0,3900.0,3505.0,3900.0,4554
2021-12-27,4000.0,4200.0,4000.0,4200.0,2684
2022-01-03,3885.0,4200.0,3885.0,4200.0,3246
2022-01-10,4195.0,4195.0,3600.0,3600.0,545
2022-01-17,3600.0,3700.0,3600.0,3680.0,1950
2022-01-24,3900.0,4190.0,3700.0,4000.0,1469
2022-01-31,4000.0,4050.0,3850.0,4000.0,765
2022-02-07,3995.0,4275.0,3995.0,4250.0,14085
