Date,Open,High,Low,Close,Volume
2020-11-04,275,275,275,275,5
2020-11-05,275,275,275,275,25
2020-11-11,275,275,275,275,1
2020-11-12,275,275,275,275,225
2020-11-13,275,275,275,275,25
2020-11-23,275,275,275,275,2030
2020-11-25,275,275,275,275,500
2020-12-01,270,275,270,275,1409
2020-12-02,275,275,275,275,3000
2020-12-03,275,275,275,275,25
2020-12-10,270,270,270,270,78
2020-12-11,275,275,275,275,1536
2020-12-15,275,295,275,295,1072
2020-12-16,275,275,275,275,1236
2020-12-17,275,275,275,275,1689
2020-12-21,275,275,275,275,192
2020-12-22,280,280,280,280,2118
2020-12-24,280,280,280,280,237
2020-12-28,275,275,275,275,50
2020-12-29,280,280,280,280,1812
2021-01-05,285,300,285,300,37
2021-01-06,320,320,320,320,250
2021-01-07,320,320,320,320,12
2021-01-11,320,320,320,320,13
2021-01-12,315,320,315,320,112
2021-02-05,300,300,300,300,35
2021-02-09,290,290,290,290,127
2021-02-15,280,280,280,280,100
2021-02-19,275,275,275,275,12
2021-02-26,255,255,255,255,1260
2021-03-01,255,255,255,255,540
2021-03-02,255,255,240,240,60
2021-03-03,225,240,225,225,210
2021-03-04,210,225,210,210,227
2021-03-05,210,210,195,195,2225
2021-03-08,185,185,185,185,1666
2021-03-10,185,185,185,185,490
2021-03-12,190,190,185,185,150
2021-03-16,185,185,185,185,1054
2021-03-17,185,185,185,185,800
2021-03-19,185,185,185,185,250
2021-03-22,185,185,185,185,500
2021-03-23,185,185,185,185,700
2021-03-25,185,185,185,185,1128
2021-03-29,185,185,185,185,100
2021-03-30,185,185,185,185,250
2021-04-09,185,185,185,185,50
2021-04-12,185,185,185,185,4
2021-04-13,185,185,185,185,400
2021-04-16,185,185,185,185,100
2021-04-21,175,175,175,175,1210
2021-04-22,175,175,175,175,4790
2021-04-23,175,175,175,175,287
2021-04-27,185,185,175,175,657
2021-04-28,185,185,185,185,5
2021-04-29,185,195,185,195,52
2021-04-30,205,205,205,205,5
2021-05-03,205,205,205,205,800
2021-05-04,220,220,220,220,12
2021-05-05,220,235,220,235,55
2021-05-06,245,250,245,250,104
2021-05-07,265,265,265,265,940
2021-05-10,280,280,280,280,1010
2021-05-14,275,280,275,280,17
2021-05-19,275,275,275,275,504
2021-05-20,270,275,270,275,303
2021-05-21,275,275,275,275,1
2021-05-25,270,270,270,270,30
2021-05-26,270,270,270,270,100
2021-05-27,265,265,265,265,10
2021-05-28,265,265,250,250,250
2021-05-31,250,265,250,250,2810
