Date,Open,High,Low,Close,Volume
1998-09-30,786,786.0,786.0,786,63
1998-10-31,816,944.0,795.0,795,16251
1998-11-30,800,800.0,800.0,800,2938
1998-12-31,848,848.0,848.0,848,324688
1999-02-28,832,832.0,832.0,832,625
1999-03-31,832,894.0,832.0,894,6750
1999-04-30,894,894.0,880.0,880,7125
1999-08-31,784,784.0,749.0,749,22814
1999-12-31,749,749.0,749.0,749,313
2000-02-29,688,688.0,688.0,688,1001
2000-07-31,608,608.0,608.0,608,4688
2000-08-31,608,608.0,608.0,608,1126
2000-09-30,608,608.0,576.0,576,4313
2000-11-30,576,576.0,576.0,576,26689
2000-12-31,576,576.0,576.0,576,563
2001-02-28,576,576.0,576.0,576,125
2001-03-31,576,576.0,576.0,576,500
2001-04-30,576,576.0,576.0,576,1875
2001-09-30,576,576.0,576.0,576,500
2001-12-31,576,576.0,576.0,576,3063
2002-03-31,576,576.0,576.0,576,375063
2002-04-30,576,576.0,576.0,576,1001
2002-06-30,576,576.0,576.0,576,6750
2002-07-31,576,576.0,576.0,576,125
2002-11-30,576,576.0,576.0,576,1438
2002-12-31,576,576.0,576.0,576,11001
2003-10-31,576,576.0,576.0,576,125
2003-11-30,576,576.0,576.0,576,125
2003-12-31,576,576.0,576.0,576,3313
2004-12-31,544,544.0,544.0,544,3063
2005-03-31,544,544.0,512.0,512,3000
2005-06-30,464,464.0,464.0,464,625
2005-07-31,464,512.0,464.0,512,86188
2005-08-31,512,512.0,512.0,512,251127
2005-09-30,464,464.0,464.0,464,500
2005-10-31,464,464.0,464.0,464,188
2005-11-30,499,512.0,499.0,512,251188
2005-12-31,512,512.0,512.0,512,2031375
2006-02-28,512,512.0,512.0,512,5500
2006-03-31,512,512.0,512.0,512,313
2006-04-30,512,512.0,496.0,496,3375
2006-05-31,464,464.0,371.0,384,12938
2006-06-30,384,384.0,384.0,384,3125
2006-07-31,384,384.0,384.0,384,1250
2006-09-30,384,384.0,384.0,384,13625
2006-11-30,384,384.0,384.0,384,63
2006-12-31,368,368.0,368.0,368,604813
2007-01-31,368,368.0,368.0,368,63
2007-03-31,368,368.0,368.0,368,63
