Date,Open,High,Low,Close,Volume
1998-09-30,555,555.0,555.0,555,88
1998-12-31,577,667.0,562.0,599,486641
1999-03-31,588,632.0,588.0,632,10436
1999-06-30,632,632.0,622.0,622,10083
1999-09-30,554,554.0,529.0,529,32284
1999-12-31,529,529.0,529.0,529,442
2000-03-31,486,486.0,486.0,486,1415
2000-09-30,430,430.0,407.0,407,14328
2000-12-31,407,407.0,407.0,407,38562
2001-03-31,407,407.0,407.0,407,885
2001-06-30,407,407.0,407.0,407,2653
2001-09-30,407,407.0,407.0,407,708
2001-12-31,407,407.0,407.0,407,4334
2002-03-31,407,407.0,407.0,407,530776
2002-06-30,407,407.0,407.0,407,10967
2002-09-30,407,407.0,407.0,407,177
2002-12-31,407,407.0,407.0,407,17600
2003-12-31,407,407.0,407.0,407,5042
2004-12-31,384,384.0,384.0,384,4334
2005-03-31,384,384.0,362.0,362,4245
2005-06-30,328,328.0,328.0,328,884
2005-09-30,328,362.0,328.0,328,478061
2005-12-31,328,362.0,328.0,362,3230472
2006-03-31,362,362.0,362.0,362,8226
2006-06-30,362,362.0,262.0,271,27507
2006-09-30,271,271.0,271.0,271,21050
2006-12-31,271,271.0,260.0,260,855998
2007-03-31,260,260.0,260.0,260,176
2007-06-30,261,261.0,261.0,261,6988
2007-09-30,261,283.0,261.0,283,3714
2007-12-31,283,283.0,283.0,283,2035
2008-03-31,294,335.0,294.0,335,235713
2008-06-30,335,339.0,335.0,339,17069
2008-09-30,356,362.0,356.0,362,4598
2008-12-31,367,425.0,367.0,425,799304
2009-03-31,401,401.0,390.0,390,4952
2009-06-30,362,362.0,362.0,362,19458
2009-09-30,335,335.0,335.0,335,10613
2009-12-31,331,331.0,331.0,331,4245
2010-03-31,328,328.0,328.0,328,4246
2010-09-30,328,328.0,294.0,294,147707
2010-12-31,294,294.0,262.0,280,48383
2011-03-31,277,277.0,260.0,260,3272
2011-09-30,260,260.0,204.0,204,32459
2011-12-31,204,226.0,192.0,192,46523
2012-03-31,192,192.0,192.0,192,3272
2012-06-30,192,226.0,192.0,226,12914
2012-09-30,226,232.0,226.0,232,12383
2012-12-31,232,237.0,226.0,237,13000
2013-03-31,237,255.0,237.0,255,9376
2013-06-30,255,279.0,255.0,279,26358
2013-09-30,279,452.0,279.0,443,53687
2013-12-31,441,441.0,407.0,407,12911
2014-03-31,376,377.0,373.0,373,17689
2014-06-30,373,373.0,319.0,343,4245
2014-09-30,343,343.0,317.0,328,7431
2014-12-31,328,328.0,269.0,269,10524
2015-03-31,269,277.0,260.0,271,15035
2015-06-30,271,336.0,271.0,313,5041
2015-09-30,313,313.0,308.0,311,20431
2015-12-31,311,373.0,311.0,373,39004
2016-03-31,396,418.0,304.0,305,39889
2016-06-30,305,481.0,305.0,481,15655
2016-09-30,481,510.0,283.0,283,13088
2016-12-31,283,283.0,260.0,260,24675
2017-03-31,260,302.0,220.0,302,23701
2017-06-30,300,300.0,198.0,198,64211
2017-09-30,199,206.0,192.0,206,5396
2017-12-31,220,331.0,220.0,308,24483
2018-03-31,308,331.0,209.0,209,3290
2018-06-30,209,209.0,170.0,170,5838
2018-09-30,171,171.0,155.0,155,1698
2018-12-31,144,163.0,141.0,150,23210
2019-03-31,152,155.0,141.0,145,4379
2019-06-30,152,212.0,152.0,212,6451
2019-09-30,226,413.0,226.0,311,11007
2019-12-31,311,318.0,237.0,237,1054
2020-03-31,237,244.0,230.0,240,6815
2020-06-30,240,240.0,233.0,233,276
2020-09-30,226,226.0,208.0,208,2462
2020-12-31,194,208.0,191.0,198,24569
2021-03-31,201,226.0,131.0,131,17419
2021-06-30,131,283.0,124.0,258,41150
2021-09-30,272,671.0,237.0,445,116269
2021-12-31,413,601.0,339.0,601,70427
2022-03-31,587,1615.0,459.0,763,554370
2022-06-30,763,954.0,650.0,692,144833
2022-09-30,692,692.0,456.0,587,138398
2022-12-31,590,643.0,562.0,622,39975
2023-03-31,576,724.0,512.0,675,111254
2023-06-30,671,675.0,523.0,558,2494
2023-09-30,562,562.0,392.0,456,30260
2023-12-31,459,989.0,431.0,915,1212558
2024-03-31,883,915.0,703.0,813,223852
2024-06-30,873,873.0,597.0,689,4301
2024-09-30,689,692.0,519.0,615,20640
2024-12-31,615,615.0,449.0,509,33961
2025-03-31,509,587.0,481.0,558,21160
2025-06-30,558,565.0,417.0,481,118696
2025-09-30,488,1021.0,452.0,1007,934076
2025-12-31,1003,2788.0,1003.0,2335,569272
2026-03-31,2297,4968.0,2201.0,4968,360555
2026-06-30,5332,5860.0,3250.0,3500,163310
