Date,Open,High,Low,Close,Volume
1998-09-28,786,786.0,786.0,786,63
1998-10-05,816,816.0,816.0,816,125
1998-10-12,872,872.0,872.0,872,8063
1998-10-19,928,928.0,928.0,928,563
1998-10-26,928,944.0,928.0,944,3625
1998-11-02,795,795.0,795.0,795,3875
1998-11-30,800,800.0,800.0,800,2938
1998-12-14,848,848.0,848.0,848,1000
1998-12-28,848,848.0,848.0,848,323688
1999-03-01,832,832.0,832.0,832,625
1999-03-29,832,894.0,832.0,894,6750
1999-04-05,894,894.0,894.0,894,625
1999-05-03,880,880.0,880.0,880,6500
1999-08-23,784,784.0,784.0,784,8750
1999-08-30,752,752.0,749.0,749,14064
2000-01-03,749,749.0,749.0,749,313
2000-02-07,688,688.0,688.0,688,563
2000-02-14,688,688.0,688.0,688,438
2000-07-10,608,608.0,608.0,608,2375
2000-07-17,608,608.0,608.0,608,2313
2000-08-21,608,608.0,608.0,608,563
2000-08-28,608,608.0,608.0,608,438
2000-09-04,608,608.0,608.0,608,250
2000-09-11,592,592.0,592.0,592,2500
2000-09-18,576,576.0,576.0,576,1688
2000-11-13,576,576.0,576.0,576,313
2000-11-20,576,576.0,576.0,576,25751
2000-12-04,576,576.0,576.0,576,625
2000-12-18,576,576.0,576.0,576,313
2001-01-01,576,576.0,576.0,576,250
2001-02-19,576,576.0,576.0,576,125
2001-03-26,576,576.0,576.0,576,500
2001-04-23,576,576.0,576.0,576,1875
2001-09-10,576,576.0,576.0,576,250
2001-09-24,576,576.0,576.0,576,250
2001-12-31,576,576.0,576.0,576,3063
2002-03-11,576,576.0,576.0,576,63
2002-04-01,576,576.0,576.0,576,375000
2002-04-08,576,576.0,576.0,576,63
2002-04-22,576,576.0,576.0,576,813
2002-04-29,576,576.0,576.0,576,125
2002-06-10,576,576.0,576.0,576,3375
2002-06-24,576,576.0,576.0,576,3375
2002-07-08,576,576.0,576.0,576,125
2002-11-11,576,576.0,576.0,576,1438
2002-12-30,576,576.0,576.0,576,63
2003-01-06,576,576.0,576.0,576,10938
2003-10-20,576,576.0,576.0,576,125
2003-11-24,576,576.0,576.0,576,125
2004-01-05,576,576.0,576.0,576,3313
2005-01-03,544,544.0,544.0,544,3063
2005-03-07,544,544.0,544.0,544,2000
2005-04-04,512,512.0,512.0,512,1000
2005-06-27,464,464.0,464.0,464,625
2005-07-25,464,512.0,464.0,512,86188
2005-08-01,512,512.0,512.0,512,63
2005-08-29,512,512.0,512.0,512,251064
2005-09-19,464,464.0,464.0,464,500
2005-10-10,464,464.0,464.0,464,188
2005-11-28,499,512.0,499.0,512,251188
2006-01-02,512,512.0,512.0,512,2031375
2006-02-06,512,512.0,512.0,512,125
2006-03-06,512,512.0,512.0,512,5375
2006-03-13,512,512.0,512.0,512,313
2006-04-24,512,512.0,512.0,512,250
2006-05-01,496,496.0,496.0,496,3125
2006-05-08,464,464.0,400.0,400,9625
2006-05-15,371,371.0,371.0,371,1188
2006-05-22,398,398.0,398.0,398,1250
2006-06-05,398,398.0,384.0,384,875
2006-06-26,384,384.0,384.0,384,3125
2006-07-31,384,384.0,384.0,384,1250
2006-09-04,384,384.0,384.0,384,13000
2006-10-02,384,384.0,384.0,384,625
2006-11-27,384,384.0,384.0,384,63
2006-12-11,368,368.0,368.0,368,99875
2007-01-01,368,368.0,368.0,368,504938
2007-01-22,368,368.0,368.0,368,63
2007-03-19,368,368.0,368.0,368,63
2007-04-30,369,369.0,369.0,369,4125
2007-06-18,369,369.0,369.0,369,688
2007-06-25,369,369.0,369.0,369,125
2007-07-16,369,369.0,369.0,369,63
2007-08-06,400,400.0,400.0,400,500
2007-08-13,400,400.0,400.0,400,188
2007-08-27,400,400.0,400.0,400,1876
2007-11-05,400,400.0,400.0,400,500
2007-12-31,400,400.0,400.0,400,938
2008-02-11,416,416.0,416.0,416,3000
2008-03-10,426,426.0,426.0,426,625
2008-03-17,457,474.0,457.0,474,162938
2008-04-21,474,474.0,474.0,474,563
2008-05-19,474,474.0,474.0,474,5500
2008-06-02,480,480.0,480.0,480,5500
2008-06-16,480,480.0,480.0,480,125
2008-06-23,480,480.0,480.0,480,63
2008-06-30,480,480.0,480.0,480,313
2008-07-07,504,504.0,504.0,504,750
2008-08-18,506,506.0,506.0,506,1688
2008-09-01,512,512.0,512.0,512,750
2008-09-15,512,512.0,512.0,512,63
2008-10-06,520,520.0,520.0,520,553813
2008-10-13,520,520.0,520.0,520,250
2008-10-27,559,559.0,559.0,559,1250
2008-11-03,601,601.0,601.0,601,8250
2008-11-17,601,601.0,601.0,601,1250
2009-02-16,568,568.0,568.0,568,1250
2009-03-09,568,568.0,568.0,568,688
2009-03-16,560,560.0,560.0,560,625
2009-03-23,552,552.0,552.0,552,938
2009-06-22,512,512.0,512.0,512,13125
2009-06-29,512,512.0,512.0,512,625
2009-07-13,474,474.0,474.0,474,938
2009-07-20,474,474.0,474.0,474,2125
2009-08-17,474,474.0,474.0,474,1000
2009-08-24,474,474.0,474.0,474,250
2009-08-31,474,474.0,474.0,474,3188
2009-10-12,468,468.0,468.0,468,1313
2009-10-26,468,468.0,468.0,468,1250
2009-11-02,468,468.0,468.0,468,375
2009-12-07,468,468.0,468.0,468,63
2010-03-22,464,464.0,464.0,464,3000
2010-07-26,464,464.0,464.0,464,31250
2010-08-02,464,464.0,464.0,464,9438
2010-08-09,464,464.0,464.0,464,42001
2010-08-30,464,464.0,464.0,464,813
2010-09-27,432,432.0,432.0,432,875
2010-10-04,416,416.0,416.0,416,27750
2010-10-11,416,416.0,416.0,416,13313
2010-10-18,414,414.0,371.0,371,12625
2010-11-08,397,397.0,397.0,397,500
2011-01-31,392,392.0,392.0,392,625
2011-02-14,368,368.0,368.0,368,1688
2011-08-01,368,368.0,368.0,368,5313
2011-08-08,368,368.0,368.0,368,251
2011-08-29,315,315.0,315.0,315,2500
2011-09-05,291,291.0,288.0,288,7188
2011-09-12,288,288.0,288.0,288,6750
2011-09-19,288,288.0,288.0,288,750
2011-09-26,288,288.0,288.0,288,63
2011-10-03,288,288.0,288.0,288,125
2011-10-10,288,288.0,288.0,288,313
2011-10-17,304,320.0,304.0,320,6250
2011-10-31,320,320.0,320.0,320,250
2011-12-12,288,288.0,288.0,288,3188
2011-12-19,272,272.0,272.0,272,22876
2012-02-27,272,272.0,272.0,272,2251
2012-03-12,272,272.0,272.0,272,63
2012-04-09,272,272.0,272.0,272,500
2012-05-14,320,320.0,320.0,320,6813
2012-05-21,320,320.0,320.0,320,63
2012-05-28,320,320.0,320.0,320,188
2012-06-11,320,320.0,320.0,320,500
2012-06-25,320,320.0,320.0,320,1063
2012-07-16,320,320.0,320.0,320,313
2012-08-27,328,328.0,328.0,328,1250
2012-09-03,328,328.0,328.0,328,375
2012-09-10,328,328.0,328.0,328,563
2012-09-24,328,328.0,328.0,328,6250
2012-10-22,328,328.0,328.0,328,125
2012-10-29,328,328.0,328.0,328,563
2012-12-03,328,328.0,328.0,328,750
2012-12-10,320,320.0,320.0,320,1375
2012-12-17,336,336.0,336.0,336,6063
2012-12-24,336,336.0,336.0,336,313
2013-01-14,336,336.0,336.0,336,125
2013-01-21,336,336.0,336.0,336,500
2013-02-18,336,336.0,336.0,336,1876
2013-02-25,336,336.0,336.0,336,1563
2013-03-11,336,336.0,336.0,336,563
2013-03-18,336,361.0,336.0,361,1625
2013-04-01,361,361.0,361.0,361,375
2013-04-08,361,361.0,361.0,361,2500
2013-04-22,368,368.0,368.0,368,13000
2013-06-03,368,368.0,368.0,368,1250
2013-06-17,368,368.0,368.0,368,813
2013-06-24,368,368.0,368.0,368,563
2013-07-01,395,395.0,395.0,395,813
2013-07-08,416,416.0,416.0,416,500
2013-07-15,445,445.0,445.0,445,500
2013-07-22,456,490.0,456.0,480,16251
2013-07-29,516,516.0,516.0,516,6250
2013-08-05,555,555.0,555.0,555,2438
2013-08-19,555,555.0,555.0,555,3251
2013-08-26,555,555.0,555.0,555,1313
2013-09-02,584,584.0,584.0,584,3438
2013-09-16,584,592.0,584.0,592,563
2013-09-23,636,636.0,636.0,636,1875
2013-09-30,640,640.0,627.0,627,1250
2013-10-07,624,624.0,624.0,624,1938
2013-10-28,624,624.0,624.0,624,2625
2013-11-04,624,624.0,624.0,624,875
2013-11-11,624,624.0,624.0,624,563
2013-11-25,577,577.0,577.0,577,63
2013-12-02,584,584.0,584.0,584,63
2013-12-09,578,578.0,578.0,578,126
2013-12-23,576,576.0,576.0,576,2877
2014-02-03,533,533.0,533.0,533,250
2014-02-10,528,528.0,528.0,528,1939
2014-03-03,528,528.0,528.0,528,3125
2014-03-17,533,533.0,533.0,533,1563
2014-03-24,528,528.0,528.0,528,5625
2014-04-21,528,528.0,528.0,528,438
2014-05-19,488,488.0,452.0,452,2251
2014-06-09,486,486.0,486.0,486,125
2014-06-16,486,486.0,486.0,486,188
2014-07-14,486,486.0,486.0,486,250
2014-09-15,449,449.0,448.0,448,4876
2014-09-29,464,464.0,464.0,464,125
2014-10-06,464,464.0,464.0,464,63
2014-10-20,432,432.0,429.0,429,500
2014-11-03,421,421.0,421.0,421,1250
2014-11-10,389,389.0,389.0,389,188
2014-12-01,389,389.0,389.0,389,1938
2014-12-15,389,389.0,384.0,384,1438
2014-12-22,389,389.0,389.0,389,188
2014-12-29,389,389.0,381.0,381,1876
2015-01-12,381,384.0,381.0,382,1876
2015-01-19,368,368.0,368.0,368,3938
2015-02-16,384,384.0,384.0,384,4250
2015-03-02,384,384.0,384.0,384,313
2015-03-23,392,392.0,392.0,392,125
2015-03-30,384,384.0,384.0,384,125
2015-04-06,384,384.0,384.0,384,63
2015-06-01,413,413.0,413.0,413,813
2015-06-08,443,443.0,443.0,443,63
2015-06-15,476,476.0,476.0,476,2313
2015-06-29,476,476.0,443.0,443,313
2015-07-27,443,443.0,443.0,443,1125
2015-08-10,443,443.0,443.0,443,438
2015-08-17,443,443.0,440.0,440,188
2015-08-24,440,440.0,440.0,440,2251
2015-08-31,440,440.0,440.0,440,1188
2015-09-14,440,440.0,440.0,440,313
2015-09-28,440,440.0,436.0,440,8938
2015-10-12,440,440.0,440.0,440,188
2015-10-19,440,440.0,440.0,440,500
2015-11-02,440,440.0,440.0,440,250
2015-11-09,440,440.0,440.0,440,63
2015-12-07,464,496.0,450.0,496,21688
2015-12-14,496,496.0,496.0,496,813
2016-01-04,496,528.0,496.0,528,4063
2016-01-11,560,560.0,560.0,560,4250
2016-01-18,560,592.0,560.0,592,1000
2016-01-25,592,592.0,568.0,568,2063
2016-02-15,576,576.0,576.0,576,9375
2016-02-22,568,568.0,544.0,544,7688
2016-03-21,503,503.0,503.0,503,250
2016-03-28,466,466.0,431.0,431,626
2016-04-04,432,432.0,431.0,432,2938
2016-04-11,432,432.0,432.0,432,500
2016-04-18,432,432.0,432.0,432,63
2016-04-25,432,432.0,432.0,432,563
2016-05-09,442,442.0,442.0,442,125
2016-05-16,475,475.0,475.0,475,5563
2016-05-30,475,475.0,475.0,475,625
2016-06-20,510,634.0,510.0,634,3001
2016-06-27,640,681.0,634.0,634,501
2016-07-04,680,722.0,672.0,722,2063
2016-07-11,672,672.0,656.0,656,688
2016-07-25,607,607.0,607.0,607,125
2016-08-01,561,561.0,561.0,561,63
2016-08-15,519,519.0,512.0,512,313
2016-08-22,512,512.0,512.0,512,2251
2016-08-29,480,480.0,480.0,480,1313
2016-09-05,448,456.0,448.0,456,876
2016-09-12,432,432.0,432.0,432,626
2016-09-26,432,432.0,416.0,416,251
2016-10-03,400,400.0,400.0,400,813
2016-10-10,400,400.0,400.0,400,2938
2016-10-17,400,400.0,371.0,371,876
2016-10-24,371,371.0,371.0,371,63
2016-10-31,371,398.0,371.0,398,8626
2016-11-07,398,398.0,398.0,398,938
2016-11-14,398,398.0,398.0,398,1125
2016-12-05,398,398.0,398.0,398,1126
2016-12-12,398,398.0,398.0,398,1375
2017-01-02,368,368.0,368.0,368,376
2017-01-16,368,368.0,340.0,340,251
2017-01-23,340,340.0,340.0,340,125
2017-01-30,336,336.0,336.0,336,5938
2017-02-13,311,311.0,311.0,311,625
2017-02-20,312,320.0,312.0,320,4313
2017-02-27,320,397.0,320.0,397,439
2017-03-06,370,397.0,370.0,397,2001
2017-03-20,397,427.0,397.0,427,3063
2017-04-10,424,424.0,422.0,424,8563
2017-04-17,423,424.0,423.0,424,1250
2017-04-24,422,424.0,422.0,424,4438
2017-05-08,392,392.0,392.0,392,63
2017-05-15,363,363.0,344.0,344,375
2017-05-22,318,320.0,318.0,320,18438
2017-05-29,304,304.0,288.0,288,1501
2017-06-05,288,304.0,288.0,304,6626
2017-06-12,304,304.0,304.0,304,313
2017-06-19,302,302.0,280.0,280,3251
2017-06-26,280,280.0,280.0,280,563
2017-07-31,282,282.0,280.0,280,375
2017-08-07,280,280.0,272.0,272,3251
2017-08-14,272,272.0,272.0,272,125
2017-08-28,291,291.0,291.0,291,63
2017-10-09,312,360.0,312.0,360,13689
2017-10-16,352,360.0,352.0,360,563
2017-10-23,387,416.0,387.0,416,2200
2017-10-30,447,447.0,447.0,447,75
2017-11-06,447,447.0,447.0,447,250
2017-11-13,447,447.0,447.0,447,25
2017-11-20,436,436.0,436.0,436,25
2017-12-04,436,469.0,403.0,436,200
2018-01-01,436,436.0,436.0,436,275
2018-01-08,436,436.0,436.0,436,175
2018-01-15,434,436.0,434.0,436,425
2018-01-29,436,469.0,400.0,400,875
