Date,Open,High,Low,Close,Volume
1998-12-31,555,667,555,599,486729
1999-12-31,588,632,529,529,53245
2000-12-31,486,486,407,407,54305
2001-12-31,407,407,407,407,8580
2002-12-31,407,407,407,407,559520
2003-12-31,407,407,407,407,5042
2004-12-31,384,384,384,384,4334
2005-12-31,384,384,328,362,3713662
2006-12-31,362,362,260,260,912781
2007-12-31,260,283,260,283,12913
2008-12-31,294,425,294,425,1056684
2009-12-31,401,401,331,331,39268
2010-12-31,328,328,262,280,200336
2011-12-31,277,277,192,192,82254
2012-12-31,192,237,192,237,41569
2013-12-31,237,452,237,407,102332
2014-12-31,376,377,269,269,39889
2015-12-31,269,373,260,373,79511
2016-12-31,396,510,260,260,93307
2017-12-31,260,331,192,308,117791
2018-12-31,308,331,141,150,34036
2019-12-31,152,413,141,237,22891
2020-12-31,237,244,191,198,34122
2021-12-31,201,671,124,601,245265
2022-12-31,587,1615,456,622,877576
2023-12-31,576,989,392,915,1356566
2024-12-31,883,915,449,509,282754
2025-12-31,509,2788,417,2335,1643204
2026-12-31,2297,5860,2201,3500,508982
