Date,Open,High,Low,Close,Volume
2020-12-31,440,575,440,500,71873
2021-03-31,500,585,470,545,37958
2021-06-30,540,1130,530,990,174234
2021-09-30,985,1550,940,1350,185707
2021-12-31,1280,1300,875,960,202837
2022-03-31,960,1130,875,1010,227376
2022-06-30,1030,1050,735,965,79508
2022-09-30,970,1175,960,1060,131630
2022-12-31,1060,1220,815,925,344399
2023-03-31,860,950,650,670,79095
2023-06-30,670,710,510,540,130297
2023-09-30,540,590,475,570,138868
2023-12-31,560,570,435,475,148739
2024-03-31,475,495,420,475,106110
2024-06-30,445,515,400,500,237618
2024-09-30,500,700,460,690,189333
2024-12-31,690,890,605,775,505630
2025-03-31,770,1025,625,1000,341541
2025-06-30,995,1065,880,960,326480
2025-09-30,960,1395,950,1165,434085
2025-12-31,1165,1420,990,1090,268577
