Date,Open,High,Low,Close,Volume
2020-11-02,450,450,450,450,315
2020-11-09,440,455,440,455,2922
2020-11-16,450,455,440,450,3971
2020-11-23,445,475,440,475,4668
2020-11-30,475,500,440,500,18862
2020-12-07,500,575,500,575,34626
2020-12-14,570,570,475,550,648
2020-12-21,545,545,500,500,3121
2020-12-28,500,500,465,500,5202
2021-01-04,500,500,470,470,4774
2021-01-11,500,510,470,510,3195
2021-01-18,510,550,510,540,2285
2021-01-25,550,550,500,550,3175
2021-02-01,550,585,540,550,4489
2021-02-08,580,585,550,550,3310
2021-02-15,555,560,555,555,1809
2021-02-22,570,580,550,570,5500
2021-03-01,565,565,500,500,4095
2021-03-08,500,565,500,565,2364
2021-03-15,565,565,525,550,1970
2021-03-22,550,560,525,525,1627
2021-03-29,550,550,535,535,2401
2021-04-05,545,550,535,550,4039
2021-04-12,550,550,530,530,4995
2021-04-19,530,545,530,535,1036
2021-04-26,535,655,535,650,22240
2021-05-03,645,750,645,700,7251
2021-05-10,750,750,700,750,10530
2021-05-17,740,750,700,705,2587
2021-05-24,705,705,660,685,2465
2021-05-31,680,745,680,745,13177
2021-06-07,750,1055,735,1055,44955
2021-06-14,1055,1130,935,940,31297
2021-06-21,935,1000,930,1000,11140
2021-06-28,960,1000,950,995,12995
2021-07-05,995,1000,950,975,11713
2021-07-12,960,970,940,970,16047
2021-07-19,955,1000,950,990,17069
2021-07-26,990,1100,990,1100,12867
2021-08-02,1170,1200,1150,1170,19031
2021-08-09,1170,1170,1120,1150,6713
2021-08-16,1170,1170,1150,1170,13552
2021-08-23,1160,1210,1160,1200,17462
2021-08-30,1240,1550,1205,1400,18801
2021-09-06,1300,1350,1205,1285,17512
2021-09-13,1285,1395,1220,1250,9696
2021-09-20,1270,1300,1255,1270,3254
2021-09-27,1270,1390,1270,1390,22874
2021-10-04,1325,1390,1160,1160,9279
2021-10-11,1075,1150,1005,1050,23643
2021-10-18,1050,1095,1010,1050,8080
2021-10-25,1030,1290,1025,1200,16624
2021-11-01,1250,1250,1155,1220,13174
2021-11-08,1255,1300,1235,1245,13663
2021-11-15,1240,1250,1135,1135,13087
2021-11-22,1100,1100,905,1000,44804
2021-11-29,1000,1125,1000,1065,6465
2021-12-06,1005,1100,1000,1050,9959
2021-12-13,1045,1060,1005,1010,10833
2021-12-20,1010,1010,945,950,14738
2021-12-27,950,985,875,930,18556
2022-01-03,930,980,900,960,6255
2022-01-10,960,960,875,935,7286
2022-01-17,935,950,905,950,10427
2022-01-24,950,960,945,950,2089
2022-01-31,950,950,900,920,10415
2022-02-07,905,940,905,915,11490
2022-02-14,915,950,910,940,36674
2022-02-21,940,1110,915,1095,35882
2022-02-28,1075,1100,940,1055,40714
2022-03-07,1060,1130,1015,1050,20089
2022-03-14,1045,1125,1000,1010,19116
2022-03-21,1010,1095,1000,1050,10869
2022-03-28,1050,1050,1010,1040,7883
2022-04-04,1045,1045,1000,1040,15680
2022-04-11,1020,1040,1000,1000,9832
2022-04-18,1000,1020,950,955,12366
2022-04-25,955,1050,950,1030,2591
2022-05-02,1025,1025,960,1000,2160
2022-05-09,1000,1000,880,920,8348
2022-05-16,860,985,800,810,19331
2022-05-23,805,915,735,915,6959
2022-05-30,915,915,850,910,2836
2022-06-06,910,925,850,915,5097
2022-06-13,915,1000,915,915,1875
2022-06-20,915,915,850,850,3374
2022-06-27,855,910,855,905,1186
2022-07-04,910,1000,910,1000,10277
2022-07-11,1000,1025,1000,1005,17176
2022-07-18,1005,1125,1005,1120,6811
2022-07-25,1115,1120,1000,1050,5056
2022-08-01,1020,1050,1000,1000,4289
2022-08-08,1005,1050,1000,1010,4283
2022-08-15,1010,1050,960,1000,10148
2022-08-22,1000,1075,1000,1060,7003
2022-08-29,1010,1175,1010,1100,23999
2022-09-05,1100,1125,1100,1100,9576
2022-09-12,1105,1110,1100,1100,12565
2022-09-19,1100,1115,1050,1100,11275
2022-09-26,1050,1110,1050,1100,9205
2022-10-03,1100,1100,1050,1100,42343
2022-10-10,1100,1110,1020,1050,36701
2022-10-17,1055,1100,1050,1075,11697
2022-10-24,1080,1190,1045,1185,105211
2022-10-31,1185,1185,1100,1180,5044
2022-11-07,1165,1220,1105,1200,27669
2022-11-14,1115,1200,1105,1105,1367
2022-11-21,1110,1185,1090,1090,6954
2022-11-28,1090,1100,1010,1030,9226
2022-12-05,1045,1045,900,900,3044
2022-12-12,950,1040,910,1040,4669
2022-12-19,1000,1170,1000,1170,26190
2022-12-26,1125,1145,950,995,62101
2023-01-02,925,950,815,860,4368
2023-01-09,800,950,800,950,1822
2023-01-16,940,940,830,830,3380
2023-01-23,830,900,800,900,2978
2023-01-30,840,900,800,800,12015
2023-02-06,800,850,785,795,1883
2023-02-13,795,850,795,845,1242
2023-02-20,830,830,795,800,4445
2023-02-27,790,790,695,695,8542
2023-03-06,695,700,685,700,12203
2023-03-13,700,700,685,685,8351
2023-03-20,695,750,690,690,7389
2023-03-27,690,690,650,680,13081
2023-04-03,660,710,660,710,3045
2023-04-10,710,710,680,700,7606
2023-04-17,700,700,650,695,4554
2023-04-24,695,700,650,695,2773
2023-05-01,695,695,650,685,31459
2023-05-08,685,700,650,650,10896
2023-05-15,660,660,630,630,6833
2023-05-22,630,630,600,600,5909
2023-05-29,600,610,565,600,1927
2023-06-05,600,600,560,590,1541
2023-06-12,590,590,535,535,6853
2023-06-19,530,550,530,550,8755
2023-06-26,590,590,545,550,26730
2023-07-03,550,550,510,510,14767
2023-07-10,535,540,510,535,13744
2023-07-17,520,540,520,540,3365
2023-07-24,540,540,500,530,14362
2023-07-31,530,550,530,550,14943
2023-08-07,550,550,525,550,5296
2023-08-14,550,590,530,585,3183
2023-08-21,585,585,530,535,14997
2023-08-28,535,540,505,525,19164
2023-09-04,505,540,475,530,22960
2023-09-11,530,570,525,550,9351
2023-09-18,550,565,540,565,4054
2023-09-25,565,570,530,565,10864
2023-10-02,565,570,530,560,1330
2023-10-09,560,560,495,525,20096
2023-10-16,525,525,495,525,3410
2023-10-23,500,545,495,515,16992
2023-10-30,515,530,500,520,5818
2023-11-06,500,520,475,500,4217
2023-11-13,500,500,495,500,8545
2023-11-20,500,500,495,500,8050
2023-11-27,495,510,495,500,9837
2023-12-04,500,520,485,495,19289
2023-12-11,495,495,470,495,6279
2023-12-18,495,495,450,455,10645
2023-12-25,460,485,450,470,9359
2024-01-01,445,475,435,475,25715
2024-01-08,475,475,440,455,6513
2024-01-15,460,460,420,450,7204
2024-01-22,450,450,435,445,2272
2024-01-29,445,455,430,440,12282
2024-02-05,440,470,420,470,17128
2024-02-12,470,495,450,495,4314
2024-02-19,470,495,440,470,7394
2024-02-26,460,485,440,475,5915
2024-03-04,460,475,435,450,5151
2024-03-11,440,460,425,435,6759
2024-03-18,460,470,435,445,18302
2024-03-25,445,465,440,465,3325
2024-04-01,460,480,460,475,9551
2024-04-08,445,475,445,445,5482
2024-04-15,470,470,440,460,28275
2024-04-22,460,460,440,460,38930
2024-04-29,460,460,450,460,2999
2024-05-06,460,460,430,460,4770
2024-05-13,430,460,400,430,13322
2024-05-20,430,470,410,470,35567
2024-05-27,465,515,445,510,11207
2024-06-03,510,510,490,495,16513
2024-06-10,500,500,485,490,2077
2024-06-17,490,505,470,500,28320
2024-06-24,500,510,475,510,18981
2024-07-01,510,510,470,475,33442
2024-07-08,470,500,470,500,8789
2024-07-15,500,500,460,490,17222
2024-07-22,490,500,465,495,22244
2024-07-29,495,550,485,525,4714
2024-08-05,520,545,505,535,10229
2024-08-12,535,535,515,525,2867
2024-08-19,515,530,510,520,13469
2024-08-26,520,530,495,530,13423
2024-09-02,505,530,495,495,20746
2024-09-09,500,535,495,505,7783
