Date,Open,High,Low,Close,Volume
2020-12-31,2835,3000,2550,2990,92618
2021-03-31,2900,3650,2700,3650,94180
2021-06-30,3460,4500,3040,4500,70003
2021-09-30,4500,4700,3500,4200,295550
2021-12-31,4210,4600,4105,4295,80223
2022-03-31,4500,4500,3750,4495,93959
2022-06-30,4375,5400,4255,5260,61416
2022-09-30,5260,5700,4980,5500,57108
2022-12-31,5495,5690,4505,5465,106991
2023-03-31,5465,5465,4750,5200,75336
2023-06-30,5100,5200,4760,4990,35750
2023-09-30,4990,5450,4650,4845,255185
2023-12-31,4845,4950,4000,4770,82032
2024-03-31,4750,4770,4100,4500,25441
2024-06-30,4500,5340,4200,5325,110958
2024-09-30,5325,6100,4995,5720,126271
2024-12-31,5300,5910,4995,5685,177954
2025-03-31,5690,6600,5500,6580,83180
2025-06-30,6580,6710,5800,6000,63022
2025-09-30,6000,6300,5320,5850,54757
2025-12-31,5900,6250,5825,6000,35756
