Date,Open,High,Low,Close,Volume
2020-11-09,2835,2835,2835,2835,1
2020-11-16,2825,2825,2550,2700,4821
2020-11-23,2695,2700,2695,2700,22405
2020-11-30,2700,2900,2675,2700,8908
2020-12-07,2700,2705,2605,2680,22610
2020-12-14,2695,2850,2675,2850,12212
2020-12-21,2850,2995,2800,2900,3192
2020-12-28,2700,2995,2700,2800,1050
2021-01-04,3000,3000,2800,2800,18459
2021-01-11,2800,2900,2700,2900,10624
2021-01-18,2890,2900,2800,2830,1254
2021-01-25,2875,2980,2850,2975,1719
2021-02-01,2975,3000,2905,3000,4130
2021-02-08,3085,3085,2900,2990,868
2021-02-15,2990,2995,2900,2995,385
2021-02-22,2995,3050,2950,3050,8598
2021-03-01,3000,3200,2920,3150,21428
2021-03-08,3005,3150,3000,3000,1053
2021-03-15,3050,3150,3000,3145,17575
2021-03-22,3145,3150,3100,3150,2212
2021-03-29,3135,3350,3000,3300,12487
2021-04-05,3300,3650,3200,3400,11806
2021-04-12,3400,3500,3220,3235,4952
2021-04-19,3235,3400,3200,3395,996
2021-04-26,3400,3500,3200,3450,9131
2021-05-03,3220,3400,3200,3300,1367
2021-05-10,3300,3300,3200,3250,6126
2021-05-17,3250,3345,3040,3300,4505
2021-05-24,3300,3450,3200,3300,8917
2021-05-31,3440,4100,3300,4100,4938
2021-06-07,4005,4005,3750,3900,5003
2021-06-14,3850,3950,3850,3950,11508
2021-06-21,3945,4100,3930,4100,5481
2021-06-28,4055,4300,3950,4100,1798
2021-07-05,4230,4500,4230,4450,4842
2021-07-12,4300,4450,3900,3950,150903
2021-07-19,3950,4165,3500,4100,15674
2021-07-26,4150,4455,3900,4455,4444
2021-08-02,4465,4700,3700,4695,73703
2021-08-09,4600,4600,4300,4495,3899
2021-08-16,4495,4500,4350,4500,2192
2021-08-23,4500,4500,4450,4500,2527
2021-08-30,4500,4500,4300,4400,4854
2021-09-06,4355,4400,4300,4300,5925
2021-09-13,4000,4500,4000,4200,1886
2021-09-20,4200,4500,4200,4200,9968
2021-09-27,4250,4300,4150,4250,14098
2021-10-04,4400,4495,4010,4495,49182
2021-10-11,4495,4500,4305,4500,2422
2021-10-18,4500,4500,4450,4495,1465
2021-10-25,4495,4500,4165,4500,13052
2021-11-01,4185,4600,4165,4175,4694
2021-11-08,4395,4590,4395,4450,988
2021-11-15,4450,4450,4200,4450,854
2021-11-22,4450,4500,4185,4200,2422
2021-11-29,4200,4495,4180,4400,1608
2021-12-06,4495,4590,4105,4490,1094
2021-12-13,4490,4555,4200,4200,4906
2021-12-20,4200,4440,4150,4440,413
2021-12-27,4450,4550,4400,4500,552
2022-01-03,4400,4500,4200,4500,1553
2022-01-10,4450,4450,4180,4350,511
2022-01-17,4350,4485,4345,4480,846
2022-01-24,4400,4495,4355,4450,842
2022-01-31,4450,4450,4070,4400,5486
2022-02-07,4275,4445,4275,4400,4102
2022-02-14,4400,4450,4075,4400,8247
2022-02-21,4325,4400,4005,4050,18072
2022-02-28,4100,4275,3750,4100,22901
2022-03-07,4100,4395,4100,4340,2946
2022-03-14,4325,4450,4250,4300,13568
2022-03-21,4300,4450,4250,4450,14866
2022-03-28,4445,4450,4350,4440,860
2022-04-04,4400,4495,4350,4350,1735
2022-04-11,4300,4450,4300,4300,1745
2022-04-18,4400,4490,4305,4355,217
2022-04-25,4455,4485,4300,4400,1642
2022-05-02,4300,4890,4255,4885,25408
2022-05-09,4885,4885,4550,4870,3340
2022-05-16,4850,4885,4750,4795,2342
2022-05-23,4795,4890,4555,4890,10436
2022-05-30,4890,5160,4680,5160,1292
2022-06-06,5000,5400,4800,5400,6138
2022-06-13,5400,5400,4905,5375,652
2022-06-20,5370,5370,5000,5350,993
2022-06-27,5005,5300,5005,5300,4161
2022-07-04,5250,5260,4850,4980,3007
2022-07-11,4980,5350,4980,5295,3476
2022-07-18,5300,5300,5000,5150,2678
2022-07-25,5150,5150,5100,5150,473
2022-08-01,5150,5300,5005,5200,10460
2022-08-08,5200,5300,5105,5200,1484
2022-08-15,5200,5350,5000,5350,730
2022-08-22,5295,5295,5010,5190,2971
2022-08-29,5190,5195,5015,5195,5398
2022-09-05,5190,5500,5100,5400,15997
2022-09-12,5405,5495,5200,5400,5214
2022-09-19,5200,5700,5200,5700,902
2022-09-26,5690,5700,5305,5350,5144
2022-10-03,5350,5500,5300,5445,1161
2022-10-10,5210,5690,5195,5200,5745
2022-10-17,5200,5590,5075,5150,7674
2022-10-24,5150,5500,4765,5245,43580
2022-10-31,5200,5450,5000,5450,1227
2022-11-07,5430,5430,5200,5300,1293
2022-11-14,5300,5300,4800,4800,4974
2022-11-21,4800,4800,4600,4750,1029
2022-11-28,4750,4750,4520,4700,2477
2022-12-05,4700,4700,4505,4650,3539
2022-12-12,4600,5300,4600,5300,4093
2022-12-19,5195,5505,5195,5350,27307
2022-12-26,5350,5545,5350,5495,2142
2023-01-02,5475,5475,5300,5465,1937
2023-01-09,5400,5400,5110,5350,335
2023-01-16,5350,5350,4750,4750,3806
2023-01-23,4755,5295,4755,5075,12646
2023-01-30,5075,5350,5000,5345,4060
2023-02-06,5340,5345,5000,5325,4330
2023-02-13,5315,5320,5000,5290,5070
2023-02-20,5305,5350,5005,5200,3117
2023-02-27,5295,5350,5000,5000,25334
2023-03-06,5200,5350,5000,5350,2283
2023-03-13,5350,5350,5330,5340,3908
2023-03-20,5340,5340,5150,5250,1536
2023-03-27,5150,5250,4910,5200,4884
2023-04-03,5195,5240,4960,4960,4262
2023-04-10,4960,5200,4960,5195,833
2023-04-17,5150,5195,5150,5190,665
2023-04-24,5175,5175,5000,5145,358
2023-05-01,5145,5150,4900,5090,2033
2023-05-08,5090,5150,5090,5125,1548
2023-05-15,5000,5100,5000,5090,498
2023-05-22,5000,5095,4780,4800,2445
2023-05-29,4810,5125,4810,5000,4262
2023-06-05,5000,5000,4950,4990,1462
2023-06-12,4895,4950,4895,4900,2823
2023-06-19,4760,4895,4760,4800,6445
2023-06-26,4800,4995,4795,4795,9488
2023-07-03,4795,4990,4760,4990,2962
2023-07-10,4990,4990,4750,4950,39154
2023-07-17,4910,4960,4800,4960,9883
2023-07-24,4975,5000,4750,4965,100579
2023-07-31,4965,5370,4965,5370,6095
2023-08-07,5360,5370,5150,5290,604
2023-08-14,5285,5300,5000,5200,3274
2023-08-21,5120,5300,5120,5225,4188
2023-08-28,5225,5260,5000,5000,28967
2023-09-04,5000,5300,5000,5300,17897
2023-09-11,5300,5395,5300,5395,7856
2023-09-18,5450,5450,4880,4900,17120
2023-09-25,4950,4950,4650,4895,16202
2023-10-02,4950,4995,4700,4845,3300
2023-10-09,4845,4845,4660,4800,8567
2023-10-16,4900,4800,4655,4790,6409
2023-10-23,4790,4950,4715,4800,2405
2023-10-30,4795,4900,4440,4545,25130
2023-11-06,4500,4550,4125,4490,5658
2023-11-13,4490,4490,4100,4395,2389
2023-11-20,4395,4500,4000,4500,10421
2023-11-27,4485,4600,4010,4600,7290
