Date,Open,High,Low,Close,Volume
2020-11-30,1240,1370,1210,1275,58390
2020-12-31,1270,1555,1180,1550,274252
2021-01-31,1540,1540,1300,1325,9268
2021-02-28,1300,1500,1300,1400,53662
2021-03-31,1395,1470,1395,1450,7833
2021-04-30,1410,1500,1345,1350,33581
2021-05-31,1350,1500,1300,1455,14597
2021-06-30,1460,1820,1440,1595,111438
2021-07-31,1500,1890,1495,1875,18168
2021-08-31,1875,2315,1715,2315,295962
2021-09-30,2155,2400,1900,2345,59378
2021-10-31,2340,2445,2080,2300,41226
2021-11-30,2100,2500,2000,2450,54506
2021-12-31,2450,2570,2175,2570,61026
2022-01-31,2570,2760,2100,2300,18213
2022-02-28,2130,2575,2130,2500,53444
2022-03-31,2450,2495,2155,2400,44515
2022-04-30,2495,2495,2200,2400,77962
2022-05-31,2300,2395,1665,1940,13047
2022-06-30,2000,2000,1645,1650,28745
2022-07-31,1650,2035,1610,2000,64894
2022-08-31,1900,2000,1700,1895,68970
2022-09-30,1850,1890,1700,1815,28062
2022-10-31,1815,1815,1450,1720,87348
2022-11-30,1720,1720,1220,1250,42280
2022-12-31,1230,1490,1200,1395,84841
2023-01-31,1395,1395,1245,1255,48233
2023-02-28,1250,1350,1250,1350,109901
2023-03-31,1345,1480,1340,1450,49481
2023-04-30,1445,1455,1355,1370,25716
2023-05-31,1350,1450,1325,1390,51682
2023-06-30,1390,1545,1245,1545,59023
2023-07-31,1530,1700,1420,1690,109230
2023-08-31,1680,1690,1430,1450,88768
2023-09-30,1455,1610,1420,1610,32241
2023-10-31,1500,1610,1370,1400,27706
2023-11-30,1400,1670,1370,1500,134327
2023-12-31,1445,1570,1350,1350,207024
2024-01-31,1345,1500,1320,1460,244675
2024-02-29,1450,1585,1390,1585,102884
2024-03-31,1495,1600,1470,1600,158401
2024-04-30,1595,1690,1505,1685,102868
2024-05-31,1715,1710,1300,1430,191905
2024-06-30,1425,1430,1210,1275,170777
2024-07-31,1275,1330,1225,1300,145439
2024-08-31,1300,1395,1250,1385,86328
2024-09-30,1385,1490,1300,1485,65290
2024-10-31,1375,1505,1355,1400,102572
2024-11-30,1350,1435,1300,1390,118300
2024-12-31,1390,1440,1230,1340,90143
2025-01-31,1340,1340,1235,1275,54046
2025-02-28,1275,1400,1230,1305,67897
2025-03-31,1330,1425,1300,1390,174230
2025-04-30,1385,1390,1290,1365,85841
2025-05-31,1365,1700,1360,1700,179615
2025-06-30,1700,1700,1400,1425,275525
2025-07-31,1425,1465,1385,1440,82886
2025-08-31,1440,1550,1355,1400,122154
2025-09-30,1420,1550,1350,1490,130059
2025-10-31,1465,1505,1430,1470,411086
2025-11-30,1470,1780,1450,1700,478786
