Date,Open,High,Low,Close,Volume
2020-12-31,1270,1555,1180,1550,336927
2021-03-31,1540,1540,1300,1450,70763
2021-06-30,1410,1820,1300,1595,159616
2021-09-30,1500,2400,1495,2345,373508
2021-12-31,2340,2570,2000,2570,156758
2022-03-31,2570,2760,2100,2400,116172
2022-06-30,2495,2495,1645,1650,119754
2022-09-30,1650,2035,1610,1815,161926
2022-12-31,1815,1815,1200,1395,214469
2023-03-31,1395,1480,1245,1450,207615
2023-06-30,1445,1545,1245,1545,136421
2023-09-30,1530,1700,1420,1610,230239
2023-12-31,1500,1670,1350,1350,369057
2024-03-31,1345,1600,1320,1600,505960
2024-06-30,1595,1710,1210,1275,465550
2024-09-30,1275,1490,1225,1485,297057
2024-12-31,1375,1505,1230,1340,311015
2025-03-31,1340,1425,1230,1390,296173
2025-06-30,1385,1700,1290,1425,540981
2025-09-30,1425,1550,1350,1490,335099
2025-12-31,1465,1505,1430,1470,411086
