Date,Open,High,Low,Close,Volume
2020-11-02,1270,1270,1240,1240,470
2020-11-09,1270,1270,1240,1260,1199
2020-11-16,1245,1280,1210,1275,41101
2020-11-23,1275,1370,1260,1345,16388
2020-11-30,1370,1370,1255,1275,3517
2020-12-07,1270,1270,1200,1250,7731
2020-12-14,1250,1330,1240,1330,16705
2020-12-21,1345,1450,1180,1450,174434
2020-12-28,1425,1555,1350,1555,56621
2021-01-04,1445,1550,1440,1540,18793
2021-01-11,1500,1520,1435,1435,994
2021-01-18,1435,1500,1375,1475,3963
2021-01-25,1475,1480,1350,1350,1742
2021-02-01,1350,1350,1300,1325,3516
2021-02-08,1325,1350,1300,1350,5455
2021-02-15,1350,1460,1345,1400,42291
2021-02-22,1410,1500,1410,1450,4169
2021-03-01,1450,1450,1395,1400,1628
2021-03-08,1430,1430,1400,1410,2140
2021-03-15,1400,1450,1400,1450,2551
2021-03-22,1450,1455,1410,1450,629
2021-03-29,1450,1470,1405,1470,1109
2021-04-05,1430,1450,1405,1450,2347
2021-04-12,1450,1450,1345,1400,11081
2021-04-19,1400,1450,1350,1410,6123
2021-04-26,1450,1470,1385,1400,6465
2021-05-03,1500,1500,1345,1345,9311
2021-05-10,1300,1500,1300,1490,4150
2021-05-17,1490,1500,1435,1495,2329
2021-05-24,1440,1475,1400,1455,3046
2021-05-31,1455,1460,1410,1455,3870
2021-06-07,1460,1795,1440,1790,23338
2021-06-14,1675,1810,1675,1810,67046
2021-06-21,1800,1800,1700,1750,9252
2021-06-28,1750,1820,1620,1660,9851
2021-07-05,1620,1710,1495,1710,5585
2021-07-12,1710,1715,1600,1710,3063
2021-07-19,1700,1820,1670,1680,3200
2021-07-26,1705,1800,1705,1800,4425
2021-08-02,1800,1955,1730,1875,10594
2021-08-09,1900,1950,1850,1945,16547
2021-08-16,1875,1900,1850,1860,22877
2021-08-23,1870,1885,1715,1870,223494
2021-08-30,1865,2155,1805,2155,18123
2021-09-06,2160,2400,2000,2395,15515
2021-09-13,2390,2395,2065,2225,9066
2021-09-20,2150,2225,2030,2100,8177
2021-09-27,2100,2200,1900,2050,16088
2021-10-04,1975,2345,1975,2290,20620
2021-10-11,2285,2300,2120,2290,7217
2021-10-18,2200,2285,2120,2275,1747
2021-10-25,2120,2445,2120,2420,12173
2021-11-01,2300,2425,2080,2300,18174
2021-11-08,2100,2200,2000,2050,8894
2021-11-15,2100,2200,2050,2200,4808
2021-11-22,2100,2410,2100,2200,12683
2021-11-29,2175,2500,2165,2500,24892
2021-12-06,2500,2500,2270,2390,12323
2021-12-13,2350,2400,2175,2385,12159
2021-12-20,2385,2450,2215,2445,7597
2021-12-27,2445,2450,2270,2400,3959
2022-01-03,2355,2760,2300,2760,28922
2022-01-10,2740,2760,2370,2530,1010
2022-01-17,2530,2530,2200,2340,2252
2022-01-24,2340,2345,2100,2100,3974
2022-01-31,2100,2350,2100,2300,10272
2022-02-07,2130,2500,2130,2500,7905
2022-02-14,2400,2575,2400,2550,30699
2022-02-21,2500,2560,2500,2500,11214
2022-02-28,2400,2550,2315,2500,3626
2022-03-07,2450,2450,2155,2315,1155
2022-03-14,2380,2450,2195,2350,1010
2022-03-21,2365,2400,2200,2220,5938
2022-03-28,2220,2400,2220,2400,11213
2022-04-04,2430,2495,2200,2200,28655
2022-04-11,2235,2470,2200,2470,61560
2022-04-18,2400,2435,2220,2400,2659
2022-04-25,2400,2400,2380,2390,1385
2022-05-02,2400,2400,2255,2400,8902
2022-05-09,2300,2395,2060,2100,1720
2022-05-16,2060,2060,2000,2030,854
2022-05-23,2035,2035,1870,1900,1653
2022-05-30,1900,1900,1665,1805,5733
2022-06-06,1930,2000,1665,1670,4865
2022-06-13,1705,1900,1705,1890,937
2022-06-20,1900,1900,1800,1800,2846
2022-06-27,1795,1800,1670,1700,2281
2022-07-04,1800,1800,1645,1650,24592
2022-07-11,1650,1795,1610,1740,28131
2022-07-18,1735,1735,1655,1695,1661
2022-07-25,1690,1700,1650,1700,5927
2022-08-01,1700,2035,1700,2000,43849
2022-08-08,1995,1995,1790,1900,20430
2022-08-15,1900,1900,1760,1900,9661
2022-08-22,1895,1895,1750,1800,1282
2022-08-29,1750,1800,1700,1775,11364
2022-09-05,1775,1895,1725,1760,10315
2022-09-12,1875,1875,1760,1770,710
2022-09-19,1760,1850,1750,1840,7298
2022-09-26,1770,1845,1750,1845,3313
2022-10-03,1845,1845,1700,1810,14362
2022-10-10,1705,1810,1680,1685,10873
2022-10-17,1685,1685,1450,1600,32481
2022-10-24,1600,1600,1480,1500,35672
2022-10-31,1510,1720,1510,1720,8256
2022-11-07,1720,1720,1540,1695,7544
2022-11-14,1650,1650,1490,1590,3935
2022-11-21,1550,1590,1430,1535,12404
2022-11-28,1500,1500,1295,1295,12074
2022-12-05,1250,1250,1200,1240,35400
2022-12-12,1240,1390,1205,1390,31840
2022-12-19,1400,1490,1400,1480,5375
2022-12-26,1475,1475,1390,1470,1233
2023-01-02,1470,1470,1295,1390,17559
2023-01-09,1300,1390,1295,1345,3310
2023-01-16,1345,1345,1275,1275,9139
2023-01-23,1275,1345,1275,1300,14224
2023-01-30,1290,1300,1245,1290,20807
2023-02-06,1300,1350,1250,1350,1850
2023-02-13,1345,1345,1250,1250,65126
2023-02-20,1250,1350,1250,1345,29313
2023-02-27,1345,1345,1300,1300,11653
2023-03-06,1340,1350,1340,1340,3565
2023-03-13,1340,1385,1340,1380,6688
2023-03-20,1355,1480,1355,1480,22525
2023-03-27,1480,1480,1400,1455,15002
2023-04-03,1450,1450,1360,1445,5203
2023-04-10,1450,1455,1400,1400,2045
2023-04-17,1400,1450,1395,1440,5079
2023-04-24,1395,1410,1390,1390,4182
2023-05-01,1390,1395,1355,1370,13377
2023-05-08,1350,1450,1325,1400,17825
2023-05-15,1400,1400,1350,1350,12408
2023-05-22,1350,1400,1350,1395,3632
2023-05-29,1350,1400,1350,1400,6910
2023-06-05,1395,1395,1330,1330,14338
2023-06-12,1350,1400,1300,1325,8049
2023-06-19,1325,1325,1280,1280,19057
2023-06-26,1275,1350,1245,1350,7209
2023-07-03,1350,1545,1345,1530,25438
2023-07-10,1445,1545,1420,1535,9259
2023-07-17,1535,1700,1450,1700,67791
2023-07-24,1650,1700,1495,1595,14253
2023-07-31,1590,1700,1465,1690,13766
2023-08-07,1680,1690,1565,1650,9189
2023-08-14,1650,1650,1500,1550,3798
2023-08-21,1595,1595,1450,1495,52967
2023-08-28,1490,1550,1430,1540,20091
2023-09-04,1530,1540,1450,1470,3860
2023-09-11,1470,1480,1455,1475,3633
2023-09-18,1480,1500,1430,1500,13246
2023-09-25,1475,1500,1420,1450,7433
2023-10-02,1475,1610,1430,1590,6962
2023-10-09,1610,1610,1550,1575,3542
2023-10-16,1580,1575,1500,1560,10559
2023-10-23,1550,1560,1390,1490,4409
2023-10-30,1480,1490,1370,1400,8317
2023-11-06,1400,1425,1375,1400,7747
2023-11-13,1375,1670,1370,1655,60960
2023-11-20,1660,1655,1430,1600,8764
2023-11-27,1595,1600,1445,1520,43156
2023-12-04,1500,1570,1415,1490,29660
2023-12-11,1495,1570,1490,1500,27468
2023-12-18,1500,1570,1385,1385,27249
2023-12-25,1400,1500,1385,1450,118115
2024-01-01,1460,1550,1350,1350,18941
2024-01-08,1345,1500,1320,1375,58985
2024-01-15,1375,1450,1350,1375,50051
2024-01-22,1375,1450,1350,1400,107116
2024-01-29,1400,1480,1375,1470,27147
2024-02-05,1470,1490,1390,1455,12612
2024-02-12,1470,1470,1390,1470,16790
2024-02-19,1490,1545,1470,1500,39667
2024-02-26,1510,1540,1450,1500,26015
2024-03-04,1500,1585,1480,1545,19216
2024-03-11,1505,1545,1480,1495,28797
2024-03-18,1500,1525,1470,1525,61062
2024-03-25,1520,1560,1500,1550,48753
2024-04-01,1550,1600,1500,1600,9749
2024-04-08,1595,1620,1505,1615,24093
2024-04-15,1610,1650,1570,1635,32232
2024-04-22,1635,1665,1515,1660,28106
2024-04-29,1650,1690,1615,1640,14400
2024-05-06,1640,1710,1460,1460,27805
2024-05-13,1355,1490,1300,1490,76116
2024-05-20,1425,1490,1320,1400,36584
