Date,Open,High,Low,Close,Volume
2020-11-12,135,140,135,140,55
2020-11-13,140,140,140,140,100
2020-11-16,140,140,140,140,12
2020-11-17,140,140,140,140,500
2020-11-19,145,145,140,140,12
2020-11-20,140,140,140,140,120
2020-11-23,140,140,140,140,74
2020-11-24,140,140,135,140,259
2020-11-25,140,140,140,140,2100
2020-11-27,140,140,140,140,500
2020-12-02,135,140,135,140,36000
2020-12-03,145,145,145,145,2150
2020-12-04,145,150,145,150,17880
2020-12-07,160,160,160,160,721
2020-12-08,170,170,170,170,800
2020-12-09,170,180,170,180,4730
2020-12-10,170,190,170,190,6070
2020-12-11,190,190,180,190,272
2020-12-23,180,190,180,190,2510
2020-12-28,180,180,180,180,568
2020-12-29,190,190,190,190,7749
2020-12-30,190,195,190,195,955
2020-12-31,190,200,190,200,647
2021-01-05,200,200,200,200,559
2021-01-06,195,195,195,195,10
2021-01-11,185,185,185,185,15
2021-01-12,190,190,190,190,15360
2021-01-13,200,200,195,200,3355
2021-01-14,200,200,200,200,5942
2021-01-15,210,210,210,210,2
2021-01-19,205,210,205,210,85
2021-01-20,210,210,200,200,870
2021-01-21,200,215,200,215,9515
2021-01-22,205,215,200,215,61728
2021-01-25,200,230,200,230,1155
2021-01-26,230,230,230,230,20
2021-01-27,215,245,215,245,922
2021-01-28,240,245,230,230,645
2021-01-29,245,245,230,245,105
2021-02-01,245,245,245,245,520
2021-02-03,240,240,240,240,3
2021-02-04,240,240,240,240,240
2021-02-08,240,240,240,240,27
2021-02-09,240,240,235,235,46
2021-02-11,235,235,235,235,5
2021-02-15,220,230,220,230,7
2021-02-16,230,230,230,230,54
2021-02-17,215,230,215,215,2051
2021-02-18,210,210,200,200,30811
2021-02-19,200,200,200,200,1740
2021-02-22,210,210,210,210,50
2021-02-24,210,210,210,210,50
2021-02-25,225,225,225,225,800
2021-02-26,235,235,235,235,2310
2021-03-02,240,240,220,220,982
2021-03-03,220,220,220,220,220
2021-03-05,220,220,220,220,50
2021-03-16,220,220,220,220,6017
2021-03-17,220,220,220,220,100
2021-03-19,210,210,210,210,362
2021-03-22,205,205,205,205,1
2021-03-24,210,210,210,210,360
2021-03-25,210,210,210,210,200
2021-03-26,210,210,210,210,26
2021-03-29,210,210,200,200,32
2021-03-30,200,200,200,200,400
2021-04-07,200,200,200,200,340
2021-04-13,215,215,215,215,14
