Date,Open,High,Low,Close,Volume
2020-10-31,135,135,135,135,5
2020-11-30,145,150,135,140,8056
2020-12-31,135,200,135,200,81052
2021-01-31,200,245,185,245,100288
2021-02-28,245,245,200,235,38714
2021-03-31,240,240,200,200,8750
2021-04-30,200,275,200,275,6784
2021-05-31,295,440,295,430,146043
2021-06-30,460,460,395,435,31049
2021-07-31,435,630,390,485,239683
2021-08-31,485,630,485,630,62244
2021-09-30,670,775,585,770,54571
2021-10-31,775,800,680,710,44885
2021-11-30,680,720,660,680,5135
2021-12-31,680,765,625,765,59650
2022-01-31,750,770,650,700,11088
2022-02-28,700,760,650,690,23390
2022-03-31,690,740,650,680,43421
2022-04-30,675,720,650,715,48561
2022-05-31,665,790,665,755,23047
2022-06-30,755,755,695,700,4364
2022-07-31,700,755,650,750,12972
2022-08-31,750,770,700,740,12935
2022-09-30,745,750,640,730,8613
2022-10-31,700,740,650,705,4166
2022-11-30,700,700,635,645,3840
2022-12-31,645,745,635,680,7126
2023-01-31,675,695,590,630,1492
2023-02-28,630,700,630,685,8428
2023-03-31,685,695,625,650,3720
2023-04-30,650,695,630,650,1377
2023-05-31,645,720,600,720,3466
2023-06-30,720,720,650,710,2122
2023-07-31,695,710,605,680,48853
2023-08-31,675,680,615,615,6944
2023-09-30,620,725,570,700,16889
2023-10-31,650,700,595,600,31479
2023-11-30,600,775,535,770,465393
2023-12-31,770,835,645,700,307736
