Date,Open,High,Low,Close,Volume
2020-11-09,145.0,145.0,145.0,145.0,100
2020-11-16,150.0,150.0,135.0,140.0,372
2020-11-23,140.0,145.0,140.0,140.0,706
2020-11-30,140.0,140.0,135.0,140.0,2859
2020-12-07,135.0,160.0,135.0,160.0,56751
2020-12-14,170.0,190.0,170.0,190.0,11872
2020-12-28,180.0,190.0,180.0,180.0,3078
2021-01-04,190.0,200.0,190.0,200.0,9351
2021-01-11,200.0,200.0,185.0,185.0,584
2021-01-18,190.0,210.0,190.0,210.0,24659
2021-01-25,205.0,230.0,200.0,230.0,73353
2021-02-01,230.0,245.0,215.0,245.0,2212
2021-02-08,240.0,240.0,240.0,240.0,270
2021-02-15,240.0,240.0,220.0,230.0,58
2021-02-22,230.0,230.0,200.0,210.0,34706
2021-03-01,210.0,235.0,210.0,235.0,3160
2021-03-08,240.0,240.0,220.0,220.0,1252
2021-03-22,220.0,220.0,205.0,205.0,6480
2021-03-29,210.0,210.0,200.0,200.0,618
2021-04-05,200.0,200.0,200.0,200.0,400
2021-04-12,200.0,200.0,200.0,200.0,340
2021-04-19,215.0,215.0,200.0,200.0,705
2021-04-26,200.0,215.0,200.0,215.0,1480
2021-05-03,220.0,295.0,220.0,295.0,5781
2021-05-10,315.0,410.0,315.0,410.0,19533
2021-05-17,410.0,440.0,380.0,405.0,70539
2021-05-24,405.0,405.0,375.0,395.0,16769
2021-05-31,390.0,430.0,370.0,430.0,37680
2021-06-07,460.0,460.0,400.0,450.0,10105
2021-06-14,445.0,445.0,395.0,430.0,4495
2021-06-21,430.0,450.0,415.0,450.0,9903
2021-06-28,430.0,450.0,430.0,440.0,4626
2021-07-05,440.0,450.0,415.0,415.0,6120
2021-07-12,415.0,445.0,390.0,445.0,44647
2021-07-19,450.0,575.0,450.0,570.0,7300
2021-07-26,570.0,625.0,550.0,590.0,84125
2021-08-02,630.0,630.0,485.0,485.0,110186
2021-08-09,520.0,555.0,485.0,555.0,21149
2021-08-16,555.0,590.0,520.0,550.0,1977
2021-08-23,550.0,585.0,550.0,585.0,10138
2021-08-30,585.0,620.0,575.0,600.0,6603
2021-09-06,600.0,690.0,600.0,635.0,25000
2021-09-13,620.0,655.0,585.0,645.0,11129
2021-09-20,645.0,690.0,635.0,675.0,15400
2021-09-27,675.0,750.0,675.0,750.0,11812
2021-10-04,710.0,790.0,710.0,790.0,7046
2021-10-11,785.0,800.0,730.0,770.0,4595
2021-10-18,770.0,775.0,750.0,765.0,1432
2021-10-25,760.0,760.0,680.0,680.0,29412
2021-11-01,695.0,710.0,680.0,710.0,5232
2021-11-08,680.0,705.0,680.0,695.0,1609
2021-11-15,695.0,715.0,695.0,715.0,1190
2021-11-22,690.0,720.0,690.0,720.0,341
2021-11-29,720.0,720.0,680.0,680.0,1626
2021-12-06,660.0,695.0,660.0,695.0,3018
2021-12-13,695.0,700.0,635.0,635.0,1668
2021-12-20,625.0,670.0,625.0,650.0,2773
2021-12-27,655.0,760.0,650.0,700.0,40729
2022-01-03,700.0,770.0,650.0,755.0,13955
2022-01-10,710.0,755.0,700.0,700.0,4920
2022-01-17,745.0,745.0,650.0,650.0,481
2022-01-24,655.0,700.0,655.0,700.0,428
2022-01-31,700.0,735.0,670.0,700.0,3135
2022-02-07,700.0,700.0,670.0,670.0,2733
2022-02-14,670.0,760.0,650.0,760.0,13525
2022-02-21,745.0,755.0,725.0,730.0,3508
2022-02-28,750.0,755.0,690.0,690.0,3624
2022-03-07,690.0,695.0,690.0,695.0,15285
2022-03-14,695.0,740.0,650.0,740.0,10584
2022-03-21,690.0,735.0,680.0,680.0,2831
2022-03-28,650.0,725.0,650.0,720.0,14422
2022-04-04,720.0,720.0,670.0,710.0,397
2022-04-11,720.0,720.0,650.0,695.0,1141
2022-04-18,695.0,700.0,695.0,695.0,1476
2022-04-25,695.0,715.0,685.0,705.0,40333
2022-05-02,700.0,715.0,700.0,715.0,5513
2022-05-09,665.0,790.0,665.0,775.0,6701
2022-05-16,750.0,760.0,700.0,735.0,9212
2022-05-23,735.0,760.0,705.0,760.0,4970
2022-05-30,745.0,775.0,700.0,750.0,1743
2022-06-06,750.0,755.0,700.0,750.0,1680
2022-06-13,750.0,755.0,700.0,700.0,673
2022-06-20,700.0,750.0,700.0,740.0,1048
2022-06-27,740.0,740.0,700.0,710.0,647
2022-07-04,700.0,715.0,695.0,700.0,1413
2022-07-11,700.0,700.0,650.0,670.0,1532
2022-07-18,700.0,700.0,670.0,700.0,4458
2022-07-25,700.0,740.0,695.0,740.0,5663
