Date,Open,High,Low,Close,Volume
1998-12-31,636,663,450,484,588440
1999-12-31,475,484,365,365,89840
2000-12-31,365,365,363,363,7440
2001-12-31,363,527,275,527,45880
2002-12-31,527,588,300,588,310720
2003-12-31,588,700,509,700,27880
2004-12-31,700,747,601,747,29520
2005-12-31,650,700,563,625,51080
2006-12-31,625,800,575,750,155720
2007-12-31,788,1021,775,928,622960
2008-12-31,928,1075,928,950,411600
2009-12-31,950,950,600,847,203520
2010-12-31,845,867,750,800,25600
2011-12-31,798,798,563,571,25680
2012-12-31,550,592,500,591,37120
2013-12-31,591,1013,550,1013,39440
2014-12-31,1013,1013,575,575,84200
2015-12-31,575,1200,498,1125,537320
2016-12-31,1125,1505,762,825,464200
2017-12-31,825,1220,347,347,39240
2018-12-31,363,363,280,300,115480
2019-12-31,300,355,115,130,116877
2020-12-31,130,235,110,200,188758
2021-12-31,200,800,185,765,797796
2022-12-31,750,790,635,680,203523
2023-12-31,675,835,535,700,897899
