Date,Open,High,Low,Close,Volume
2020-11-30,6935,8490,6750,8490,26204
2020-12-31,8300,9000,7500,8095,251422
2021-01-31,7500,8000,7000,7500,15931
2021-02-28,7100,8200,7100,7975,28269
2021-03-31,7900,8195,7700,7950,20804
2021-04-30,7995,8250,7615,8250,22659
2021-05-31,8200,8850,8000,8850,16063
2021-06-30,8850,8985,7800,8100,103263
2021-07-31,8100,8990,8030,8600,122826
2021-08-31,8600,8990,8450,8600,54520
2021-09-30,8750,10470,8500,10350,14493
2021-10-31,10255,11815,10255,10500,10958
2021-11-30,10500,11605,10100,11500,42720
2021-12-31,11600,11605,10185,10595,31093
2022-01-31,10500,11200,10290,11200,29477
2022-02-28,11210,13900,10805,12995,51367
2022-03-31,12505,13500,12100,13000,76260
2022-04-30,13105,14500,13100,13800,23692
2022-05-31,13505,15480,13505,15005,24528
2022-06-30,15005,15500,14000,14800,38836
2022-07-31,14800,15000,14115,14400,20206
2022-08-31,14400,14700,14200,14200,29047
2022-09-30,14200,14200,13000,13495,18993
2022-10-31,13495,13500,12000,12000,28639
2022-11-30,12000,12010,10000,11500,83773
2022-12-31,11505,12500,11015,11605,12720
2023-01-31,11600,12300,10755,12290,34449
2023-02-28,12000,13975,11600,13850,45865
2023-03-31,13900,14000,13560,13860,29375
2023-04-30,13900,14150,13800,13900,22051
2023-05-31,13950,14995,13870,14450,24123
2023-06-30,13900,16000,13900,15500,37786
2023-07-31,15490,16425,15200,16000,27675
2023-08-31,16000,16665,15700,16100,27248
2023-09-30,16100,18810,15905,16400,33650
2023-10-31,16500,16700,15995,16100,30990
2023-11-30,16005,17000,16000,16490,27723
2023-12-31,16400,16500,15605,16050,27498
2024-01-31,16200,16900,15755,15905,12244
2024-02-29,15915,18275,15900,17750,36184
2024-03-31,17750,17750,16200,17000,22205
2024-04-30,17300,19100,17000,17900,43901
2024-05-31,17900,19550,17550,19400,32274
2024-06-30,19400,20835,19005,19015,21294
2024-07-31,19025,21275,19015,20500,37013
2024-08-31,20155,20500,18965,20300,34907
2024-09-30,20350,20750,19400,19400,43823
2024-10-31,19500,20200,18150,19800,364892
2024-11-30,19800,20800,19110,19900,38873
2024-12-31,19900,21490,19000,21000,39606
2025-01-31,20030,20990,18900,20895,23149
2025-02-28,20895,22500,20500,22005,68911
2025-03-31,22400,22500,20505,21900,49756
2025-04-30,21900,22510,21500,21900,23909
2025-05-31,21900,22200,20165,22000,61813
2025-06-30,22000,24900,21850,24850,69280
2025-07-31,24000,27500,24000,25000,34826
2025-08-31,24860,26000,23600,26000,45972
2025-09-30,26000,28000,26000,27000,23786
2025-10-31,27000,28105,26300,27700,31663
2025-11-30,27500,27700,27100,27200,1718
