Date,Open,High,Low,Close,Volume
2020-12-31,6935,9000,6800,8095,269193
2021-03-31,7500,8200,7000,7950,65004
2021-06-30,7995,8985,7615,8100,141985
2021-09-30,8100,10470,8030,10350,191839
2021-12-31,10255,11815,10100,10595,84771
2022-03-31,10500,13900,10290,13000,157104
2022-06-30,13105,15500,13100,14800,87056
2022-09-30,14800,15000,13000,13495,68246
2022-12-31,13495,13500,10000,11605,125132
2023-03-31,11600,14000,10755,13860,109689
2023-06-30,13900,16000,13800,15500,83960
2023-09-30,15490,18810,15200,16400,88573
2023-12-31,16500,17000,15605,16050,86211
2024-03-31,16200,18275,15755,17000,70633
2024-06-30,17300,20835,17000,19015,97469
2024-09-30,19025,21275,18965,19400,115743
2024-12-31,19500,21490,18150,21000,443371
2025-03-31,20030,22500,18900,21900,141816
2025-06-30,21900,24900,20165,24850,155002
2025-09-30,24000,28000,23600,27000,104584
2025-12-31,27000,28105,26300,26900,46429
