Date,Open,High,Low,Close,Volume
2020-11-09,6750,6950,6700,6900,439
2020-11-16,6800,6950,6750,6950,10304
2020-11-23,6850,7500,6850,7450,8530
2020-11-30,7440,8490,6800,8490,7243
2020-12-07,8300,9000,8080,8100,6040
2020-12-14,8100,8100,7505,8000,234462
2020-12-21,7985,8000,7900,8000,3430
2020-12-28,7990,8000,7500,8000,1927
2021-01-04,7900,8095,7500,7500,5758
2021-01-11,7500,7500,7300,7400,273
2021-01-18,7395,7395,7000,7200,1527
2021-01-25,7190,7300,7000,7300,5379
2021-02-01,7400,8000,7100,7500,10569
2021-02-08,7500,8200,7300,7950,20624
2021-02-15,7900,8000,7600,8000,386
2021-02-22,7900,8050,7605,7615,3772
2021-03-01,7615,7995,7615,7995,2116
2021-03-08,7995,7995,7750,7900,1893
2021-03-15,7850,7890,7700,7800,2152
2021-03-22,7700,7985,7700,7985,3144
2021-03-29,8000,8195,7900,8000,11698
2021-04-05,8005,8005,7900,7900,3555
2021-04-12,7995,8000,7615,7700,3089
2021-04-19,7800,8100,7630,8100,7454
2021-04-26,8100,8100,8000,8050,7030
2021-05-03,8100,8250,8000,8250,2807
2021-05-10,8200,8200,8000,8000,7187
2021-05-17,8000,8350,8000,8100,266
2021-05-24,8105,8490,8100,8450,3248
2021-05-31,8490,8850,8400,8850,5362
2021-06-07,8850,8985,8500,8675,1919
2021-06-14,8675,8700,8390,8400,1636
2021-06-21,8400,8400,8120,8400,1355
2021-06-28,8400,8645,7800,7825,97816
2021-07-05,8000,8550,8000,8200,2447
2021-07-12,8250,8500,8030,8300,6103
2021-07-19,8200,8990,8105,8500,82027
2021-07-26,8510,8800,8400,8600,30106
2021-08-02,8510,8985,8500,8600,2878
2021-08-09,8600,8600,8500,8500,46663
2021-08-16,8500,8800,8450,8500,469
2021-08-23,8500,8750,8500,8600,4199
2021-08-30,8750,8990,8600,8600,2910
2021-09-06,8600,8990,8500,8600,5496
2021-09-13,8600,9200,8600,9100,4385
2021-09-20,9295,10385,9200,9700,1535
2021-09-27,9700,10425,9700,10250,2120
2021-10-04,10100,10470,10100,10400,1791
2021-10-11,10400,11400,10400,10995,828
2021-10-18,10995,11815,10505,10995,3741
2021-10-25,10505,11000,10505,10950,4812
2021-11-01,10900,10900,10350,10500,824
2021-11-08,10500,10940,10290,10400,3595
2021-11-15,10300,10500,10100,10400,21056
2021-11-22,10400,11400,10310,10900,11052
2021-11-29,10900,11605,10800,11605,3841
2021-12-06,11605,11605,10300,10800,8037
2021-12-13,10800,11000,10185,10305,2022
2021-12-20,10500,11300,10205,11000,14153
2021-12-27,11400,11400,10200,10500,4802
2022-01-03,10500,11045,10500,11045,5271
2022-01-10,11045,11045,10290,10810,6051
2022-01-17,10810,11195,10600,10800,5370
2022-01-24,10995,11195,10850,11100,4944
2022-01-31,11000,11200,11000,11200,13096
2022-02-07,11210,11210,10805,11000,8278
2022-02-14,11005,12820,10875,12820,6365
2022-02-21,13780,13900,12600,13105,22080
2022-02-28,13105,13105,12025,12995,14644
2022-03-07,12505,13500,12505,13100,18009
2022-03-14,13100,13100,12100,12900,48791
2022-03-21,13000,13500,12850,13100,6148
2022-03-28,13100,13500,13100,13105,1348
2022-04-04,13495,13710,13000,13250,2404
2022-04-11,13260,13500,13200,13200,1757
2022-04-18,13200,13800,13100,13800,15679
2022-04-25,13800,14500,13500,13750,932
2022-05-02,13500,13800,13205,13800,4884
2022-05-09,13505,15100,13505,14105,13048
2022-05-16,14985,14990,14100,14400,654
2022-05-23,14400,15000,14205,14400,4694
2022-05-30,14400,15480,14300,14600,6105
2022-06-06,14510,15005,14510,14600,7141
2022-06-13,14995,15495,14000,14005,1421
2022-06-20,14400,15500,14100,15500,7545
2022-06-27,15500,15500,14700,14985,15719
2022-07-04,14990,15000,14700,14965,7339
2022-07-11,14810,15000,14700,14700,6832
2022-07-18,14800,14895,14500,14500,4125
2022-07-25,14400,14500,14115,14400,5509
2022-08-01,14300,14505,14300,14500,3623
2022-08-08,14500,14500,14400,14450,10616
2022-08-15,14455,14700,14450,14600,2250
2022-08-22,14605,14700,14400,14400,4401
2022-08-29,14400,14595,14300,14400,8598
2022-09-05,14300,14410,13700,13705,3432
2022-09-12,13705,13900,13500,13500,4972
2022-09-19,13510,13850,13510,13600,1652
2022-09-26,13850,13900,13300,13500,9151
2022-10-03,13700,13700,13000,13495,2813
2022-10-10,13495,13500,13200,13200,4065
2022-10-17,13200,13490,12700,12700,18496
2022-10-24,12800,12800,12410,12500,3639
2022-10-31,12490,12500,12000,12000,2409
2022-11-07,12000,12010,10300,10900,12204
2022-11-14,10900,10900,10000,10180,51205
2022-11-21,10145,11715,10050,11715,10849
2022-11-28,11715,11900,11500,11700,5782
2022-12-05,11700,11700,11500,11600,4118
2022-12-12,11600,12000,11550,12000,3223
2022-12-19,11600,12500,11015,11700,3777
2022-12-26,11700,11700,11400,11500,2683
2023-01-02,11700,12360,11600,11800,7486
2023-01-09,11800,11800,11390,11390,5084
2023-01-16,10755,11950,10755,11505,13612
2023-01-23,11600,11855,11600,11600,2615
2023-01-30,11795,12295,11795,12295,8233
2023-02-06,12300,12390,12000,12000,5263
2023-02-13,12000,12585,11600,12585,13707
2023-02-20,13525,13975,13000,13550,13281
2023-02-27,13600,13850,13450,13850,10541
2023-03-06,13885,14000,13800,13990,19330
2023-03-13,13980,13990,13560,13850,3414
2023-03-20,13900,14000,13800,13900,5167
2023-03-27,13850,14000,13850,13850,3583
2023-04-03,13850,13995,13800,13800,1367
2023-04-10,13800,14150,13800,13800,5296
2023-04-17,13990,14150,13900,14150,9517
2023-04-24,14000,14000,13915,14000,6336
2023-05-01,13995,13995,13900,13900,560
2023-05-08,13950,13995,13870,13900,10114
2023-05-15,14000,14000,13895,13995,1745
2023-05-22,13995,14800,13995,14550,762
2023-05-29,14650,14995,14000,14000,7548
2023-06-05,13950,15530,13900,14800,5998
2023-06-12,14500,16000,14500,15900,13805
2023-06-19,15400,15790,15400,15500,13164
2023-06-26,15500,15600,14400,15500,6382
2023-07-03,15500,15695,15400,15450,2491
2023-07-10,15200,15550,15200,15500,6385
2023-07-17,15500,15695,15310,15360,2412
2023-07-24,15355,16000,15355,15685,7645
2023-07-31,15700,16425,15500,16000,11133
2023-08-07,16000,16400,15700,15760,7639
2023-08-14,16000,16665,15760,16005,5173
2023-08-21,16000,16665,16000,16000,3000
2023-08-28,16200,16200,15900,15900,7945
2023-09-04,16000,16315,15900,16000,6337
2023-09-11,16000,18810,16000,17000,17454
2023-09-18,17000,18450,16955,17000,2208
2023-09-25,17000,17010,16695,16700,8954
2023-10-02,16700,16700,16300,16500,2338
2023-10-09,16500,16700,16450,16495,2473
2023-10-16,16495,16700,16000,16490,3028
2023-10-23,16490,16695,16005,16200,8314
2023-10-30,16200,16695,15995,16035,14481
2023-11-06,16200,16695,16000,16695,9468
2023-11-13,16505,17000,16500,16500,3358
2023-11-20,16500,16500,16275,16495,1563
2023-11-27,16495,16700,16400,16685,14610
2023-12-04,16650,16685,16000,16000,2202
2023-12-11,16490,16500,15605,16300,12888
2023-12-18,16100,16300,15910,15915,3913
2023-12-25,15910,16100,15605,16100,5284
2024-01-01,16100,16200,15605,16050,4479
2024-01-08,16200,16200,15800,15800,2904
2024-01-15,15950,16000,15755,15950,3580
2024-01-22,15810,16900,15755,16400,4355
2024-01-29,16200,16400,15850,15900,819
2024-02-05,15855,16000,15850,16000,5156
2024-02-12,16000,16200,15905,16100,618
2024-02-19,16305,17010,16100,17000,14392
2024-02-26,18200,18275,17000,17895,10572
2024-03-04,17890,17895,17200,17700,6235
2024-03-11,17700,17750,17200,17700,12823
2024-03-18,17650,17750,17650,17700,4156
2024-03-25,17700,17750,17200,17200,2923
2024-04-01,17600,17750,16200,17000,2100
2024-04-08,17300,18050,17000,17725,8016
2024-04-15,17500,18495,17500,17955,1880
2024-04-22,18750,19100,17645,17645,8358
2024-04-29,17700,18000,17500,17900,25052
2024-05-06,17900,17900,17610,17850,6705
2024-05-13,17800,17850,17550,17800,9318
2024-05-20,17800,18000,17745,18000,2854
2024-05-27,17750,19550,17750,19300,4701
2024-06-03,19300,19800,18900,19800,9883
2024-06-10,19795,20835,19500,20505,4268
2024-06-17,20795,20810,20500,20510,1095
2024-06-24,20510,20810,19320,19405,8981
2024-07-01,19405,19505,19005,19105,6705
2024-07-08,19250,19950,19050,19205,8676
2024-07-15,19205,19900,19205,19900,1970
2024-07-22,19750,21275,19740,20445,11028
2024-07-29,20500,21245,20150,20500,8887
2024-08-05,20500,20700,18965,20470,20589
2024-08-12,20400,20470,19540,20450,5256
2024-08-19,20440,20500,19520,20440,3044
2024-08-26,20440,20440,19510,20000,6975
2024-09-02,20295,20350,19800,20300,5482
2024-09-09,20300,20750,19705,20000,7970
2024-09-16,20295,20295,19925,20200,11711
2024-09-23,20005,20275,19800,19800,8085
2024-09-30,19795,19875,19400,19400,15723
2024-10-07,19500,20000,19200,19850,9816
2024-10-14,20000,20000,19500,19500,2101
2024-10-21,19400,19750,18150,19300,4651
2024-10-28,19400,20200,19300,19300,342938
2024-11-04,20200,20800,19300,19800,6588
2024-11-11,19800,20000,19500,19500,4099
2024-11-18,19300,19900,19110,19460,21848
2024-11-25,19460,19500,19250,19300,10527
2024-12-02,19550,19900,19300,19600,1695
2024-12-09,19625,19895,19300,19500,3368
2024-12-16,19595,19600,19105,19600,20780
2024-12-23,19600,19895,19000,19850,7234
2024-12-30,19895,21490,19850,20000,6432
2025-01-06,19910,21250,20000,20485,1967
2025-01-13,20490,20700,18900,19600,9949
2025-01-20,19750,20000,19510,20000,3572
2025-01-27,20000,20000,19710,20000,4492
2025-02-03,20005,21000,20000,20800,5577
2025-02-10,20790,22500,20790,22200,6885
2025-02-17,22095,22200,21000,21990,6967
2025-02-24,21990,22400,21750,21900,43009
2025-03-03,21800,22500,20500,22450,11391
2025-03-10,22500,22500,21895,21895,6133
2025-03-17,21890,22215,20505,21850,34689
2025-03-24,21850,21900,21695,21900,5741
2025-03-31,21850,21900,21005,21900,2738
2025-04-07,21900,21900,21500,21700,4587
2025-04-14,21900,21900,21700,21900,12325
2025-04-21,21895,22450,21805,22000,3438
2025-04-28,22105,22510,21900,22005,2249
2025-05-05,22110,22110,21500,21800,8529
2025-05-12,21800,22000,21500,21850,6369
2025-05-19,21900,22200,20165,21990,33566
2025-05-26,21800,22010,21000,21850,7008
2025-06-02,21850,22000,21800,21850,8914
2025-06-09,21995,22500,21850,22500,19318
2025-06-16,22490,23890,22000,23890,25367
2025-06-23,23800,24610,23000,24610,10132
2025-06-30,24610,24900,24500,24850,13200
2025-07-07,24000,25500,24000,25300,3461
2025-07-14,25010,25445,24700,25200,7902
2025-07-21,25005,25500,25000,25050,18143
2025-07-28,25050,27500,24600,25900,1293
2025-08-04,25900,26500,23600,24500,5211
2025-08-11,24500,25900,24000,25490,30548
2025-08-18,25500,25795,24205,25500,5202
2025-08-25,25510,26000,25300,26000,4392
2025-09-01,26000,26500,25500,26500,5150
2025-09-08,26255,27000,26000,26210,9414
2025-09-15,26295,28000,26210,27495,2377
2025-09-22,27495,27500,26610,27005,6251
2025-09-29,27005,27500,26750,27000,4506
2025-10-06,27495,27610,26470,26500,7658
2025-10-13,26500,27995,26300,27995,6026
2025-10-20,27995,28100,26800,27200,6503
2025-10-27,28000,28000,27200,27700,8165
2025-11-03,27700,28105,27200,27500,4491
