Date,Open,High,Low,Close,Volume
2020-11-12,600,600,600,600,9633
2020-11-13,595,600,595,600,2529
2020-11-16,645,645,625,645,2931
2020-11-17,645,680,645,680,2005
2020-11-18,675,675,675,675,670
2020-11-19,670,670,650,665,1248
2020-11-20,660,665,650,665,5499
2020-11-23,665,665,650,650,3062
2020-11-24,600,630,600,630,1596
2020-11-25,605,605,605,605,460
2020-11-26,600,605,600,605,75
2020-11-27,600,605,600,600,5694
2020-11-30,600,600,600,600,796
2020-12-01,600,600,595,600,6840
2020-12-02,600,600,590,600,2785
2020-12-03,600,645,600,630,650
2020-12-04,630,630,595,600,1411
2020-12-07,600,600,600,600,488
2020-12-08,600,600,600,600,333
2020-12-09,605,630,600,630,101
2020-12-10,620,620,620,620,400
2020-12-11,600,630,595,620,4237
2020-12-14,630,630,630,630,272
2020-12-15,635,635,620,620,386
2020-12-16,635,635,620,620,713
2020-12-17,620,620,620,620,8
2020-12-18,630,630,620,620,290
2020-12-21,625,650,620,640,4576
2020-12-22,640,650,640,650,33634
2020-12-23,650,675,650,650,5134
2020-12-24,650,650,650,650,6403
2020-12-28,650,650,625,645,268
2020-12-29,625,645,625,645,1479
2020-12-30,645,645,630,630,308
2020-12-31,600,600,600,600,1725
2021-01-04,625,625,615,615,375
2021-01-05,615,640,615,615,1286
2021-01-06,600,640,600,640,1019
2021-01-07,640,640,640,640,1102
2021-01-08,640,640,630,630,1047
2021-01-11,630,630,630,630,741
2021-01-12,625,640,620,640,650
2021-01-13,640,640,620,640,608
2021-01-14,640,640,620,620,30
2021-01-15,640,640,620,620,1673
2021-01-18,650,650,620,620,658
2021-01-19,660,660,650,650,1280
2021-01-20,660,660,650,650,1913
2021-01-21,650,650,650,650,261
2021-01-22,650,650,650,650,30
2021-01-25,650,650,620,650,182
2021-01-26,650,650,640,645,524
2021-01-27,650,650,640,645,182
2021-01-28,645,645,645,645,317
2021-01-29,645,645,645,645,220
2021-02-01,645,645,640,645,1479
2021-02-02,645,645,600,600,6682
2021-02-03,600,635,590,600,11755
2021-02-04,600,600,595,600,2004
2021-02-05,600,600,580,600,1445
2021-02-08,595,600,595,600,3019
2021-02-09,600,600,580,590,3286
2021-02-10,585,600,580,590,3566
2021-02-11,595,595,580,580,6028
2021-02-12,580,580,580,580,1707
2021-02-15,600,600,580,580,222
2021-02-16,585,585,570,580,1785
2021-02-17,595,595,580,590,2071
2021-02-18,590,590,590,590,659
2021-02-19,595,595,560,595,2974
2021-02-22,595,595,590,590,4080
2021-02-23,595,595,590,595,1272
2021-02-24,595,595,585,585,1260
2021-02-25,585,585,575,585,1974
2021-02-26,585,585,585,585,255
2021-03-01,585,590,575,580,6377
2021-03-02,585,585,575,585,3621
2021-03-03,585,585,585,585,740
2021-03-04,590,590,590,590,1151
2021-03-05,590,590,585,590,1515
2021-03-08,590,590,590,590,585
2021-03-09,590,590,590,590,1615
2021-03-10,590,595,590,595,23675
2021-03-11,590,595,590,595,1260
2021-03-12,595,595,595,595,1326
2021-03-15,590,600,590,600,9032
2021-03-16,595,595,590,590,7893
2021-03-17,595,595,590,595,3507
2021-03-18,595,595,595,595,153
2021-03-19,595,595,595,595,3725
2021-03-22,595,595,590,590,285
2021-03-23,595,595,590,595,1079
2021-03-24,595,600,590,590,3240
2021-03-25,600,600,595,595,595
2021-03-26,595,595,590,595,2536
2021-03-29,595,595,590,595,105
2021-03-30,590,595,590,595,635
2021-03-31,595,600,595,600,15484
2021-04-01,600,600,600,600,450
2021-04-02,600,600,600,600,108
2021-04-06,600,600,590,595,4071
2021-04-07,595,595,595,595,578
2021-04-08,595,595,590,590,2378
2021-04-09,590,595,590,590,512
2021-04-12,590,590,580,580,1344
2021-04-13,585,600,585,585,2724
2021-04-14,590,590,580,590,2515
2021-04-15,585,585,575,585,1311
2021-04-16,600,600,550,580,14161
2021-04-19,585,585,580,580,946
2021-04-20,580,580,580,580,957
2021-04-21,580,580,550,580,1896
2021-04-22,580,590,580,585,2977
2021-04-23,585,590,580,585,4996
2021-04-26,585,590,585,590,1357
2021-04-27,590,590,585,590,2755
2021-04-28,590,590,590,590,2257
2021-04-29,590,590,580,580,1387
2021-04-30,580,590,580,590,592
2021-05-03,590,590,585,585,1700
2021-05-04,580,580,550,580,8708
2021-05-05,570,570,550,560,6620
2021-05-06,520,565,520,560,4444
2021-05-07,570,585,565,580,5654
2021-05-10,580,590,580,580,5336
2021-05-11,590,590,575,585,11157
2021-05-14,590,590,580,585,3330
2021-05-17,585,590,580,585,10865
2021-05-18,585,590,585,590,8360
2021-05-19,590,590,585,590,2420
2021-05-20,590,590,585,590,2923
2021-05-21,590,590,580,585,11669
2021-05-25,585,595,585,590,9598
2021-05-26,590,600,585,600,9780
2021-05-27,590,605,590,605,900
2021-05-28,600,610,600,610,251
2021-05-31,605,605,600,600,4498
2021-06-01,600,600,600,600,2680
2021-06-02,600,600,595,595,3161
2021-06-03,595,595,585,595,1811
2021-06-04,595,600,595,600,12530
2021-06-07,595,610,595,610,3627
2021-06-08,600,610,595,605,27352
2021-06-09,630,630,600,630,13578
2021-06-10,625,625,625,625,7093
2021-06-11,625,630,620,620,8884
2021-06-14,625,625,620,620,2208
2021-06-15,625,625,620,625,2886
2021-06-16,625,630,620,630,2238
2021-06-17,630,630,620,630,2975
2021-06-18,625,630,625,630,738
2021-06-21,650,650,645,645,2200
2021-06-22,645,650,645,645,545
2021-06-23,645,645,635,645,239
2021-06-24,645,650,635,645,2987
2021-06-25,630,690,630,690,2179
2021-06-28,690,740,680,740,3182
2021-06-29,795,795,765,795,8723
2021-06-30,800,800,770,780,2232
2021-07-01,765,780,725,725,389
2021-07-02,725,750,675,720,583
2021-07-05,720,720,670,700,5018
2021-07-06,700,700,655,700,965
2021-07-07,710,710,705,710,1810
2021-07-08,715,740,715,740,1165
2021-07-09,715,715,710,715,1093
2021-07-12,710,720,710,720,15
2021-07-13,720,740,715,740,575
2021-07-14,700,730,700,730,1611
2021-07-15,730,730,710,730,1103
2021-07-16,730,730,725,725,392
2021-07-19,730,750,725,750,6135
2021-07-21,770,770,750,750,2301
2021-07-22,750,750,710,710,1676
2021-07-23,710,710,700,700,1131
2021-07-26,710,750,700,700,2036
2021-07-27,705,750,700,700,1828
2021-07-28,750,750,705,745,1441
2021-07-29,745,745,710,710,1006
2021-07-30,745,745,710,710,245
2021-08-02,750,750,710,710,1038
2021-08-03,745,745,715,715,208
2021-08-04,715,750,715,745,5130
2021-08-05,745,745,715,715,1325
2021-08-06,740,740,740,740,60
2021-08-09,715,740,715,715,2546
2021-08-10,715,720,715,720,280
2021-08-11,720,720,710,710,368
2021-08-12,710,730,710,710,4877
2021-08-13,715,730,700,730,3042
2021-08-16,730,745,725,745,648
2021-08-17,745,745,725,725,2884
2021-08-18,725,725,710,725,725
2021-08-19,725,725,705,715,781
2021-08-20,745,750,715,715,3352
2021-08-23,745,745,720,720,1004
2021-08-24,730,735,730,735,404
2021-08-25,735,750,730,750,2367
2021-08-26,750,765,745,765,3227
2021-08-27,765,770,765,765,2281
2021-08-30,765,780,765,775,3128
2021-08-31,775,780,775,775,1893
2021-09-01,775,780,775,780,3320
2021-09-02,790,835,780,805,770
2021-09-03,830,835,805,805,466
2021-09-06,805,835,805,835,687
2021-09-07,835,835,805,835,2431
2021-09-08,835,835,820,835,2566
2021-09-09,835,870,835,870,20170
2021-09-10,870,870,855,870,1289
2021-09-13,870,870,835,870,420
2021-09-14,840,870,840,865,21584
2021-09-15,870,870,840,870,4557
2021-09-16,870,870,835,840,509
2021-09-17,850,850,835,850,5330
2021-09-20,845,860,840,855,920
2021-09-21,870,870,850,870,6903
2021-09-22,875,875,850,875,4245
2021-09-23,850,895,850,895,18620
2021-09-24,895,895,870,895,889
2021-09-27,895,950,890,910,4606
2021-09-28,920,930,910,930,1706
2021-09-29,920,930,915,920,3254
2021-09-30,905,905,890,890,2327
2021-10-01,890,900,870,875,4304
2021-10-04,895,895,850,880,1454
2021-10-05,880,880,840,875,8727
2021-10-06,845,845,835,835,2253
2021-10-07,845,845,835,845,791
2021-10-08,845,845,840,845,1564
2021-10-11,850,875,835,875,1337
2021-10-12,850,900,840,900,6288
2021-10-13,930,930,900,920,9604
2021-10-14,915,950,915,950,4122
2021-10-15,950,950,915,915,3496
2021-10-19,915,950,875,950,4134
2021-10-20,915,1010,880,1010,9047
2021-10-21,1060,1060,940,1060,3719
2021-10-22,1060,1060,985,1060,1154
2021-10-25,1055,1055,985,1050,1977
2021-10-26,1000,1040,1000,1000,8988
2021-10-27,1000,1035,1000,1035,1002
2021-10-28,1000,1035,965,1035,7561
2021-10-29,1040,1040,1000,1035,8732
2021-11-02,960,960,960,960,411
2021-11-03,900,900,890,890,1559
2021-11-04,840,850,825,840,6903
2021-11-05,825,840,825,825,6248
2021-11-08,835,835,775,800,4338
2021-11-09,800,800,790,790,2519
2021-11-10,790,805,790,800,1889
2021-11-11,800,840,790,840,1421
2021-11-12,840,840,800,840,4837
2021-11-16,840,900,800,900,1346
2021-11-17,835,910,835,900,2570
2021-11-18,900,900,840,895,1151
2021-11-19,850,890,850,890,5119
2021-11-22,850,890,850,890,447
2021-11-23,890,890,850,870,1221
2021-11-24,870,870,840,850,2193
2021-11-25,850,850,840,850,2394
2021-11-26,825,845,825,845,338
2021-11-29,850,850,830,830,2658
2021-11-30,850,890,845,880,4242
2021-12-01,890,900,870,895,2468
2021-12-02,880,890,850,850,3098
2021-12-03,855,910,855,900,7111
2021-12-06,900,900,850,900,3808
2021-12-07,900,900,850,850,4592
2021-12-08,850,850,830,830,1713
2021-12-09,830,835,830,835,2786
2021-12-10,835,835,830,830,470
2021-12-13,830,835,825,825,1112
2021-12-14,830,830,800,800,4769
2021-12-15,800,830,800,825,4726
2021-12-16,825,885,790,885,2509
2021-12-17,845,850,845,845,1022
2021-12-20,840,885,840,885,10134
2021-12-21,830,875,830,830,191
2021-12-22,830,885,810,885,2081
2021-12-23,850,880,850,870,527
2021-12-24,880,880,850,880,995
2021-12-27,880,880,850,865,2120
2021-12-28,865,865,850,860,2726
2021-12-29,850,880,850,880,433
2021-12-30,875,880,855,860,451
2021-12-31,860,860,860,860,64
2022-01-03,860,860,855,860,122
2022-01-04,850,850,845,845,6725
2022-01-05,895,895,860,865,1153
2022-01-06,865,865,860,865,350
2022-01-07,865,865,845,845,1074
2022-01-10,845,850,835,845,3059
2022-01-11,845,845,835,835,56
2022-01-12,890,895,845,890,1345
2022-01-13,845,880,830,830,10804
2022-01-14,845,880,830,870,688
2022-01-17,845,845,840,845,1150
2022-01-18,845,850,830,830,1447
2022-01-19,830,830,830,830,308
2022-01-20,830,850,825,850,3306
2022-01-21,845,850,845,845,2472
2022-01-24,840,840,815,835,834
2022-01-25,835,850,835,835,3086
2022-01-26,850,850,835,845,317
2022-01-27,840,860,840,860,17291
2022-01-28,860,900,860,860,13033
2022-01-31,865,865,850,860,2745
2022-02-01,860,895,860,895,2519
2022-02-02,860,895,860,890,1384
2022-02-03,880,900,880,900,6947
2022-02-04,900,940,895,940,6948
2022-02-07,900,920,900,920,6122
2022-02-08,950,985,905,985,30328
2022-02-09,980,1000,950,950,3760
2022-02-10,980,980,900,950,4822
2022-02-11,940,975,910,950,7351
2022-02-14,950,950,935,935,1820
2022-02-15,935,945,910,945,1530
2022-02-16,945,945,940,945,1867
2022-02-17,910,950,910,945,1917
2022-02-18,945,945,910,945,1843
2022-02-21,945,945,910,930,717
2022-02-22,930,945,920,925,2436
2022-02-23,925,940,925,940,158
2022-02-24,935,940,935,935,970
2022-02-25,930,935,930,935,1603
2022-02-28,935,935,910,930,1120
2022-03-01,930,930,910,915,2163
2022-03-02,915,915,910,910,2272
2022-03-03,910,935,910,915,11506
2022-03-04,935,935,905,905,22931
2022-03-07,915,930,910,930,2258
2022-03-08,930,935,930,930,6137
2022-03-09,945,945,945,945,2788
2022-03-10,945,945,930,930,1485
2022-03-11,930,945,930,945,1669
2022-03-14,945,945,915,945,780
2022-03-15,945,945,930,935,358
2022-03-16,945,945,935,945,3621
2022-03-17,945,945,930,935,2434
2022-03-18,935,945,935,940,1057
2022-03-21,935,935,930,930,1175
2022-03-22,930,935,930,935,902
2022-03-23,910,935,910,930,190
2022-03-24,935,935,925,935,1650
2022-03-25,935,935,935,935,50
2022-03-28,940,940,930,930,1148
2022-03-29,930,930,925,930,841
2022-03-30,930,930,915,925,1011
2022-03-31,925,925,900,925,1420
2022-04-01,925,935,920,920,3480
2022-04-04,905,905,890,900,3841
2022-04-05,900,900,850,900,5870
2022-04-06,900,900,890,895,1898
2022-04-07,900,900,900,900,116
2022-04-08,895,930,890,890,6787
2022-04-11,880,900,875,900,5014
2022-04-12,900,900,895,895,239
2022-04-13,870,900,870,900,2968
2022-04-14,900,935,850,920,7741
2022-04-15,920,935,900,920,849
2022-04-19,920,935,920,920,410
2022-04-20,915,915,900,910,1664
2022-04-21,920,920,910,910,243
2022-04-22,910,910,900,905,3331
2022-04-25,905,905,900,905,548
2022-04-26,905,905,900,900,494
2022-04-27,900,915,900,900,2934
2022-04-29,900,900,900,900,51
2022-05-03,895,895,880,880,161
2022-05-04,840,880,815,870,8179
2022-05-05,860,860,850,850,135
2022-05-06,855,855,855,855,74
2022-05-09,850,850,825,835,914
2022-05-10,775,790,775,790,1651
2022-05-11,790,820,790,790,93
2022-05-12,780,785,775,785,437
2022-05-13,790,815,790,790,281
2022-05-16,790,830,790,830,515
2022-05-17,825,840,815,815,768
2022-05-18,840,840,815,825,1669
2022-05-19,860,875,840,860,973
2022-05-20,860,880,850,860,236
2022-05-23,850,860,850,860,207
2022-05-24,855,855,815,815,1198
2022-05-25,815,835,815,815,163
2022-05-27,835,835,815,815,480
2022-05-30,815,830,810,810,208
2022-05-31,810,830,810,830,142
2022-06-01,815,850,810,850,726
2022-06-02,850,850,850,850,134
2022-06-03,810,845,810,810,652
2022-06-07,850,850,850,850,10
2022-06-08,830,850,810,850,95
2022-06-09,850,860,850,860,2770
2022-06-10,860,860,855,860,200
2022-06-13,860,860,810,860,1044
2022-06-14,855,865,855,865,1679
2022-06-15,860,865,815,815,582
2022-06-16,865,865,860,865,1216
2022-06-17,865,865,860,860,681
2022-06-20,850,850,850,850,227
2022-06-21,850,850,800,850,200
2022-06-22,850,860,850,850,3767
2022-06-23,850,850,840,840,1496
2022-06-24,860,860,860,860,75
2022-06-27,860,860,810,810,683
2022-06-28,810,850,810,820,773
2022-06-30,820,840,820,840,26
2022-07-01,830,850,830,850,413
2022-07-04,810,850,810,850,1099
2022-07-05,850,900,810,900,526
2022-07-06,900,900,850,900,349
2022-07-07,900,950,850,950,1485
2022-07-08,900,900,900,900,296
2022-07-11,900,900,890,895,353
2022-07-12,895,895,895,895,12
2022-07-13,895,895,860,860,546
2022-07-14,860,895,860,880,522
2022-07-15,880,895,880,895,894
2022-07-18,900,900,895,895,834
2022-07-19,850,880,850,880,1055
2022-07-20,880,890,850,850,317
2022-07-21,895,895,895,895,851
2022-07-22,895,895,855,895,756
2022-07-25,895,895,855,895,9912
2022-07-26,895,900,850,850,803
2022-07-27,895,895,855,855,61
