Date,Open,High,Low,Close,Volume
2020-12-31,610,680,565,600,159384
2021-03-31,625,660,560,600,161755
2021-06-30,600,800,520,780,272533
2021-09-30,765,950,655,890,181655
2021-12-31,890,1060,775,860,203964
2022-03-31,860,1000,815,925,227373
2022-06-30,925,935,775,840,83998
2022-09-30,830,950,810,875,63507
2022-12-31,870,890,675,750,92337
2023-03-31,750,830,705,790,63095
2023-06-30,790,800,640,755,150167
2023-09-30,755,875,715,845,153091
2023-12-31,800,850,700,790,84945
2024-03-31,790,810,700,795,135517
2024-06-30,795,850,725,850,263903
2024-09-30,850,985,800,850,231082
2024-12-31,850,940,810,880,594742
2025-03-31,880,1080,830,975,197214
2025-06-30,975,1095,900,1065,243439
2025-09-30,1065,1200,975,1200,408465
2025-12-31,1245,1400,1175,1190,134929
