Date,Open,High,Low,Close,Volume
2020-11-02,600,610,565,600,47781
2020-11-09,600,605,580,590,2240
2020-11-16,590,645,590,645,16356
2020-11-23,645,680,645,650,12484
2020-11-30,600,630,600,600,8621
2020-12-07,600,645,590,600,12174
2020-12-14,600,630,595,630,5343
2020-12-21,635,650,620,640,5973
2020-12-28,640,675,625,645,45439
2021-01-04,625,645,600,615,3887
2021-01-11,615,640,600,630,5195
2021-01-18,625,650,620,620,3619
2021-01-25,660,660,620,650,3666
2021-02-01,650,650,640,645,2722
2021-02-08,645,645,580,600,24905
2021-02-15,600,600,580,580,14809
2021-02-22,585,595,560,590,11569
2021-03-01,595,595,575,580,11138
2021-03-08,585,590,575,590,7612
2021-03-15,590,600,590,600,36908
2021-03-22,595,595,590,590,15563
2021-03-29,595,600,590,595,7555
2021-04-05,590,600,590,600,16677
2021-04-12,600,600,580,580,8883
2021-04-19,585,600,550,580,21657
2021-04-26,580,590,550,590,12183
2021-05-03,590,590,580,585,8691
2021-05-10,580,590,520,580,30762
2021-05-17,590,590,575,585,25352
2021-05-24,585,590,580,585,25372
2021-05-31,585,610,585,600,25027
2021-06-07,600,610,585,610,23809
2021-06-14,600,630,595,620,59115
2021-06-21,625,650,620,645,11037
2021-06-28,645,740,630,740,9132
2021-07-05,795,800,670,700,16945
2021-07-12,700,740,655,720,5048
2021-07-19,720,750,700,750,9816
2021-07-26,770,770,700,700,7144
2021-08-02,705,750,700,710,5558
2021-08-09,745,750,715,715,9269
2021-08-16,715,745,700,745,9215
2021-08-23,745,750,705,720,8746
2021-08-30,730,780,730,775,11407
2021-09-06,775,835,775,835,7136
2021-09-13,835,870,805,870,26876
2021-09-20,840,870,835,855,32900
2021-09-27,870,950,850,910,35263
2021-10-04,920,930,850,880,13045
2021-10-11,880,880,835,875,14672
2021-10-18,850,950,840,915,23510
2021-10-25,915,1060,875,1050,20031
2021-11-01,1000,1040,965,1035,26283
2021-11-08,960,960,775,800,19459
2021-11-15,800,840,790,840,10666
2021-11-22,840,910,800,890,10633
2021-11-29,890,890,825,830,8804
2021-12-06,850,910,845,900,20727
2021-12-13,900,900,825,825,10673
2021-12-20,830,885,790,885,23160
2021-12-27,830,885,810,865,5914
2022-01-03,865,880,850,860,3796
2022-01-10,850,895,835,845,12361
2022-01-17,845,895,830,845,14043
2022-01-24,845,850,815,835,8367
2022-01-31,835,900,835,860,36472
2022-02-07,860,940,860,920,23920
2022-02-14,950,1000,900,935,48081
2022-02-21,935,950,910,930,7874
2022-02-28,930,945,910,930,6287
2022-03-07,930,935,905,930,41130
2022-03-14,930,945,915,945,12859
2022-03-21,945,945,930,930,8645
2022-03-28,930,940,910,930,3940
2022-04-04,930,935,890,900,10593
2022-04-11,900,930,850,900,19685
2022-04-18,900,935,850,920,11797
2022-04-25,920,935,900,905,6196
2022-05-02,905,915,900,900,3479
2022-05-09,895,895,815,835,9463
2022-05-16,775,830,775,830,2977
2022-05-23,825,880,815,860,3853
2022-05-30,855,855,810,810,2049
2022-06-06,810,850,810,810,1654
2022-06-13,850,860,810,860,4119
2022-06-20,855,865,815,850,4385
2022-06-27,850,860,800,810,6221
2022-07-04,810,850,810,850,2311
2022-07-11,850,950,810,895,3009
2022-07-18,895,900,860,895,2808
2022-07-25,850,895,850,895,12891
2022-08-01,895,900,850,890,8026
2022-08-08,890,895,855,895,1552
2022-08-15,895,895,850,865,2377
2022-08-22,865,895,850,875,5856
2022-08-29,850,895,810,850,3638
2022-09-05,850,875,810,875,7502
2022-09-12,890,895,850,895,5375
2022-09-19,880,895,860,885,2599
2022-09-26,885,885,850,885,3844
2022-10-03,885,890,810,875,4350
2022-10-10,875,875,820,830,6458
2022-10-17,830,870,830,850,3334
2022-10-24,860,890,850,875,8291
2022-10-31,880,885,865,870,1499
2022-11-07,865,865,800,820,38572
2022-11-14,820,850,750,800,2213
2022-11-21,800,830,785,830,6405
2022-11-28,830,830,750,770,2899
2022-12-05,780,780,700,700,1418
2022-12-12,710,755,675,730,7459
2022-12-19,730,770,730,760,7210
2022-12-26,760,800,735,795,2700
2023-01-02,795,795,750,750,2815
2023-01-09,750,800,710,800,5448
2023-01-16,800,800,740,740,3743
2023-01-23,740,750,705,745,3418
2023-01-30,745,795,745,795,8294
2023-02-06,750,790,750,790,3187
2023-02-13,790,810,755,810,4241
2023-02-20,810,810,800,805,4211
2023-02-27,800,805,800,800,5294
2023-03-06,800,800,750,790,2228
2023-03-13,790,800,780,800,3930
2023-03-20,790,830,790,830,11833
2023-03-27,830,830,790,790,3807
2023-04-03,790,790,755,770,2768
2023-04-10,770,770,735,740,1312
2023-04-17,730,730,700,730,9590
2023-04-24,730,730,690,690,3891
2023-05-01,695,705,650,650,20908
2023-05-08,650,705,650,705,9509
2023-05-15,705,705,695,695,7701
2023-05-22,695,695,680,690,6299
2023-05-29,690,690,650,650,17935
2023-06-05,675,690,640,680,29568
2023-06-12,690,695,680,690,12421
2023-06-19,690,795,690,780,15999
2023-06-26,770,800,755,785,8728
2023-07-03,785,785,715,755,16428
2023-07-10,755,775,755,775,5678
2023-07-17,770,800,750,795,31542
2023-07-24,795,795,770,775,7718
2023-07-31,775,790,765,770,15887
2023-08-07,770,850,750,750,11826
2023-08-14,750,780,750,780,8780
2023-08-21,780,780,750,775,9288
2023-08-28,775,775,755,760,10297
2023-09-04,755,790,755,790,2805
2023-09-11,785,850,755,840,7762
2023-09-18,830,840,770,770,3556
2023-09-25,775,875,770,775,19405
2023-10-02,830,845,775,785,8516
2023-10-09,835,845,785,845,2139
2023-10-16,850,850,800,845,10148
2023-10-23,810,845,805,830,12654
2023-10-30,830,830,805,805,5858
2023-11-06,820,840,805,810,1587
2023-11-13,805,835,805,835,22677
2023-11-20,835,835,805,805,1129
2023-11-27,835,840,805,830,1769
2023-12-04,830,830,805,810,1180
2023-12-11,810,830,805,815,10797
2023-12-18,805,820,800,815,5906
2023-12-25,810,830,770,800,2084
2024-01-01,695,800,700,790,6851
2024-01-08,790,795,755,755,2049
2024-01-15,755,800,700,710,22536
2024-01-22,710,790,700,780,2257
2024-01-29,785,800,765,795,1723
2024-02-05,790,805,790,805,1772
2024-02-12,805,810,750,755,8833
2024-02-19,765,810,755,780,2457
2024-02-26,780,800,725,780,4569
2024-03-04,750,780,750,770,447
2024-03-11,770,775,715,765,7451
2024-03-18,715,765,715,760,66699
2024-03-25,765,800,760,775,4635
2024-04-01,770,800,765,795,10089
2024-04-08,795,800,755,765,39067
2024-04-15,790,795,755,765,3041
2024-04-22,780,785,735,770,29747
2024-04-29,770,775,735,765,2199
