Date,Open,High,Low,Close,Volume
2020-12-31,1318,1353,1250,1350,166076
2021-03-31,1350,1423,1250,1373,300924
2021-06-30,1373,1745,1350,1680,559398
2021-09-30,1680,2240,1650,1950,941274
2021-12-31,1950,2100,1863,1993,912734
2022-03-31,1995,2245,1900,2180,780328
2022-06-30,2183,2375,2075,2100,719984
2022-09-30,2100,2593,2100,2300,748816
2022-12-31,2300,2445,2128,2293,479838
2023-03-31,2293,2543,2240,2400,587842
2023-06-30,2400,2570,2395,2565,350764
2023-09-30,2503,2850,2485,2698,608514
2023-12-31,2700,2750,2553,2675,575912
2024-03-31,2675,2905,2550,2898,372634
2024-06-30,2875,3465,2703,3300,636064
2024-09-30,3300,3430,2925,3320,385176
2024-12-31,3278,7100,3275,3555,489625
2025-03-31,3555,4470,3240,4450,367788
2025-06-30,4450,5000,4350,4800,499581
2025-09-30,4705,6000,4650,5500,519418
2025-12-31,5550,6000,5405,5640,330632
