Date,Open,High,Low,Close,Volume
2020-11-24,1630,1630,1630,1630,5
2020-11-27,1620,1620,1620,1620,10
2020-11-30,1520,1520,1520,1520,10
2020-12-04,1520,1520,1520,1520,30
2020-12-14,1425,1425,1425,1425,22
2020-12-16,1325,1325,1325,1325,22
2020-12-17,1230,1230,1230,1230,15
2020-12-18,1230,1230,1230,1230,100
2020-12-22,1230,1230,1230,1230,15
2020-12-23,1230,1230,1230,1230,5
2020-12-24,1230,1230,1230,1230,10
2021-01-07,1230,1230,1230,1230,3
2021-01-08,1230,1230,1230,1230,100
2021-01-12,1320,1320,1320,1320,10
2021-01-26,1320,1320,1300,1300,33
2021-01-27,1320,1320,1320,1320,171
2021-02-04,1330,1330,1330,1330,24
2021-02-05,1330,1330,1330,1330,16
2021-03-02,1325,1325,1325,1325,1
2021-03-17,1330,1330,1230,1230,173
2021-03-23,1140,1140,1140,1140,157
2021-03-25,1140,1145,1140,1140,175
2021-04-01,1140,1140,1140,1140,15
2021-04-14,1140,1140,1140,1140,221
2021-04-16,1140,1140,1140,1140,10
2021-04-27,1140,1140,1140,1140,40
2021-04-28,1140,1140,1140,1140,5
2021-04-29,1140,1140,1140,1140,5
2021-05-20,1145,1145,1140,1140,1437
2021-05-26,1200,1200,1200,1200,100
2021-05-27,1290,1290,1290,1290,715
2021-06-04,1385,1385,1385,1385,77
2021-06-07,1450,1485,1450,1485,281
2021-06-08,1595,1595,1595,1595,69
2021-06-16,1600,1600,1600,1600,10
2021-06-17,1720,1720,1720,1720,150
2021-06-21,1720,1720,1720,1720,60
2021-06-25,1720,1720,1720,1720,241
2021-07-01,1845,1845,1845,1845,5
2021-07-02,1980,1980,1950,1950,284
2021-07-07,2095,2095,2095,2095,6
2021-07-08,2250,2250,2250,2250,1
2021-07-09,2415,2415,2415,2415,1
2021-07-12,2595,2595,2595,2595,1
2021-07-13,2785,2785,2785,2785,1
2021-07-14,2990,2990,2985,2990,96
2021-07-15,3210,3210,3205,3210,298
2021-07-19,3450,3450,3450,3450,205
2021-07-21,3455,3455,3450,3450,25
2021-07-22,3705,3705,3705,3705,30
2021-07-23,3710,3710,3710,3710,22
2021-07-27,3710,3710,3450,3450,22
2021-07-28,3455,3455,3450,3450,274
2021-07-29,3455,3705,3455,3705,85
2021-07-30,3980,3980,3980,3980,17
2021-08-02,4000,4275,4000,4275,93
2021-08-03,4275,4595,4275,4595,149
2021-08-04,4595,4935,4300,4300,592
2021-08-05,4620,4620,4620,4620,1
2021-08-06,4965,4965,4965,4965,1
2021-08-09,4960,5335,4960,5335,6
2021-08-10,5335,5735,5335,5335,793
2021-08-11,4935,4935,4935,4935,1
2021-08-12,4935,4935,4565,4565,24
2021-08-13,4565,4905,4565,4905,30
2021-08-16,4565,4565,4565,4565,66
2021-08-17,4565,4565,4225,4225,16
2021-08-19,4225,4225,3910,3910,20
2021-08-20,3915,3915,3890,3890,600
2021-08-23,4000,4180,3600,3600,195
2021-08-24,3705,3705,3705,3705,100
2021-08-25,3980,3980,3900,3980,270
2021-08-26,3980,3980,3980,3980,43
2021-08-27,3705,4275,3705,4275,7
2021-08-30,4300,4450,3955,3955,46
2021-08-31,4250,4250,4250,4250,15
2021-09-01,4250,4250,4250,4250,20
2021-09-02,4450,4450,4250,4250,4
2021-09-03,4250,4250,4250,4250,322
2021-09-06,4250,4250,4250,4250,300
2021-09-07,4450,4450,4450,4450,1
2021-09-09,4395,4450,4120,4120,86
2021-09-10,4425,4425,4425,4425,9
2021-09-14,4425,4425,4425,4425,4
2021-09-15,4425,4755,4425,4755,7
2021-09-17,4755,4755,4755,4755,2
2021-09-27,4755,5110,4755,5110,297
2021-09-28,5490,5490,4730,5490,197
2021-09-29,5900,5900,5850,5900,173
2021-09-30,6340,6340,6340,6340,686
2021-10-01,6815,6815,6815,6815,45
2021-10-04,7325,7325,7325,7325,2
2021-10-05,7870,7870,7335,7870,510
2021-10-06,7330,7330,7280,7280,35
2021-10-07,6735,6735,6735,6735,29
2021-10-08,6230,6230,6230,6230,23
2021-10-11,6200,6695,5900,5900,82
2021-10-12,6230,6340,5500,5500,105
2021-10-13,5910,5910,5505,5910,5
2021-10-14,6350,6350,5500,5605,215
2021-10-15,6025,6025,5600,5600,385
2021-10-19,5600,6015,5505,6015,438
2021-10-20,6460,6460,5600,6460,270
2021-10-21,6700,6940,5980,6000,123
2021-10-22,6450,6450,6050,6050,77
2021-10-25,6050,6500,6050,6495,60
2021-10-26,6895,6980,6050,6980,660
2021-10-28,7000,7000,6995,7000,3
2021-10-29,7000,7000,6475,6475,46
2021-11-04,6470,6960,6470,6960,5
2021-11-05,7400,7400,6440,7400,3
2021-11-08,7400,7400,7400,7400,17
2021-11-09,7200,7200,6845,6845,17
2021-11-10,6500,7355,6335,7355,85
2021-11-11,7200,7200,6805,6805,91
2021-11-17,6665,6665,6665,6665,2
2021-11-18,6170,6600,6170,6170,43
2021-11-19,6170,6170,5800,5800,273
2021-11-22,5365,6235,5365,6235,5
2021-11-23,6235,6665,5800,5800,168
2021-11-24,5805,6235,5365,5365,360
2021-11-25,5365,5765,5365,5370,112
2021-11-26,5405,5405,4970,4970,232
2021-11-29,5200,5200,4600,4600,120
2021-11-30,4945,4945,4600,4600,92
2021-12-01,4600,4945,4255,4260,59
2021-12-02,4575,4575,4350,4350,6
2021-12-03,4675,4675,4675,4675,1
2021-12-06,4350,5025,4350,4350,174
2021-12-07,4675,4675,4375,4375,72
2021-12-08,4380,4700,4380,4700,42
2021-12-09,4700,5050,4400,4400,70
2021-12-10,4415,4415,4415,4415,2
2021-12-13,4745,4745,4745,4745,1
2021-12-14,5100,5100,4415,4750,33
2021-12-15,5100,5100,4760,4760,6
2021-12-16,5100,5115,4760,5115,36
2021-12-17,5160,5495,4800,4800,50
2021-12-20,4760,5160,4440,5160,57
2021-12-21,5495,5495,5495,5495,1
2021-12-22,5495,5495,5495,5495,5
2021-12-23,5500,5500,5500,5500,29
2021-12-24,5090,5090,5090,5090,3
2021-12-27,4900,5470,4750,4750,69
2021-12-28,5105,5105,5105,5105,1
2021-12-29,5485,5485,5485,5485,1
2021-12-30,5110,5110,5110,5110,10
2021-12-31,5490,5490,5120,5120,33
2022-01-03,5120,5500,5120,5500,3
2022-01-04,5500,5500,5500,5500,56
2022-01-05,5910,5910,5850,5850,3
2022-01-06,5850,5850,5800,5800,35
2022-01-07,5780,5785,5780,5785,66
2022-01-10,5785,5845,5785,5845,35
2022-01-11,5785,5785,5780,5780,18
2022-01-12,5775,5775,5350,5350,4
2022-01-13,4950,4950,4950,4950,48
2022-01-17,4950,4950,4950,4950,31
2022-01-18,4950,4950,4950,4950,3
2022-01-19,4950,4950,4700,4700,35
2022-01-25,4800,4800,4800,4800,1
2022-01-27,4810,4810,4810,4810,16
2022-01-28,4810,4810,4810,4810,15
2022-01-31,5050,5170,4820,4820,22
2022-02-01,5170,5170,4840,4840,26
2022-02-04,4900,4900,4840,4840,56
2022-02-09,4855,4855,4850,4850,44
2022-02-10,4865,4865,4865,4865,47
2022-02-11,4855,4855,4855,4855,1
2022-02-14,4855,4855,4855,4855,55
2022-02-16,4950,4950,4950,4950,5
2022-02-17,4950,4950,4950,4950,5
2022-02-18,5320,5320,5320,5320,20
2022-02-22,5500,5500,5000,5000,15
2022-02-23,5375,5375,5375,5375,4
2022-02-24,5375,5375,5375,5375,1
2022-02-25,5775,5775,5775,5775,20
2022-02-28,5775,5775,5775,5775,2
2022-03-01,5775,5775,5775,5775,10
2022-03-02,5660,5660,5500,5500,41
2022-03-03,5400,5400,5400,5400,95
2022-03-04,5000,5000,5000,5000,5
2022-03-07,5000,5000,5000,5000,105
2022-03-11,5080,5370,5075,5075,97
2022-03-14,5425,5425,5000,5000,45
2022-03-16,5370,5370,5370,5370,25
2022-03-17,5300,5455,5300,5455,30
2022-03-18,5860,5860,5050,5050,31
2022-03-22,5420,5420,5420,5420,162
2022-03-23,5130,5420,5130,5420,50
2022-03-24,5825,5825,5825,5825,10
2022-03-25,5800,5825,5390,5390,30
2022-03-29,5700,5700,5700,5700,100
2022-03-30,5630,6100,5630,5630,309
2022-03-31,5630,5630,5630,5630,3
2022-04-01,6000,6000,6000,6000,17
2022-04-04,5880,6400,5880,6400,41
2022-04-05,5920,5920,5920,5920,1
2022-04-06,6350,6350,6350,6350,57
2022-04-07,6500,6700,6500,6700,171
2022-04-11,6900,7200,6200,6200,205
2022-04-15,6200,6200,6200,6200,2
2022-04-19,6200,6650,6200,6650,114
2022-04-20,6700,7000,6650,7000,87
2022-04-21,7000,7525,7000,7525,18
2022-04-22,6965,7000,6965,7000,42
2022-04-25,7400,7525,6475,6475,42
2022-04-26,6480,6480,6480,6480,50
2022-04-29,6800,6800,6475,6475,35
2022-05-03,6800,6800,6800,6800,7
2022-05-04,7000,7000,7000,7000,25
2022-05-05,7000,7525,7000,7525,41
2022-05-06,7200,8085,7200,8085,46
2022-05-09,8100,8100,8100,8100,60
2022-05-10,8100,8260,8100,8260,190
2022-05-11,8260,8425,8150,8150,80
2022-05-12,8000,8000,8000,8000,1
2022-05-13,8150,8200,8150,8200,155
2022-05-16,8300,8360,8300,8360,7
2022-05-17,8360,8525,8340,8525,28
2022-05-18,8150,8690,8150,8690,10
2022-05-19,8860,8860,8860,8860,11
2022-05-20,8860,8860,8860,8860,1
2022-05-24,9035,9035,9035,9035,6
2022-05-31,9035,9710,9035,9710,24
2022-06-01,9900,9900,9900,9900,16
2022-06-08,10100,10100,10100,10100,5
2022-06-09,10300,10300,10300,10300,2
2022-06-13,10505,10505,10505,10505,1
2022-06-16,10505,10505,10505,10505,10
2022-06-17,11290,11290,11290,11290,3
2022-06-20,11515,11515,11515,11515,1
2022-06-21,11515,11515,11515,11515,1
2022-06-22,12135,12135,12135,12135,1
2022-06-24,12135,12135,12135,12135,10
2022-06-29,11490,11490,11490,11490,40
2022-06-30,11490,11490,11485,11485,13
2022-07-04,11485,11490,10625,11490,599
2022-07-05,11485,11495,11485,11495,102
2022-07-06,11495,11495,11495,11495,16
2022-07-07,11495,11495,11495,11495,100
2022-07-08,11495,11495,11495,11495,5
2022-07-11,10640,11495,10640,11495,279
2022-07-13,11495,12355,10640,10640,173
2022-07-14,11430,11430,9850,9850,65
2022-07-15,9800,10585,9800,10585,185
2022-07-18,10585,11375,9795,9800,637
2022-07-19,9800,9800,9065,9065,628
2022-07-20,9065,9065,8395,8395,30
2022-07-21,8150,8150,7990,7990,107
2022-07-22,7990,7990,7395,7395,12
2022-07-25,7395,7395,6845,6845,163
2022-07-26,6845,6845,6375,6375,82
2022-07-27,6850,6850,5900,5900,46
2022-07-28,5460,5900,5460,5460,338
2022-07-29,5075,5500,5055,5500,303
2022-08-01,5465,5500,5465,5500,17
2022-08-02,5500,5500,5500,5500,122
2022-08-03,5500,5500,5500,5500,104
2022-08-04,5500,5500,5500,5500,66
2022-08-05,5500,5910,5500,5505,324
2022-08-09,5900,5900,5900,5900,57
2022-08-10,5900,5905,5460,5460,398
2022-08-11,5865,5865,5200,5200,105
2022-08-12,5590,5590,5205,5210,41
2022-08-16,5500,5600,5230,5230,30
2022-08-18,5250,5600,5250,5330,40
2022-08-19,5595,5600,5230,5595,98
2022-08-22,5895,6010,5890,6010,57
2022-08-23,5895,6460,5895,6460,150
2022-08-24,6500,6500,6300,6300,138
2022-08-25,6300,6770,6300,6770,203
2022-08-26,6505,7275,6305,6305,53
2022-08-29,6775,6775,6500,6775,69
2022-08-30,6775,7280,6775,6775,74
2022-08-31,7280,7280,6270,6270,184
2022-09-01,6740,6740,6740,6740,1
2022-09-02,7230,7230,7230,7230,1
2022-09-05,7230,7770,6800,7230,126
2022-09-06,7770,7770,7615,7770,220
2022-09-07,8250,8300,7770,8300,27
2022-09-08,8790,8920,8790,8850,112
2022-09-09,8850,9510,8850,9505,204
2022-09-12,9505,9505,8800,8805,261
2022-09-13,8145,8145,8145,8145,33
2022-09-14,7780,7780,7535,7535,328
2022-09-15,7500,7500,6970,6975,39
2022-09-16,6460,6460,6460,6460,78
2022-09-19,6460,6470,6460,6470,75
2022-09-20,6300,6305,5985,6305,92
2022-09-21,6320,6320,6320,6320,1
2022-09-22,6335,6775,6330,6330,12
2022-09-26,6350,6350,6350,6350,3
2022-09-29,6355,6355,5980,5980,70
2022-10-03,6425,6425,6425,6425,2
2022-10-04,6900,6900,6425,6425,21
2022-10-05,6900,6900,6900,6900,1
2022-10-07,7045,7045,7045,7045,18
2022-10-10,7500,7500,6520,6520,12
2022-10-11,7005,7005,7005,7005,1
2022-10-12,7005,7530,6900,6900,41
2022-10-13,7415,7415,6495,6495,131
2022-10-14,6900,6900,6010,6010,398
2022-10-17,6460,6460,6400,6400,21
2022-10-18,6405,6405,6405,6405,61
2022-10-19,6485,6485,6285,6485,39
2022-10-20,6405,6800,6405,6800,11
2022-10-21,6975,6975,6975,6975,33
2022-10-25,6975,6975,6975,6975,1
2022-10-26,6455,6945,6455,6945,101
2022-10-27,6945,6945,6945,6945,1
2022-10-31,6425,6425,6425,6425,11
2022-11-03,6425,6425,6425,6425,1
2022-11-04,6425,6425,5945,5945,73
2022-11-08,6390,6390,6000,6000,11
2022-11-09,6450,6450,6450,6450,1
2022-11-11,6555,6555,6000,6000,14
2022-11-18,6000,6450,6000,6000,35
2022-11-21,6000,6450,6000,6450,5
2022-11-22,6650,6750,6650,6750,41
2022-11-23,6945,6945,6945,6945,1
2022-11-24,6725,6935,6725,6935,2
2022-11-28,6740,6740,6740,6740,3
2022-11-29,6700,6700,6700,6700,2
2022-12-01,6200,6200,6200,6200,30
2022-12-02,6200,6665,6200,6665,22
2022-12-05,6200,6200,6200,6200,2
2022-12-06,6200,6200,6000,6000,7
2022-12-07,6200,6200,6200,6200,1
2022-12-08,6000,6000,6000,6000,35
2022-12-09,6200,6200,6200,6200,1
2022-12-12,6000,6000,6000,6000,8
2022-12-13,6450,6450,6000,6000,92
2022-12-14,6000,6200,6000,6200,16
2022-12-15,6200,6200,5735,5735,31
2022-12-16,6165,6165,5735,5735,63
2022-12-19,6165,6165,6165,6165,1
2022-12-21,6165,6165,5750,5750,147
2022-12-22,6180,6180,6180,6180,1
2022-12-23,6180,6180,5750,5750,15
2022-12-27,6180,6180,5320,5320,105
2022-12-28,5330,5330,5330,5330,12
2022-12-29,5725,5725,5405,5405,17
2023-01-02,5405,5405,5405,5405,35
2023-01-03,5405,5810,5405,5810,9
2023-01-05,6220,6220,6220,6220,1
2023-01-06,6195,6200,6195,6200,21
2023-01-10,6200,6200,6200,6200,10
2023-01-16,6625,6625,5740,5740,37
2023-01-18,5745,5745,5745,5745,3
2023-01-23,5745,5745,5745,5745,31
2023-01-24,5745,5745,5745,5745,15
2023-01-25,6175,6175,6175,6175,1
2023-01-26,6600,6600,5740,5740,3
2023-01-27,6170,6170,5740,5740,3
2023-01-30,5740,5750,5740,5750,20
2023-02-02,5750,5750,5750,5750,17
2023-02-14,6175,6175,5780,5780,3
2023-02-16,6165,6165,6165,6165,1
2023-02-17,5780,5780,5780,5780,3
2023-02-21,6145,6145,6145,6145,1
2023-02-22,6100,6100,6100,6100,3
2023-02-24,6100,6100,6100,6100,3
2023-02-27,6550,6550,6500,6500,4
2023-02-28,6475,6475,6475,6475,6
2023-03-06,6470,6470,6470,6470,2
2023-03-07,6470,6470,6470,6470,3
2023-03-10,6460,6460,6460,6460,3
2023-03-13,6465,6465,6465,6465,10
2023-03-14,6440,6440,6440,6440,5
2023-03-21,6425,6425,6425,6425,13
2023-03-24,5945,5945,5945,5945,8
2023-03-27,5950,5950,5945,5945,19
2023-03-29,5945,5945,5945,5945,7
2023-03-30,5945,5945,5945,5945,261
2023-03-31,5945,5945,5945,5945,2
2023-04-03,5800,5800,5800,5800,13
2023-04-04,5950,5950,5950,5950,45
2023-04-07,5950,5950,5950,5950,10
2023-04-14,6395,6395,6395,6395,1
2023-04-17,6380,6385,6380,6385,7
2023-04-24,6365,6365,6365,6365,15
2023-05-08,6320,6320,6320,6320,3
2023-05-19,6320,6320,6315,6315,25
2023-06-12,5850,5850,5850,5850,17
2023-06-13,5500,5500,5500,5500,21
2023-06-14,5495,5495,5495,5495,25
2023-06-15,5495,5495,5495,5495,17
2023-07-04,5495,5495,5495,5495,1
2023-07-06,5495,5495,5495,5495,5
2023-07-07,5495,5495,5495,5495,12
