Date,Open,High,Low,Close,Volume
2020-12-31,1620,1630,1230,1230,250
2021-03-31,1230,1330,1140,1140,863
2021-06-30,1140,1720,1140,1720,3436
2021-09-30,1845,6340,1845,6340,6549
2021-12-31,6815,7870,4255,5120,5499
2022-03-31,5120,6100,4700,5630,1840
2022-06-30,6000,12135,5880,11485,1677
2022-09-30,11485,12355,5055,5980,7883
2022-12-31,6425,7530,5320,5405,1699
2023-03-31,5405,6625,5405,5945,563
2023-06-30,5800,6395,5495,5495,199
2023-09-30,5495,6775,5005,5005,416
2023-12-31,5005,5760,2620,3025,1757
2024-03-31,3250,3655,3025,3650,768
2024-06-30,3650,3650,3000,3145,254
2024-09-30,3145,3145,2800,2825,470
2024-12-31,2825,4000,2775,4000,657
2025-03-31,4005,4275,3370,3645,2091
2025-06-30,3375,3645,3100,3320,4000
2025-09-30,3310,4000,3065,3480,7780
2025-12-31,3480,3600,3300,3500,845
