Date,Open,High,Low,Close,Volume
2020-11-30,1630.0,1630.0,1520.0,1520.0,25
2020-12-07,1520.0,1520.0,1520.0,1520.0,30
2020-12-14,1425.0,1425.0,1425.0,1425.0,22
2020-12-21,1325.0,1325.0,1230.0,1230.0,137
2020-12-28,1230.0,1230.0,1230.0,1230.0,30
2021-01-11,1230.0,1230.0,1230.0,1230.0,103
2021-01-18,1320.0,1320.0,1320.0,1320.0,10
2021-02-01,1320.0,1320.0,1300.0,1320.0,204
2021-02-08,1330.0,1330.0,1330.0,1330.0,40
2021-03-08,1325.0,1325.0,1325.0,1325.0,1
2021-03-22,1330.0,1330.0,1230.0,1230.0,173
2021-03-29,1140.0,1145.0,1140.0,1140.0,332
2021-04-05,1140.0,1140.0,1140.0,1140.0,15
2021-04-19,1140.0,1140.0,1140.0,1140.0,231
2021-05-03,1140.0,1140.0,1140.0,1140.0,50
2021-05-24,1145.0,1145.0,1140.0,1140.0,1437
2021-05-31,1200.0,1290.0,1200.0,1290.0,815
2021-06-07,1385.0,1485.0,1385.0,1485.0,358
2021-06-14,1595.0,1595.0,1595.0,1595.0,69
2021-06-21,1600.0,1720.0,1600.0,1720.0,220
2021-06-28,1720.0,1720.0,1720.0,1720.0,241
2021-07-05,1845.0,1980.0,1845.0,1950.0,289
2021-07-12,2095.0,2595.0,2095.0,2595.0,9
2021-07-19,2785.0,3450.0,2785.0,3450.0,600
2021-07-26,3455.0,3710.0,3450.0,3710.0,77
2021-08-02,3710.0,4275.0,3450.0,4275.0,491
2021-08-09,4275.0,5335.0,4275.0,5335.0,749
2021-08-16,5335.0,5735.0,4565.0,4565.0,914
2021-08-23,4565.0,4565.0,3600.0,3600.0,831
2021-08-30,3705.0,4450.0,3705.0,3955.0,466
2021-09-06,4250.0,4450.0,4250.0,4250.0,661
2021-09-13,4450.0,4450.0,4120.0,4425.0,96
2021-09-20,4425.0,4755.0,4425.0,4755.0,13
2021-09-27,4755.0,5110.0,4755.0,5110.0,297
2021-10-04,5490.0,7325.0,4730.0,7325.0,1103
2021-10-11,7870.0,7870.0,5900.0,5900.0,679
2021-10-18,6230.0,6350.0,5500.0,5600.0,710
2021-10-25,5600.0,6940.0,5505.0,6495.0,968
2021-11-01,6895.0,7000.0,6050.0,6475.0,709
2021-11-08,6470.0,7400.0,6440.0,7400.0,25
2021-11-15,7200.0,7355.0,6335.0,6805.0,193
2021-11-22,6665.0,6665.0,5365.0,6235.0,323
2021-11-29,6235.0,6665.0,4600.0,4600.0,992
2021-12-06,4945.0,5025.0,4255.0,4350.0,332
2021-12-13,4675.0,5050.0,4375.0,4745.0,187
2021-12-20,5100.0,5495.0,4415.0,5160.0,182
2021-12-27,5495.0,5500.0,4750.0,4750.0,107
2022-01-03,5105.0,5500.0,5105.0,5500.0,48
2022-01-10,5500.0,5910.0,5500.0,5845.0,195
2022-01-17,5785.0,5785.0,4950.0,4950.0,101
2022-01-24,4950.0,4950.0,4700.0,4700.0,38
2022-01-31,4800.0,5170.0,4800.0,4820.0,54
2022-02-07,5170.0,5170.0,4840.0,4840.0,82
2022-02-14,4855.0,4865.0,4850.0,4855.0,147
2022-02-21,4950.0,5320.0,4950.0,5320.0,30
2022-02-28,5500.0,5775.0,5000.0,5775.0,42
2022-03-07,5775.0,5775.0,5000.0,5000.0,256
2022-03-14,5080.0,5425.0,5000.0,5000.0,142
2022-03-21,5370.0,5860.0,5050.0,5050.0,86
2022-03-28,5420.0,5825.0,5130.0,5390.0,252
2022-04-04,5700.0,6400.0,5630.0,6400.0,470
2022-04-11,5920.0,7200.0,5920.0,6200.0,434
2022-04-18,6200.0,6200.0,6200.0,6200.0,2
2022-04-25,6200.0,7525.0,6200.0,6475.0,303
2022-05-02,6480.0,6800.0,6475.0,6475.0,85
2022-05-09,6800.0,8100.0,6800.0,8100.0,179
2022-05-16,8100.0,8425.0,8000.0,8360.0,433
2022-05-23,8360.0,8860.0,8150.0,8860.0,50
2022-05-30,9035.0,9035.0,9035.0,9035.0,6
2022-06-06,9035.0,9900.0,9035.0,9900.0,40
2022-06-13,10100.0,10505.0,10100.0,10505.0,8
2022-06-20,10505.0,11515.0,10505.0,11515.0,14
2022-06-27,11515.0,12135.0,11515.0,12135.0,12
2022-07-04,11490.0,11490.0,10625.0,11490.0,652
2022-07-11,11485.0,11495.0,10640.0,11495.0,502
2022-07-18,11495.0,12355.0,9795.0,9800.0,1060
2022-07-25,9800.0,9800.0,6845.0,6845.0,940
2022-08-01,6845.0,6850.0,5055.0,5500.0,786
2022-08-08,5500.0,5910.0,5500.0,5505.0,616
2022-08-15,5900.0,5905.0,5200.0,5210.0,601
2022-08-22,5500.0,6010.0,5230.0,6010.0,225
2022-08-29,5895.0,7275.0,5895.0,6775.0,613
2022-09-05,6775.0,7770.0,6270.0,7230.0,386
2022-09-12,7770.0,9510.0,7615.0,8805.0,824
2022-09-19,8145.0,8145.0,6460.0,6470.0,553
2022-09-26,6300.0,6775.0,5985.0,6350.0,108
2022-10-03,6355.0,6425.0,5980.0,6425.0,72
2022-10-10,6900.0,7500.0,6425.0,6520.0,52
2022-10-17,7005.0,7530.0,6010.0,6400.0,592
2022-10-24,6405.0,6975.0,6285.0,6975.0,144
2022-10-31,6975.0,6975.0,6425.0,6425.0,114
2022-11-07,6425.0,6425.0,5945.0,5945.0,74
2022-11-14,6390.0,6555.0,6000.0,6000.0,26
2022-11-21,6000.0,6450.0,6000.0,6450.0,40
2022-11-28,6650.0,6945.0,6650.0,6740.0,47
2022-12-05,6700.0,6700.0,6200.0,6200.0,56
2022-12-12,6200.0,6200.0,6000.0,6000.0,52
2022-12-19,6450.0,6450.0,5735.0,6165.0,203
2022-12-26,6165.0,6180.0,5750.0,5750.0,163
