Date,Open,High,Low,Close,Volume
2020-11-30,185,205,175,200,3017
2020-12-31,200,215,185,185,91290
2021-01-31,185,215,180,205,12387
2021-02-28,215,220,200,205,7139
2021-03-31,205,210,200,210,3336
2021-04-30,210,220,200,215,15526
2021-05-31,215,440,215,435,10516
2021-06-30,435,480,320,410,35781
2021-07-31,390,470,380,450,16359
2021-08-31,450,465,425,460,8132
2021-09-30,465,625,440,625,28738
2021-10-31,625,670,600,615,12402
2021-11-30,615,615,600,600,21266
2021-12-31,600,900,570,895,188821
2022-01-31,895,960,775,875,14493
2022-02-28,875,1000,695,700,293211
2022-03-31,750,920,650,890,185052
2022-04-30,890,890,770,840,38812
2022-05-31,830,885,825,825,20930
2022-06-30,825,865,825,850,11581
2022-07-31,850,850,825,830,7228
2022-08-31,830,840,750,750,11762
2022-09-30,750,975,645,845,103027
2022-10-31,845,950,785,800,21775
2022-11-30,855,865,730,730,7494
2022-12-31,730,760,625,675,10148
2023-01-31,675,715,610,710,30998
2023-02-28,700,750,670,700,9436
2023-03-31,655,710,600,625,21687
2023-04-30,625,635,605,630,12609
2023-05-31,600,630,550,600,12896
2023-06-30,600,605,550,600,12741
2023-07-31,585,600,550,570,6997
2023-08-31,570,570,510,550,5499
2023-09-30,510,550,500,500,8744
2023-10-31,500,635,495,600,19793
2023-11-30,600,925,515,820,186297
2023-12-31,820,850,650,830,185288
2024-01-31,830,845,760,820,96779
2024-02-29,810,820,755,815,6539
2024-03-31,760,815,750,805,5504
2024-04-30,800,805,740,740,6556
2024-05-31,740,740,600,645,2999
2024-06-30,600,645,455,500,33347
2024-07-31,500,545,455,545,124503
2024-08-31,545,720,545,650,58096
2024-09-30,650,650,500,535,80644
2024-10-31,560,560,475,520,70000
2024-11-30,520,540,485,515,32455
2024-12-31,515,520,475,500,15839
2025-01-31,500,510,450,480,8308
2025-02-28,495,510,455,510,15229
2025-03-31,510,520,475,510,52968
2025-04-30,505,510,460,500,109332
2025-05-31,500,610,480,545,95735
2025-06-30,530,565,505,535,31467
2025-07-31,535,540,500,510,44416
2025-08-31,525,600,510,600,51873
2025-09-30,600,720,585,680,110587
2025-10-31,690,720,600,700,237748
