Date,Open,High,Low,Close,Volume
2020-12-31,175,215,175,185,91602
2021-03-31,185,220,180,210,22862
2021-06-30,210,480,200,410,61823
2021-09-30,390,625,380,625,53229
2021-12-31,625,900,570,895,222489
2022-03-31,895,1000,650,890,492756
2022-06-30,890,890,770,850,71323
2022-09-30,850,975,645,845,122017
2022-12-31,845,950,625,675,39417
2023-03-31,675,750,600,625,62121
2023-06-30,625,635,550,600,38246
2023-09-30,585,600,500,500,21240
2023-12-31,500,925,495,830,391378
2024-03-31,830,845,750,805,108822
2024-06-30,800,805,455,500,42902
2024-09-30,500,720,455,535,263243
2024-12-31,560,560,475,500,118294
2025-03-31,500,520,450,510,76505
2025-06-30,505,610,460,535,236534
2025-09-30,535,720,500,680,206876
2025-12-31,690,720,600,705,258250
