Date,Open,High,Low,Close,Volume
2020-11-09,185.0,185.0,175.0,175.0,2206
2020-11-16,175.0,175.0,175.0,175.0,750
2020-11-23,185.0,205.0,185.0,205.0,6
2020-11-30,195.0,205.0,195.0,200.0,156
2020-12-07,200.0,205.0,190.0,190.0,15003
2020-12-21,195.0,200.0,195.0,200.0,71694
2020-12-28,215.0,215.0,185.0,185.0,1149
2021-01-04,185.0,195.0,185.0,185.0,3444
2021-01-11,185.0,200.0,180.0,200.0,3311
2021-01-18,200.0,200.0,200.0,200.0,1762
2021-01-25,200.0,200.0,195.0,200.0,895
2021-02-01,200.0,215.0,185.0,215.0,6449
2021-02-08,215.0,220.0,205.0,205.0,4038
2021-02-15,200.0,205.0,200.0,200.0,514
2021-02-22,200.0,205.0,200.0,200.0,2516
2021-03-01,200.0,205.0,200.0,205.0,41
2021-03-08,205.0,205.0,200.0,205.0,1070
2021-03-15,205.0,210.0,200.0,210.0,165
2021-03-22,210.0,210.0,205.0,210.0,1396
2021-03-29,210.0,210.0,210.0,210.0,535
2021-04-05,210.0,210.0,210.0,210.0,280
2021-04-12,210.0,215.0,210.0,210.0,1122
2021-04-19,210.0,210.0,200.0,200.0,7937
2021-04-26,200.0,215.0,200.0,215.0,3518
2021-05-03,210.0,220.0,210.0,215.0,3476
2021-05-10,220.0,235.0,220.0,235.0,493
2021-05-17,250.0,280.0,250.0,280.0,220
2021-05-24,260.0,365.0,260.0,365.0,4512
2021-05-31,365.0,440.0,365.0,435.0,4654
2021-06-07,435.0,435.0,345.0,345.0,6374
2021-06-14,320.0,370.0,320.0,370.0,5049
2021-06-21,370.0,420.0,350.0,420.0,10822
2021-06-28,435.0,480.0,420.0,435.0,12594
2021-07-05,435.0,450.0,380.0,435.0,5798
2021-07-12,435.0,455.0,425.0,455.0,1450
2021-07-19,470.0,470.0,455.0,465.0,1711
2021-07-26,465.0,470.0,450.0,465.0,1426
2021-08-02,465.0,470.0,425.0,465.0,7329
2021-08-09,450.0,465.0,425.0,465.0,2045
2021-08-16,460.0,465.0,435.0,450.0,1173
2021-08-23,460.0,465.0,450.0,455.0,1743
2021-08-30,455.0,465.0,450.0,465.0,2588
2021-09-06,460.0,465.0,455.0,455.0,2142
2021-09-13,455.0,455.0,440.0,455.0,2588
2021-09-20,455.0,460.0,455.0,460.0,6031
2021-09-27,460.0,535.0,460.0,535.0,9727
2021-10-04,575.0,670.0,540.0,665.0,9776
2021-10-11,665.0,665.0,600.0,610.0,3981
2021-10-18,610.0,645.0,600.0,635.0,4048
2021-10-25,615.0,640.0,600.0,600.0,2085
2021-11-01,600.0,635.0,600.0,615.0,932
2021-11-08,615.0,615.0,600.0,600.0,2781
2021-11-15,615.0,615.0,600.0,615.0,4772
2021-11-22,605.0,615.0,600.0,600.0,4713
2021-11-29,615.0,615.0,600.0,605.0,8850
2021-12-06,600.0,615.0,570.0,615.0,2795
2021-12-13,600.0,615.0,580.0,585.0,4951
2021-12-20,585.0,620.0,580.0,620.0,75674
2021-12-27,600.0,875.0,600.0,875.0,17271
2022-01-03,810.0,960.0,775.0,960.0,89569
2022-01-10,895.0,950.0,835.0,835.0,4376
2022-01-17,835.0,925.0,775.0,815.0,3542
2022-01-24,830.0,875.0,780.0,875.0,3139
2022-01-31,875.0,925.0,855.0,875.0,2147
2022-02-07,875.0,900.0,835.0,900.0,3302
2022-02-14,900.0,920.0,700.0,825.0,95627
2022-02-21,885.0,1000.0,765.0,925.0,182787
2022-02-28,900.0,990.0,695.0,700.0,11495
2022-03-07,750.0,920.0,650.0,855.0,148827
2022-03-14,850.0,900.0,780.0,850.0,19024
2022-03-21,850.0,895.0,750.0,805.0,3516
2022-03-28,805.0,850.0,765.0,850.0,3549
2022-04-04,845.0,890.0,800.0,840.0,12309
2022-04-11,835.0,845.0,800.0,830.0,12437
2022-04-18,830.0,830.0,780.0,825.0,835
2022-04-25,825.0,830.0,770.0,825.0,18595
2022-05-02,885.0,885.0,825.0,840.0,4772
2022-05-09,830.0,885.0,825.0,880.0,11414
2022-05-16,880.0,885.0,825.0,830.0,3566
2022-05-23,830.0,850.0,825.0,845.0,2410
2022-05-30,845.0,870.0,825.0,870.0,2630
2022-06-06,825.0,865.0,825.0,855.0,2912
2022-06-13,850.0,850.0,825.0,850.0,4979
2022-06-20,845.0,850.0,825.0,845.0,2752
2022-06-27,845.0,850.0,825.0,850.0,1137
2022-07-04,830.0,850.0,830.0,850.0,794
2022-07-11,850.0,850.0,830.0,835.0,798
2022-07-18,835.0,835.0,830.0,835.0,1594
2022-07-25,830.0,845.0,825.0,825.0,3686
2022-08-01,825.0,840.0,825.0,840.0,1154
2022-08-08,840.0,840.0,825.0,840.0,1080
2022-08-15,835.0,840.0,825.0,825.0,1327
2022-08-22,820.0,830.0,750.0,825.0,5704
2022-08-29,815.0,820.0,810.0,810.0,1147
2022-09-05,790.0,810.0,750.0,780.0,4251
2022-09-12,750.0,780.0,730.0,730.0,2360
2022-09-19,765.0,770.0,680.0,750.0,2047
2022-09-26,750.0,850.0,645.0,850.0,84316
2022-10-03,850.0,975.0,790.0,840.0,13307
2022-10-10,790.0,895.0,785.0,895.0,5639
2022-10-17,895.0,950.0,840.0,860.0,10707
2022-10-24,850.0,860.0,820.0,820.0,4199
2022-10-31,860.0,860.0,800.0,800.0,393
2022-11-07,855.0,865.0,800.0,800.0,4479
2022-11-14,800.0,800.0,795.0,800.0,593
2022-11-21,800.0,860.0,800.0,860.0,748
2022-11-28,860.0,860.0,740.0,785.0,494
2022-12-05,745.0,745.0,700.0,700.0,2862
2022-12-12,750.0,760.0,730.0,730.0,70
2022-12-19,720.0,720.0,690.0,690.0,2808
2022-12-26,690.0,695.0,650.0,695.0,4165
2023-01-02,695.0,715.0,625.0,675.0,1463
2023-01-09,625.0,675.0,625.0,670.0,4302
2023-01-16,670.0,670.0,620.0,620.0,19622
2023-01-23,620.0,715.0,610.0,715.0,4963
2023-01-30,695.0,715.0,695.0,710.0,1005
2023-02-06,700.0,750.0,700.0,750.0,4513
2023-02-13,740.0,740.0,725.0,730.0,1573
2023-02-20,680.0,730.0,680.0,720.0,3655
2023-02-27,670.0,720.0,670.0,710.0,710
2023-03-06,700.0,710.0,650.0,710.0,7453
2023-03-13,700.0,700.0,680.0,680.0,1530
2023-03-20,675.0,675.0,620.0,640.0,4425
2023-03-27,600.0,640.0,600.0,635.0,2681
2023-04-03,635.0,635.0,600.0,635.0,5909
2023-04-10,625.0,635.0,625.0,630.0,904
2023-04-17,630.0,630.0,605.0,625.0,1097
2023-04-24,605.0,625.0,605.0,625.0,300
2023-05-01,605.0,630.0,605.0,630.0,10048
2023-05-08,600.0,630.0,600.0,610.0,10359
2023-05-15,610.0,610.0,590.0,600.0,1280
2023-05-22,600.0,605.0,550.0,565.0,457
2023-05-29,600.0,605.0,565.0,600.0,684
2023-06-05,600.0,605.0,550.0,605.0,2122
2023-06-12,600.0,605.0,600.0,600.0,9600
2023-06-19,600.0,600.0,600.0,600.0,144
2023-06-26,600.0,600.0,600.0,600.0,416
2023-07-03,585.0,600.0,580.0,580.0,1430
2023-07-10,550.0,580.0,550.0,570.0,1508
2023-07-17,555.0,580.0,550.0,570.0,1722
2023-07-24,570.0,580.0,550.0,580.0,867
2023-07-31,580.0,580.0,550.0,570.0,2045
2023-08-07,570.0,570.0,545.0,560.0,777
2023-08-14,560.0,560.0,520.0,550.0,951
2023-08-21,560.0,560.0,550.0,550.0,1611
2023-08-28,550.0,560.0,520.0,550.0,1985
2023-09-04,550.0,550.0,510.0,515.0,1955
2023-09-11,550.0,550.0,515.0,515.0,2773
2023-09-18,515.0,550.0,510.0,515.0,955
2023-09-25,525.0,545.0,515.0,545.0,1582
2023-10-02,545.0,545.0,500.0,535.0,1937
2023-10-09,535.0,535.0,495.0,495.0,1350
2023-10-16,510.0,565.0,495.0,560.0,8229
2023-10-23,555.0,635.0,525.0,595.0,8093
2023-10-30,615.0,615.0,595.0,605.0,1488
2023-11-06,615.0,605.0,515.0,595.0,1012
2023-11-13,595.0,600.0,595.0,595.0,186
2023-11-20,585.0,725.0,585.0,720.0,76614
2023-11-27,680.0,925.0,680.0,895.0,106196
2023-12-04,855.0,895.0,760.0,790.0,2767
2023-12-11,750.0,790.0,650.0,750.0,75152
2023-12-18,750.0,850.0,700.0,850.0,5528
2023-12-25,845.0,850.0,790.0,790.0,83621
2024-01-01,840.0,840.0,780.0,830.0,20859
2024-01-08,830.0,830.0,760.0,830.0,85840
2024-01-15,830.0,845.0,785.0,825.0,665
2024-01-22,770.0,825.0,760.0,825.0,7107
2024-01-29,820.0,825.0,760.0,820.0,2646
2024-02-05,810.0,820.0,755.0,820.0,3569
2024-02-12,815.0,820.0,800.0,815.0,1874
2024-02-19,810.0,820.0,800.0,815.0,1078
2024-02-26,815.0,815.0,755.0,815.0,439
2024-03-04,815.0,815.0,755.0,815.0,1001
2024-03-11,800.0,815.0,755.0,800.0,297
2024-03-18,790.0,800.0,755.0,800.0,852
2024-03-25,755.0,800.0,750.0,790.0,1003
2024-04-01,780.0,810.0,780.0,805.0,2451
2024-04-08,800.0,805.0,800.0,800.0,5400
2024-04-15,740.0,800.0,740.0,800.0,358
2024-04-22,800.0,800.0,740.0,800.0,557
2024-04-29,800.0,800.0,740.0,750.0,234
2024-05-06,740.0,750.0,685.0,685.0,212
2024-05-13,675.0,685.0,650.0,675.0,294
2024-05-20,675.0,700.0,650.0,650.0,1157
2024-05-27,650.0,650.0,605.0,650.0,1072
2024-06-03,650.0,650.0,600.0,600.0,385
2024-06-10,600.0,640.0,555.0,575.0,1690
2024-06-17,575.0,580.0,535.0,575.0,2188
2024-06-24,570.0,575.0,490.0,490.0,26346
2024-07-01,500.0,500.0,455.0,500.0,3060
2024-07-08,500.0,500.0,465.0,465.0,1165
2024-07-15,490.0,490.0,455.0,490.0,2988
2024-07-22,490.0,535.0,465.0,495.0,82928
2024-07-29,495.0,510.0,470.0,495.0,31042
2024-08-05,495.0,575.0,495.0,565.0,28646
2024-08-12,570.0,575.0,550.0,570.0,3837
2024-08-19,570.0,720.0,560.0,645.0,11058
2024-08-26,600.0,645.0,555.0,640.0,19486
2024-09-02,600.0,705.0,600.0,650.0,1761
2024-09-09,650.0,650.0,585.0,585.0,4344
2024-09-16,595.0,595.0,520.0,565.0,16998
2024-09-23,555.0,565.0,500.0,555.0,39016
2024-09-30,560.0,560.0,500.0,535.0,19923
2024-10-07,560.0,560.0,500.0,500.0,33050
2024-10-14,535.0,535.0,475.0,505.0,16414
2024-10-21,505.0,525.0,505.0,525.0,15862
2024-10-28,495.0,540.0,495.0,520.0,3776
2024-11-04,520.0,520.0,500.0,520.0,6078
2024-11-11,500.0,540.0,485.0,485.0,13075
2024-11-18,490.0,520.0,485.0,495.0,5361
2024-11-25,485.0,510.0,485.0,510.0,8142
2024-12-02,510.0,515.0,495.0,495.0,991
2024-12-09,530.0,515.0,495.0,510.0,7667
2024-12-16,515.0,520.0,500.0,500.0,922
2024-12-23,520.0,520.0,480.0,500.0,6379
2024-12-30,480.0,510.0,475.0,475.0,436
2025-01-06,500.0,500.0,475.0,495.0,505
2025-01-13,495.0,510.0,485.0,500.0,521
2025-01-20,500.0,500.0,450.0,495.0,5853
2025-01-27,495.0,495.0,450.0,480.0,631
2025-02-03,495.0,495.0,450.0,490.0,1556
2025-02-10,490.0,490.0,455.0,490.0,2418
2025-02-17,490.0,495.0,485.0,490.0,1436
2025-02-24,490.0,500.0,455.0,500.0,6298
2025-03-03,500.0,510.0,495.0,510.0,4788
2025-03-10,510.0,510.0,490.0,500.0,2946
2025-03-17,500.0,520.0,480.0,505.0,11393
2025-03-24,505.0,515.0,475.0,510.0,33314
2025-03-31,510.0,510.0,480.0,510.0,4987
2025-04-07,505.0,510.0,490.0,505.0,5259
2025-04-14,500.0,505.0,460.0,460.0,44453
2025-04-21,465.0,505.0,460.0,465.0,41386
2025-04-28,465.0,505.0,465.0,505.0,9527
2025-05-05,490.0,505.0,480.0,505.0,9545
2025-05-12,505.0,610.0,500.0,585.0,30229
2025-05-19,565.0,585.0,520.0,550.0,22608
2025-05-26,550.0,550.0,500.0,515.0,5635
2025-06-02,515.0,550.0,485.0,550.0,37043
2025-06-09,545.0,550.0,520.0,535.0,1861
2025-06-16,525.0,565.0,510.0,545.0,13761
2025-06-23,545.0,550.0,505.0,540.0,9395
2025-06-30,540.0,545.0,510.0,535.0,5832
2025-07-07,535.0,540.0,500.0,530.0,2491
2025-07-14,535.0,535.0,500.0,510.0,20547
2025-07-21,520.0,530.0,505.0,525.0,8271
2025-07-28,530.0,530.0,505.0,525.0,5595
2025-08-04,505.0,530.0,505.0,525.0,8180
2025-08-11,525.0,550.0,525.0,550.0,3018
2025-08-18,550.0,550.0,535.0,540.0,20189
2025-08-25,545.0,600.0,540.0,595.0,15791
2025-09-01,590.0,600.0,570.0,600.0,17377
2025-09-08,600.0,600.0,585.0,600.0,27667
2025-09-15,590.0,720.0,590.0,695.0,16949
2025-09-22,695.0,705.0,685.0,690.0,16613
2025-09-29,690.0,700.0,670.0,680.0,41665
2025-10-06,680.0,690.0,600.0,665.0,47377
2025-10-13,670.0,675.0,655.0,655.0,29265
2025-10-20,670.0,720.0,655.0,715.0,50594
2025-10-27,715.0,715.0,665.0,705.0,59268
2025-11-03,700.0,715.0,685.0,710.0,30051
