Date,Open,High,Low,Close,Volume
2020-11-30,4500.0,4825.0,4175.0,4825.0,1390
2020-12-31,5000.0,5090.0,5000.0,5090.0,4370
2021-01-31,5100.0,5200.0,5100.0,5200.0,8890
2021-02-28,5580.0,5600.0,5300.0,5301.0,280
2021-03-31,5301.0,5600.0,5300.0,5600.0,340
2021-04-30,5800.0,6200.0,5700.0,6200.0,2950
2021-05-31,6200.0,7401.0,6200.0,7200.0,8910
2021-06-30,7200.0,7402.0,7200.0,7402.0,1600
2021-07-31,7956.0,9194.0,7400.0,9181.0,4460
2021-08-31,8239.0,16252.0,8239.0,11350.0,3630
2021-09-30,11346.0,11346.0,9500.0,9851.0,51830
2021-10-31,9900.0,13621.0,9856.0,13621.0,5830
2021-11-30,12600.0,15050.0,11700.0,13500.0,23950
2021-12-31,13700.0,15600.0,13500.0,15600.0,4630
2022-01-31,14430.0,16500.0,13400.0,16500.0,3900
2022-02-28,16450.0,16800.0,15500.0,16800.0,8260
2022-03-31,16800.0,16800.0,15500.0,16400.0,8130
2022-04-30,15500.0,16400.0,15000.0,15500.0,4790
2022-05-31,15500.0,15500.0,11466.0,12416.0,29520
2022-06-30,12850.0,15588.0,12000.0,15000.0,22040
2022-07-31,15000.0,15001.0,13413.0,13413.0,2560
2022-08-31,13500.0,13500.0,10000.0,10750.0,3250
2022-09-30,11500.0,13000.0,10000.0,10676.0,1850
2022-10-31,10000.0,11555.0,10000.0,11550.0,1880
2022-11-30,11550.0,11550.0,8000.0,8800.0,4140
2022-12-31,8500.0,9000.0,8324.0,8325.0,4910
2023-01-31,8325.0,8450.0,7585.0,7587.0,2790
2023-02-28,8155.0,8500.0,7800.0,8000.0,1530
2023-03-31,8000.0,8001.0,7800.0,8000.0,6430
2023-04-30,8000.0,8700.0,7021.0,7021.0,3140
2023-05-31,7500.0,8600.0,7500.0,7900.0,430
2023-06-30,7308.0,7308.0,5600.0,7308.0,2000
2023-07-31,6760.0,7400.0,6760.0,7400.0,730
2023-08-31,7400.0,8600.0,7258.0,8600.0,6800
2023-09-30,8600.0,9030.0,8400.0,9000.0,630
2023-10-31,8999.0,9020.0,7790.0,9000.0,4680
2023-11-30,9000.0,9000.0,8325.0,9000.0,9250
2023-12-31,8999.0,9000.0,8330.0,8700.0,7880
2024-01-31,8700.0,9000.0,8700.0,8894.0,2160
2024-02-29,8227.0,8894.0,8100.0,8800.0,860
2024-03-31,8800.0,8800.0,8300.0,8325.0,1460
2024-09-30,8510.0,102125.0,8325.0,10975.0,4565
2024-10-31,11795.0,18245.0,10975.0,15500.0,39195
2024-11-30,15395.0,15500.0,11700.0,13255.0,5866
2024-12-31,14245.0,15050.0,12860.0,12950.0,7833
2025-01-31,13000.0,13990.0,12865.0,13500.0,3655
2025-02-28,13005.0,15000.0,13000.0,15000.0,2084
2025-03-31,15000.0,15000.0,14000.0,14400.0,3034
2025-04-30,14200.0,14500.0,13450.0,13800.0,2947
2025-05-31,13850.0,17200.0,13800.0,16900.0,8198
2025-06-30,16900.0,19295.0,15750.0,16820.0,13193
2025-07-31,16900.0,19320.0,16800.0,18600.0,39286
2025-08-31,18005.0,18750.0,17640.0,18740.0,12282
2025-09-30,18740.0,18745.0,17275.0,18000.0,2785
2025-10-31,18000.0,22975.0,17505.0,22975.0,65627
2025-11-30,24695.0,25000.0,22975.0,25000.0,2473
