Date,Open,High,Low,Close,Volume
2020-11-09,4500.0,4500.0,4500.0,4500.0,130
2020-11-16,4500.0,4500.0,4175.0,4175.0,370
2020-11-23,4488.0,4825.0,4488.0,4825.0,910
2020-11-30,4825.0,4825.0,4825.0,4825.0,110
2020-12-14,5000.0,5000.0,5000.0,5000.0,240
2020-12-21,5001.0,5001.0,5001.0,5001.0,30
2020-12-28,5010.0,5010.0,5000.0,5000.0,4080
2021-01-04,5090.0,5090.0,5090.0,5090.0,20
2021-01-11,5100.0,5100.0,5100.0,5100.0,110
2021-01-18,5100.0,5101.0,5100.0,5100.0,7030
2021-02-01,5150.0,5200.0,5150.0,5200.0,1750
2021-02-08,5580.0,5580.0,5300.0,5300.0,110
2021-02-15,5600.0,5600.0,5300.0,5301.0,70
2021-02-22,5301.0,5301.0,5301.0,5301.0,100
2021-03-08,5301.0,5301.0,5301.0,5301.0,40
2021-03-15,5301.0,5301.0,5301.0,5301.0,110
2021-03-22,5300.0,5300.0,5300.0,5300.0,150
2021-03-29,5300.0,5300.0,5300.0,5300.0,20
2021-04-05,5600.0,5600.0,5600.0,5600.0,20
2021-04-19,5800.0,6128.0,5700.0,6128.0,2450
2021-04-26,6200.0,6200.0,6200.0,6200.0,470
2021-05-03,6200.0,6200.0,6200.0,6200.0,100
2021-05-10,6200.0,7096.0,6200.0,7096.0,720
2021-05-17,7096.0,7100.0,7050.0,7100.0,140
2021-05-24,7100.0,7401.0,7100.0,7401.0,7190
2021-05-31,7100.0,7200.0,7100.0,7200.0,790
2021-06-07,7200.0,7201.0,7200.0,7200.0,1050
2021-06-14,7201.0,7206.0,7200.0,7206.0,340
2021-06-21,7400.0,7400.0,7400.0,7400.0,80
2021-06-28,7400.0,7401.0,7400.0,7401.0,120
2021-07-05,7402.0,7956.0,7402.0,7956.0,90
2021-07-12,7400.0,9194.0,7400.0,9190.0,1300
2021-07-19,9180.0,9181.0,8700.0,9180.0,1230
2021-07-26,9170.0,9180.0,9170.0,9180.0,1770
2021-08-02,9181.0,9181.0,9181.0,9181.0,80
2021-08-09,8239.0,9521.0,8239.0,9521.0,50
2021-08-16,9711.0,12170.0,9711.0,12170.0,350
2021-08-23,13083.0,16252.0,13083.0,14000.0,1630
2021-08-30,14100.0,15050.0,12170.0,12170.0,1290
2021-09-06,11300.0,12950.0,9710.0,9710.0,1350
2021-09-13,10438.0,10438.0,9500.0,10417.0,49380
2021-09-20,10600.0,10600.0,9851.0,9851.0,210
2021-09-27,10500.0,10500.0,9851.0,9851.0,1200
2021-10-04,9900.0,10200.0,9900.0,10200.0,300
2021-10-11,9856.0,10150.0,9856.0,10150.0,80
2021-10-18,10000.0,10200.0,10000.0,10001.0,4150
2021-10-25,10200.0,10965.0,10200.0,10965.0,540
2021-11-01,11787.0,13621.0,11787.0,13621.0,760
2021-11-08,12600.0,12600.0,11700.0,12600.0,12330
2021-11-15,12601.0,13500.0,12600.0,12600.0,1080
2021-11-22,12600.0,15050.0,12600.0,14980.0,10260
2021-11-29,13900.0,14000.0,12910.0,13500.0,280
2021-12-06,13700.0,13700.0,13500.0,13501.0,510
2021-12-13,14200.0,14550.0,14200.0,14520.0,310
2021-12-20,14550.0,14600.0,14500.0,14600.0,2150
2021-12-27,14600.0,14700.0,14600.0,14700.0,130
2022-01-03,14700.0,15600.0,14430.0,14430.0,1540
2022-01-10,13400.0,15400.0,13400.0,15400.0,910
2022-01-17,15400.0,15600.0,15400.0,15600.0,1650
2022-01-24,15600.0,15800.0,15600.0,15800.0,420
2022-01-31,15700.0,16500.0,15700.0,16500.0,910
2022-02-07,16450.0,16700.0,16450.0,16500.0,2980
2022-02-14,16500.0,16600.0,16500.0,16500.0,1560
2022-02-21,16500.0,16500.0,16000.0,16000.0,1820
2022-02-28,16000.0,16800.0,15500.0,16800.0,1900
2022-03-07,16800.0,16800.0,15550.0,16500.0,1410
2022-03-14,15800.0,16600.0,15800.0,16600.0,530
2022-03-21,16635.0,16635.0,15800.0,15800.0,3510
2022-03-28,15500.0,16400.0,15500.0,15700.0,2530
2022-04-04,15700.0,16400.0,15500.0,15500.0,350
2022-04-11,15500.0,16350.0,15500.0,16100.0,120
2022-04-18,15000.0,15650.0,15000.0,15600.0,540
2022-04-25,16400.0,16400.0,15500.0,16300.0,1810
2022-05-02,15974.0,15974.0,15500.0,15500.0,2120
2022-05-09,15500.0,15500.0,15000.0,15000.0,1420
2022-05-16,14500.0,14500.0,14500.0,14500.0,26960
2022-05-23,14000.0,14000.0,11466.0,11500.0,600
2022-05-30,11466.0,12416.0,11466.0,12416.0,540
2022-06-06,12850.0,12900.0,12000.0,12000.0,290
2022-06-13,12900.0,14500.0,12900.0,14500.0,6150
2022-06-20,15588.0,15588.0,13501.0,15588.0,30
2022-06-27,15587.0,15587.0,15000.0,15000.0,15500
2022-07-04,14900.0,15000.0,14900.0,15000.0,70
2022-07-11,15000.0,15000.0,14500.0,15000.0,280
2022-07-18,15000.0,15001.0,15000.0,15000.0,860
2022-07-25,14900.0,14900.0,14500.0,14500.0,350
2022-08-01,14500.0,14500.0,13413.0,13500.0,2170
2022-08-08,13500.0,13500.0,13500.0,13500.0,190
2022-08-15,13500.0,13500.0,13500.0,13500.0,10
2022-08-22,12200.0,12200.0,11205.0,11205.0,320
2022-08-29,11206.0,11220.0,10361.0,10361.0,1380
2022-09-05,10365.0,11500.0,10000.0,10750.0,960
2022-09-12,11556.0,13000.0,11550.0,11556.0,350
2022-09-19,11500.0,12000.0,11500.0,12000.0,280
2022-09-26,11950.0,12000.0,11900.0,11900.0,140
2022-10-03,11060.0,11200.0,10000.0,10676.0,870
2022-10-10,10676.0,10676.0,10305.0,10500.0,460
2022-10-17,11000.0,11287.0,10015.0,10501.0,430
2022-10-24,10501.0,11288.0,10000.0,10000.0,450
2022-10-31,10750.0,11555.0,10750.0,11550.0,40
2022-11-07,11550.0,11550.0,9842.0,9842.0,420
2022-11-14,9105.0,9105.0,8000.0,8000.0,1720
2022-11-21,8422.0,9000.0,8422.0,9000.0,140
2022-11-28,9000.0,9000.0,8400.0,8800.0,1800
2022-12-05,8800.0,9000.0,8500.0,9000.0,360
2022-12-12,8712.0,9000.0,8400.0,8400.0,4120
2022-12-19,8600.0,8600.0,8600.0,8600.0,40
2022-12-26,8600.0,9000.0,8325.0,8325.0,250
2023-01-02,8325.0,8325.0,8324.0,8325.0,210
2023-01-09,8400.0,8450.0,8400.0,8400.0,120
2023-01-16,8400.0,8400.0,8350.0,8400.0,260
2023-01-23,8300.0,8300.0,7585.0,7585.0,180
2023-01-30,7585.0,7587.0,7585.0,7587.0,2220
2023-02-13,8155.0,8500.0,8155.0,8500.0,60
2023-02-20,7900.0,8000.0,7800.0,7800.0,90
2023-02-27,8000.0,8000.0,8000.0,8000.0,1270
2023-03-06,8000.0,8000.0,8000.0,8000.0,220
2023-03-13,8000.0,8001.0,8000.0,8000.0,160
2023-03-20,8000.0,8000.0,8000.0,8000.0,40
2023-03-27,8000.0,8000.0,7800.0,8000.0,1730
2023-04-03,8000.0,8000.0,8000.0,8000.0,4390
2023-04-10,8000.0,8600.0,8000.0,8600.0,90
2023-04-17,8600.0,8700.0,8600.0,8600.0,2610
2023-04-24,8000.0,8000.0,7590.0,7590.0,40
2023-05-01,7021.0,7021.0,7021.0,7021.0,400
2023-05-08,7500.0,8600.0,7500.0,8600.0,40
2023-05-15,8600.0,8600.0,8600.0,8600.0,90
2023-05-22,8000.0,8000.0,7955.0,7955.0,40
2023-05-29,7950.0,7950.0,7500.0,7500.0,110
2023-06-05,7500.0,7900.0,6253.0,6253.0,530
2023-06-12,5785.0,6254.0,5785.0,6254.0,900
2023-06-19,5600.0,7308.0,5600.0,7308.0,400
2023-06-26,7308.0,7308.0,7307.0,7308.0,220
2023-07-03,7308.0,7308.0,7308.0,7308.0,100
2023-07-10,6760.0,7400.0,6760.0,7400.0,180
2023-07-17,7400.0,7400.0,7400.0,7400.0,30
2023-07-24,7000.0,7400.0,6845.0,7350.0,370
2023-07-31,7350.0,7400.0,7350.0,7400.0,150
2023-08-07,7400.0,7846.0,7400.0,7400.0,5850
2023-08-14,7400.0,7846.0,7400.0,7846.0,480
2023-08-21,7401.0,7846.0,7846.0,7846.0,160
2023-08-28,8434.0,8434.0,7258.0,7850.0,210
2023-09-04,8000.0,8600.0,7850.0,8400.0,210
2023-09-11,9030.0,9030.0,8400.0,9000.0,110
2023-09-18,9000.0,9030.0,8500.0,9030.0,130
2023-09-25,9030.0,9030.0,9015.0,9015.0,50
2023-10-02,8999.0,9015.0,8500.0,8999.0,250
2023-10-09,9020.0,9020.0,7790.0,8374.0,420
2023-10-16,8374.0,9000.0,8374.0,8990.0,160
2023-10-23,8990.0,9000.0,8330.0,8500.0,1530
2023-10-30,8900.0,9000.0,8500.0,9000.0,2450
2023-11-06,9000.0,9000.0,8969.0,9000.0,820
2023-11-13,9000.0,9000.0,8500.0,8500.0,7220
2023-11-20,8500.0,9000.0,8500.0,9000.0,170
2023-11-27,8950.0,9000.0,8325.0,9000.0,1140
2023-12-04,8999.0,9000.0,8999.0,8999.0,20
2023-12-11,8995.0,9000.0,8999.0,9000.0,320
2023-12-18,8820.0,9000.0,8820.0,8900.0,100
2023-12-25,8900.0,9000.0,8500.0,9000.0,7270
2024-01-01,8330.0,9000.0,8330.0,8700.0,170
2024-01-08,8700.0,9000.0,8700.0,8950.0,70
2024-01-15,8800.0,8950.0,8800.0,8800.0,1840
2024-01-22,8950.0,8950.0,8800.0,8805.0,180
2024-01-29,8895.0,8895.0,8805.0,8894.0,70
2024-02-12,8227.0,8894.0,8227.0,8850.0,290
2024-02-19,8850.0,8894.0,8200.0,8850.0,170
2024-02-26,8250.0,8850.0,8250.0,8700.0,120
2024-03-04,8700.0,8800.0,8100.0,8800.0,300
2024-03-18,8700.0,8700.0,8700.0,8700.0,220
2024-03-25,8300.0,8700.0,8300.0,8700.0,560
2024-04-01,8700.0,8700.0,8325.0,8325.0,660
2024-09-16,8510.0,9308.0,8325.0,8650.0,1260
2024-09-23,8650.0,9308.0,8650.0,9308.0,2410
2024-09-30,9500.0,102125.0,9308.0,10975.0,895
2024-10-07,11795.0,14515.0,10975.0,14495.0,16921
2024-10-14,15510.0,18245.0,14495.0,17000.0,13970
2024-10-21,16700.0,17000.0,14000.0,15000.0,5793
2024-10-28,15000.0,16500.0,15000.0,16500.0,2130
2024-11-04,15500.0,16500.0,15200.0,15395.0,536
2024-11-11,15395.0,15395.0,13200.0,13200.0,1296
2024-11-18,13195.0,13200.0,11700.0,11900.0,1882
2024-11-25,11900.0,14990.0,11900.0,14895.0,1933
2024-12-02,14895.0,14990.0,12950.0,14000.0,679
2024-12-09,14245.0,15050.0,13950.0,14970.0,408
2024-12-16,14970.0,14970.0,13000.0,13900.0,608
2024-12-23,13900.0,14000.0,12860.0,14000.0,5387
2024-12-30,14000.0,14000.0,12860.0,12900.0,1323
2025-01-06,12955.0,13920.0,12900.0,13900.0,232
2025-01-13,13900.0,13990.0,13700.0,13950.0,1376
2025-01-20,13950.0,13990.0,13430.0,13950.0,852
2025-01-27,13950.0,13950.0,12865.0,13000.0,771
2025-02-03,13000.0,13945.0,12900.0,13800.0,552
2025-02-10,13800.0,14000.0,13000.0,13900.0,502
2025-02-17,14000.0,15000.0,13100.0,14935.0,364
2025-02-24,14935.0,15000.0,14100.0,15000.0,722
2025-03-03,14900.0,15000.0,14100.0,14995.0,435
2025-03-10,15000.0,15000.0,14100.0,14800.0,998
2025-03-17,14850.0,14850.0,14000.0,14800.0,1367
2025-03-24,14600.0,14800.0,14010.0,14500.0,473
2025-03-31,14500.0,14500.0,14100.0,14400.0,157
2025-04-07,14200.0,14500.0,13950.0,14200.0,1185
2025-04-14,14400.0,14500.0,13900.0,13995.0,438
2025-04-21,14000.0,14400.0,13450.0,14195.0,676
2025-04-28,14200.0,14200.0,13505.0,13950.0,581
2025-05-05,13945.0,14000.0,13800.0,13945.0,254
2025-05-12,13945.0,15000.0,13945.0,14995.0,2082
2025-05-19,13875.0,15150.0,13875.0,15000.0,1121
2025-05-26,16000.0,17200.0,15000.0,15750.0,2734
2025-06-02,15750.0,17100.0,15000.0,16900.0,2126
2025-06-09,16795.0,17000.0,16205.0,16205.0,523
2025-06-16,15750.0,17000.0,15750.0,16975.0,374
2025-06-23,16975.0,18500.0,16970.0,18040.0,3880
2025-06-30,18375.0,19295.0,16800.0,16820.0,8364
2025-07-07,16900.0,19320.0,16800.0,19315.0,478
2025-07-14,19310.0,19320.0,17000.0,19320.0,572
2025-07-21,19320.0,19320.0,18300.0,18300.0,37378
2025-07-28,18300.0,19320.0,18000.0,18500.0,548
2025-08-04,19000.0,19000.0,17900.0,18500.0,885
2025-08-11,18000.0,18700.0,18000.0,18000.0,1291
2025-08-18,18000.0,18700.0,17640.0,17660.0,384
2025-08-25,18595.0,18690.0,17650.0,18500.0,9817
2025-09-01,18745.0,18750.0,18500.0,18700.0,223
2025-09-08,18700.0,18700.0,18600.0,18600.0,457
2025-09-15,18600.0,18685.0,18530.0,18670.0,355
2025-09-22,18670.0,18745.0,17275.0,18675.0,981
2025-09-29,18675.0,18675.0,18000.0,18100.0,567
2025-10-06,18450.0,18500.0,17500.0,18500.0,846
2025-10-13,18500.0,19300.0,17800.0,17800.0,522
2025-10-20,17810.0,19500.0,17800.0,19450.0,42574
2025-10-27,19500.0,19500.0,17800.0,18500.0,887
2025-11-03,19000.0,22975.0,18500.0,22975.0,21215
