Date,Open,High,Low,Close,Volume
2020-10-30,3200,3200,3200,3200,51
2020-11-03,3100,3100,3100,3100,250
2020-11-04,3195,3195,3195,3195,1
2020-11-10,3000,3000,3000,3000,1149
2020-11-12,3000,3000,3000,3000,7
2020-11-13,3000,3000,3000,3000,1193
2020-11-17,3005,3005,2850,2850,2500
2020-11-18,2900,2900,2900,2900,15
2020-11-19,3100,3100,3100,3100,6
2020-11-20,3100,3100,3100,3100,2
2020-11-24,3095,3095,3095,3095,3
2020-11-25,3095,3095,3095,3095,95
2020-11-27,3095,3095,3095,3095,847
2020-11-30,3050,3095,3050,3095,24
2020-12-01,3060,3095,3060,3060,133
2020-12-02,3095,3095,3095,3095,40
2020-12-03,3080,3080,3080,3080,10
2020-12-04,3080,3095,3065,3065,155
2020-12-07,3095,3095,3095,3095,85
2020-12-08,3065,3065,3000,3000,100
2020-12-09,3000,3000,3000,3000,100
2020-12-11,2850,3090,2775,3090,738
2020-12-18,3090,3090,3085,3085,13575
2020-12-23,3085,3090,3085,3090,231
2020-12-24,2900,3080,2900,3080,123
2020-12-28,3080,3080,3080,3080,500
2020-12-29,3000,3000,2900,2900,114
2020-12-30,3000,3000,3000,3000,120
2020-12-31,3080,3080,3080,3080,100
2021-01-06,3000,3000,3000,3000,61
2021-01-11,2930,2930,2930,2930,7
2021-01-12,2930,2930,2930,2930,109
2021-01-13,3000,3000,3000,3000,72
2021-01-14,3000,3095,3000,3095,2086
2021-01-15,3095,3200,3095,3200,521
2021-01-18,3200,3200,3200,3200,139
2021-01-19,3205,3205,3205,3205,300
2021-01-20,3205,3205,3205,3205,4
2021-01-21,3400,3400,3400,3400,154
2021-01-22,3400,3600,3400,3600,714
2021-01-26,3590,3590,3590,3590,2
2021-01-27,3595,3600,3595,3600,772
2021-01-28,3600,3745,3590,3745,713
2021-01-29,3500,4005,3500,3800,670
2021-02-01,3900,4000,3850,4000,1172
2021-02-02,3950,4070,3950,4000,341
2021-02-03,4000,4070,4000,4070,18
2021-02-04,4000,4050,3950,3950,69
2021-02-08,3700,3700,3700,3700,237
2021-02-09,3700,3700,3600,3600,300
2021-02-10,3400,3400,3400,3400,659
2021-02-11,3305,3635,3305,3315,376
2021-02-15,3325,3325,3320,3320,50
2021-02-16,3360,3360,3360,3360,70
2021-02-17,3365,3365,3355,3355,270
2021-02-19,3605,3605,3605,3605,2
2021-02-22,3795,3795,3610,3610,86
2021-02-23,3610,3610,3610,3610,1144
2021-02-24,3610,3610,3600,3610,346
2021-02-25,3790,3790,3610,3610,62
2021-02-26,3610,3790,3610,3790,240
2021-03-01,3790,3795,3790,3790,225
2021-03-02,3790,3990,3790,3800,918
2021-03-03,3990,4070,3900,3920,1701
2021-03-04,4050,4210,4050,4050,1187
2021-03-05,4085,4200,4000,4000,143
2021-03-08,4295,4300,4000,4000,1020
2021-03-09,4000,4000,3810,3810,639
2021-03-10,3860,3860,3790,3790,695
2021-03-11,3800,3800,3600,3625,796
2021-03-12,3850,3850,3640,3640,236
2021-03-15,3700,3700,3700,3700,11
2021-03-16,3800,3800,3800,3800,155
2021-03-17,3905,3905,3825,3825,65
2021-03-18,3840,4000,3840,4000,701
2021-03-19,4095,4285,4000,4285,2200
2021-03-22,4200,4200,3970,3980,368
2021-03-25,3980,4275,3890,4275,105
2021-03-31,4240,4275,4000,4000,505
2021-04-01,3800,3800,3800,3800,10
2021-04-06,3800,4065,3700,3700,1665
2021-04-07,3700,3950,3700,3705,78
2021-04-08,3720,3720,3720,3720,57
2021-04-09,3800,3800,3500,3500,713
2021-04-12,3760,3760,3760,3760,33
2021-04-13,3760,3960,3760,3800,624
2021-04-14,4060,4060,4060,4060,9
2021-04-15,4360,4360,4360,4360,147
2021-04-16,4685,4685,4685,4685,280
2021-04-19,5035,5035,5035,5035,2730
2021-04-20,5410,5410,5410,5410,427
2021-04-21,5815,5815,5815,5815,3041
2021-04-22,6250,6250,6250,6250,4856
2021-04-23,6715,6715,6250,6695,8332
2021-04-26,6950,6950,6250,6255,3396
2021-04-27,6255,6280,6000,6000,12015
2021-04-28,5790,6000,5785,6000,4303
2021-04-29,6000,6450,5880,6000,2850
2021-04-30,6005,6450,6005,6450,101
2021-05-03,6055,6450,6055,6200,907
2021-05-04,6450,6450,6080,6450,533
2021-05-05,6300,6435,6300,6435,1764
2021-05-06,6400,6400,6400,6400,553
