Date,Open,High,Low,Close,Volume
2020-11-30,3195,3195,2850,3095,5842
2020-12-31,3060,3095,2775,3080,16124
2021-01-31,3000,4005,2930,3800,6324
2021-02-28,3900,4070,3305,3790,5442
2021-03-31,3790,4300,3600,4000,11670
2021-04-30,3800,6950,3500,6450,45667
2021-05-31,6055,7200,6055,7195,10524
2021-06-30,7000,7200,6510,7000,13660
2021-07-31,6910,7195,6385,6800,27266
2021-08-31,6800,7000,6655,6800,18533
2021-09-30,6800,7385,6655,7000,49044
2021-10-31,7120,7200,7000,7000,47094
2021-11-30,6990,7085,6600,6900,34153
2021-12-31,6920,7000,6505,6900,16192
2022-01-31,6900,7420,6500,6900,7584
2022-02-28,7000,7500,6910,7400,8160
2022-03-31,7400,7400,6475,7100,47576
2022-04-30,7250,8000,7000,7550,13846
2022-05-31,6985,7410,5985,7395,35572
2022-06-30,7390,7395,7050,7350,13676
2022-07-31,7365,7495,7000,7050,11890
2022-08-31,7000,7050,5890,6310,15763
2022-09-30,6780,6780,5645,6000,18974
2022-10-31,6000,7400,5960,6600,17905
2022-11-30,6600,7000,6600,6750,6766
2022-12-31,6705,6995,6600,6800,21719
2023-01-31,6885,7000,6600,6950,5777
2023-02-28,6950,7665,6950,7475,19676
2023-03-31,7470,7695,7250,7580,16184
2023-04-30,7570,7810,7350,7810,14098
2023-05-31,8000,8000,7785,7805,24535
2023-06-30,7880,7880,7530,7800,39726
2023-07-31,7800,8800,7800,8800,55157
2023-08-31,8800,9850,8800,9100,24635
2023-09-30,9100,9390,8900,9150,17459
2023-10-31,9150,10450,8975,9890,26914
2023-11-30,9250,9890,9250,9770,23164
2023-12-31,9770,10700,9740,10530,33930
2024-01-31,10000,10530,9805,9990,9689
2024-02-29,9990,10385,9900,10295,10762
2024-03-31,10295,10400,10050,10400,44506
2024-04-30,10400,11895,10400,11770,9975
2024-05-31,11650,12100,11000,11530,22091
2024-06-30,11530,12505,11530,11900,7850
2024-07-31,11975,13500,11850,12950,19663
2024-08-31,12945,13800,12500,13800,9520
2024-09-30,13800,14900,12610,13540,26072
2024-10-31,13505,14000,11100,12230,35163
2024-11-30,11890,12230,9500,9515,32229
2024-12-31,9515,9775,8605,8605,15046
2025-01-31,8650,9220,6915,7400,21589
2025-02-28,7400,7750,6500,7195,45257
2025-03-31,7195,8800,7050,8600,36189
2025-04-30,8600,8600,8000,8205,31664
2025-05-31,7595,8700,7995,8450,16358
2025-06-30,8450,9900,8120,9100,20674
2025-07-31,9100,9195,8700,9000,9023
2025-08-31,9000,9990,8975,9880,12211
2025-09-30,9900,10100,8810,9350,11016
2025-10-31,9350,10750,9350,9880,22772
