Date,Open,High,Low,Close,Volume
2020-12-31,3000,3100,2775,3080,20809
2021-03-31,3000,4300,2930,4000,23436
2021-06-30,3800,7200,3500,7000,69851
2021-09-30,6910,7385,6385,7000,94843
2021-12-31,7120,7200,6505,6900,97439
2022-03-31,6900,7500,6475,7100,63320
2022-06-30,7250,8000,5985,7350,63094
2022-09-30,7365,7495,5645,6000,46627
2022-12-31,6000,7400,5960,6800,46390
2023-03-31,6885,7695,6600,7580,41637
2023-06-30,7570,8000,7350,7800,78359
2023-09-30,7800,9850,7800,9150,97251
2023-12-31,9150,10700,8975,10530,84008
2024-03-31,10000,10530,9805,10400,64957
2024-06-30,10400,12505,10400,11900,39916
2024-09-30,11975,14900,11850,13540,55255
2024-12-31,13505,14000,8605,8605,82438
2025-03-31,8650,9220,6500,8600,103035
2025-06-30,8600,9900,7995,9100,68696
2025-09-30,9100,10100,8700,9350,32250
2025-12-31,9350,10750,9225,9800,28774
