Date,Open,High,Low,Close,Volume
2020-11-16,3000,3000,3000,3000,1200
2020-11-23,3005,3100,2850,3100,2523
2020-11-30,3095,3095,3050,3095,969
2020-12-07,3060,3095,3060,3095,423
2020-12-14,3065,3090,2775,3090,938
2020-12-21,3090,3090,3085,3085,13575
2020-12-28,3085,3090,2900,3080,854
2021-01-04,3000,3080,2900,3080,334
2021-01-11,3000,3000,2930,2930,68
2021-01-18,2930,3200,2930,3200,2927
2021-01-25,3205,3600,3205,3600,1172
2021-02-01,3590,4005,3500,4000,3329
2021-02-08,3950,4070,3700,3700,665
2021-02-15,3700,3700,3305,3320,1385
2021-02-22,3360,3795,3355,3610,428
2021-03-01,3610,3795,3600,3790,2017
2021-03-08,3790,4300,3790,4000,4969
2021-03-15,4000,4000,3600,3700,2377
2021-03-22,3800,4285,3800,3980,3489
2021-03-29,3980,4275,3890,4275,105
2021-04-05,4240,4275,3800,3800,515
2021-04-12,3800,4065,3500,3760,2546
2021-04-19,3760,5035,3760,5035,3790
2021-04-26,5410,6950,5410,6255,20052
2021-05-03,6255,6450,5785,6200,20176
2021-05-10,6450,6450,6080,6400,2907
2021-05-17,6400,6740,6400,6650,2694
2021-05-24,6650,6900,6650,6890,2533
2021-05-31,6850,7200,6850,7195,1483
2021-06-07,7000,7200,6850,6850,3633
2021-06-14,6845,6850,6510,6850,4530
2021-06-21,6850,7000,6805,6950,992
2021-06-28,6950,7190,6855,7190,1449
2021-07-05,6950,7000,6895,6895,6033
2021-07-12,6900,7195,6890,7195,7243
2021-07-19,6385,7000,6385,6900,12225
2021-07-26,6850,6900,6400,6400,4005
2021-08-02,6700,6800,6450,6700,969
2021-08-09,6800,6800,6655,6700,3888
2021-08-16,6700,6990,6700,6880,1660
2021-08-23,6880,7000,6810,6810,8380
2021-08-30,6905,7000,6700,6715,4439
2021-09-06,6800,7385,6655,6900,6398
2021-09-13,7005,7185,6805,6805,13412
2021-09-20,6850,7100,6850,6910,4813
2021-09-27,7000,7150,6945,7000,22494
2021-10-04,7000,7180,7000,7050,2588
2021-10-11,7050,7170,7050,7100,7986
2021-10-18,7090,7170,7005,7150,3557
2021-10-25,7150,7150,7000,7100,12187
2021-11-01,7085,7200,7000,7000,22716
2021-11-08,6990,7000,6830,6950,7775
2021-11-15,6950,6950,6920,6950,1444
2021-11-22,6950,7000,6600,6940,7851
2021-11-29,7000,7085,6650,6950,16461
2021-12-06,6900,6950,6850,6850,1655
2021-12-13,6900,6900,6800,6900,1665
2021-12-20,6900,6900,6505,6700,4490
2021-12-27,6650,6945,6650,6945,7494
2022-01-03,6945,7000,6500,6500,1618
2022-01-10,6880,7000,6880,7000,691
2022-01-17,6995,7080,6600,6805,2004
2022-01-24,6820,7080,6820,7080,1124
2022-01-31,7000,7420,6900,6900,3657
2022-02-07,7000,7000,6910,7000,1037
2022-02-14,7000,7300,7000,7100,1438
2022-02-21,7095,7400,7050,7150,3425
2022-02-28,7495,7500,7155,7400,2260
2022-03-07,7400,7400,7300,7310,23926
2022-03-14,7315,7395,7300,7380,5484
2022-03-21,7380,7390,7320,7380,3020
2022-03-28,7375,7400,6475,6475,14793
2022-04-04,6960,7400,6960,7395,5147
2022-04-11,7395,7400,7000,7015,2717
2022-04-18,7390,7550,7025,7400,2359
2022-04-25,7400,7995,7400,7515,2095
2022-05-02,7840,8000,7515,7550,1881
2022-05-09,6985,7410,5985,7400,28687
2022-05-16,7395,7395,6900,7100,1102
2022-05-23,7000,7200,6385,7200,1071
2022-05-30,7180,7350,7000,7350,3911
2022-06-06,7000,7400,7000,7195,1863
2022-06-13,7195,7195,7050,7195,538
2022-06-20,7100,7350,7100,7345,2126
2022-06-27,7345,7350,7105,7260,9686
2022-07-04,7345,7450,7345,7450,606
2022-07-11,7445,7450,7150,7440,7700
2022-07-18,7440,7495,7200,7250,1421
2022-07-25,7300,7300,7100,7190,1446
2022-08-01,7100,7190,6555,6990,1068
2022-08-08,6990,7000,6800,6810,3016
2022-08-15,6800,7050,6350,6985,4168
2022-08-22,6750,7050,5890,5905,3370
2022-08-29,6000,6500,5900,5955,4547
2022-09-05,5955,6780,5955,6700,1142
2022-09-12,6500,6700,5645,6495,5307
2022-09-19,6490,6490,6150,6205,1426
2022-09-26,6200,6300,6000,6300,5876
2022-10-03,6395,6395,5960,5960,5911
2022-10-10,6405,7400,6405,6800,6479
2022-10-17,7000,7095,6805,6900,1966
2022-10-24,7000,7100,6860,6900,3295
2022-10-31,6910,7000,6600,6600,6052
2022-11-07,6600,6900,6600,6800,1387
2022-11-14,6900,6900,6700,6705,998
