Date,Open,High,Low,Close,Volume
2020-11-09,11500,11600,11200,11400,3791
2020-11-10,11500,11500,11400,11500,49840
2020-11-11,11500,11500,11400,11500,1658
2020-11-12,11300,11500,11300,11450,1111
2020-11-13,11440,11495,11440,11490,1309
2020-11-16,11490,11490,11400,11400,39399
2020-11-17,11490,11490,11380,11400,14454
2020-11-18,11400,11400,11305,11400,2708
2020-11-19,11400,11400,11100,11385,9044
2020-11-20,11300,11450,11090,11450,15087
2020-11-23,11385,11400,11160,11400,4820
2020-11-24,11300,11390,11265,11265,26438
2020-11-25,11300,11300,11250,11275,2311
2020-11-26,11265,11290,11050,11160,2492
2020-11-27,11100,11300,11100,11300,6476
2020-11-30,11250,11300,11160,11200,26422
2020-12-01,11100,11300,11100,11200,3844
2020-12-02,11230,11290,11200,11200,1100
2020-12-03,11200,11300,11100,11200,20007
2020-12-04,11200,11400,11000,11400,37322
2020-12-07,11395,11500,11200,11500,4757
2020-12-08,11500,11650,11395,11650,5920
2020-12-09,11500,11500,11250,11250,86428
2020-12-10,11495,11500,11450,11500,32672
2020-12-11,11400,11500,11395,11500,1467
2020-12-14,11500,11500,11445,11450,139468
2020-12-15,11450,12000,11395,12000,46812
2020-12-16,11995,12900,11995,12900,3205
2020-12-17,13000,13865,12495,13865,423086
2020-12-18,13200,13700,13000,13700,182233
2020-12-21,13300,13845,12900,13845,6702
2020-12-22,13790,13795,13000,13795,16102
2020-12-23,13500,13500,13000,13000,1099
2020-12-24,13190,13190,12900,13000,7417
2020-12-28,13000,13765,12500,13695,10922
2020-12-29,13450,13500,13000,13500,17153
2020-12-30,13100,13500,12850,13500,33409
2020-12-31,13495,13500,12500,13500,65366
2021-01-04,13100,13100,12495,13000,829
2021-01-05,12500,13250,12500,13250,4767
2021-01-06,12995,12995,12400,12500,145
2021-01-07,12495,12700,12400,12700,2340
2021-01-08,12695,12700,12495,12700,3597
2021-01-11,12495,12500,12495,12500,7888
2021-01-12,12500,12500,12015,12500,2095
2021-01-13,12400,12495,12000,12495,12109
2021-01-14,12495,12495,12000,12000,29122
2021-01-15,12000,12000,11800,11895,37267
2021-01-18,11890,11890,11750,11750,20889
2021-01-19,11750,11750,11300,11495,23651
2021-01-20,11495,11500,11495,11500,4781
2021-01-21,11485,11485,11400,11485,33452
2021-01-22,11485,11500,11485,11500,3417
2021-01-25,11500,11505,11495,11495,15372
2021-01-26,11495,11500,11485,11500,766
2021-01-27,11500,11500,11490,11500,13455
2021-01-28,11500,11500,11480,11490,1285
2021-01-29,11490,11490,11000,11000,93927
2021-02-01,11105,11485,11100,11200,51350
2021-02-02,11205,11300,11200,11250,26176
2021-02-03,11300,11500,11300,11500,55212
2021-02-04,11500,11500,11490,11490,857
2021-02-05,11500,11500,11100,11290,163189
2021-02-08,11295,11300,11110,11200,7221
2021-02-09,11200,11200,11150,11195,1563
2021-02-10,11195,11200,11190,11200,2177
2021-02-11,11200,11420,11190,11420,9125
2021-02-12,11200,11200,11195,11200,7028
2021-02-15,11200,11200,11150,11200,8452
2021-02-16,11200,11290,11160,11200,13578
2021-02-17,11300,11300,11200,11300,5787
2021-02-18,11300,11300,11225,11300,45794
2021-02-19,11270,11300,11260,11290,24718
2021-02-22,11500,11500,11290,11305,15850
2021-02-23,11305,11500,11305,11500,973
2021-02-24,11550,11800,11550,11650,3935
2021-02-25,11670,11890,11670,11890,5500
2021-02-26,11905,12775,11905,12775,8285
2021-03-01,12805,13445,12805,13000,5273
2021-03-02,12980,13000,12800,13000,45764
2021-03-03,12950,13000,12950,12995,16063
2021-03-04,12990,12990,12935,12935,4574
2021-03-05,12900,12900,12875,12875,2590
2021-03-08,12875,12875,12600,12600,2362
2021-03-09,12500,12640,12500,12590,2153
2021-03-10,12500,12550,12400,12400,627
2021-03-11,12400,12500,12390,12500,1139
2021-03-12,12350,12495,12200,12200,1285
2021-03-15,12200,12300,12200,12300,1831
2021-03-16,12300,12300,12200,12300,872
2021-03-17,12310,12500,12310,12350,741
2021-03-18,12350,12500,12350,12500,695
2021-03-19,12730,13000,12500,13000,1830
2021-03-22,12995,12995,12500,12985,1188
2021-03-23,12900,12900,12500,12500,119099
2021-03-24,12500,12550,12500,12500,1440
2021-03-25,12500,12900,12350,12355,51958
2021-03-26,12350,12500,12300,12500,1828
2021-03-29,12450,12600,12310,12500,29365
2021-03-30,12500,12900,12500,12505,69
2021-03-31,12520,12900,12520,12900,5792
2021-04-01,12750,12800,12700,12800,1535
2021-04-02,12795,12800,12700,12795,735
2021-04-06,12775,12900,12700,12900,5145
2021-04-07,12905,12940,12800,12900,5705
2021-04-08,12985,12985,12900,12985,5256
2021-04-09,12985,13000,12900,12995,7444
2021-04-12,12710,13000,12710,12900,15584
2021-04-13,12905,13010,12905,13000,8664
2021-04-14,13000,13230,13000,13215,36741
2021-04-15,13400,13500,13220,13500,36506
2021-04-16,13500,13700,13500,13690,69562
2021-04-19,13690,13800,13690,13710,14376
2021-04-20,13715,14000,13715,14000,91836
2021-04-21,13990,14000,13050,13985,14441
2021-04-22,13900,14000,13890,13890,5219
2021-04-23,13890,13890,13100,13795,1916
2021-04-26,13500,13600,13500,13560,1264
2021-04-27,13560,13650,13560,13600,919
2021-04-28,13650,13895,13550,13700,1634
2021-04-29,13700,13890,13690,13845,1268
2021-04-30,13695,13845,13695,13845,8340
2021-05-03,13840,13840,13700,13805,50420
2021-05-04,13805,14005,13750,14000,123426
2021-05-05,14000,14000,13995,14000,36892
2021-05-06,14000,14195,14000,14195,9491
2021-05-07,14195,14500,14195,14500,55666
2021-05-10,14500,14600,14500,14505,6402
2021-05-11,14500,15000,14500,14955,58533
2021-05-14,13500,13550,13500,13500,27339
2021-05-17,13395,13600,13395,13600,18478
2021-05-18,13450,13600,13450,13500,19999
2021-05-19,13500,13500,13400,13500,2478
2021-05-20,13500,13600,13500,13600,18449
2021-05-21,13600,14000,13600,14000,14540
2021-05-25,14030,14450,14030,14150,5717
2021-05-26,14105,14550,14105,14500,52076
2021-05-27,14500,14500,14400,14400,5839
2021-05-28,14350,14350,13780,14300,5386
2021-05-31,14175,14175,13800,13800,1587
2021-06-01,13800,13800,13500,13790,5040
2021-06-02,13520,13600,13520,13575,4395
2021-06-03,13570,13575,13500,13575,3758
2021-06-04,13555,13575,13500,13500,9848
2021-06-07,13495,13545,13200,13545,1405
2021-06-08,13545,13575,13300,13545,2581
2021-06-09,13500,13575,13500,13575,21034
2021-06-10,13580,13700,13580,13580,8506
2021-06-11,13600,13995,13600,13610,1144
2021-06-14,13700,13800,13610,13800,708
2021-06-15,13810,13855,13810,13855,816
2021-06-16,13865,13900,13865,13900,3619
2021-06-17,13905,13905,13865,13865,1928
2021-06-18,13865,14000,13865,13900,633
2021-06-21,13865,13900,13715,13715,4042
2021-06-22,13800,13900,13500,13850,13874
2021-06-23,13850,13850,13500,13575,5961
2021-06-24,13580,13580,13500,13570,2719
2021-06-25,13570,13840,13450,13840,3647
2021-06-28,13840,13840,13500,13840,3483
2021-06-29,13790,13790,13500,13500,9969
2021-06-30,13500,13500,13450,13500,9505
2021-07-01,13400,13495,13400,13400,1296
2021-07-02,13495,13500,13405,13500,33979
2021-07-05,13500,13550,13500,13500,690
2021-07-06,13500,13500,13395,13400,55045
2021-07-07,13405,13500,13100,13300,14796
2021-07-08,13105,13300,13100,13300,21529
2021-07-09,13300,13500,12500,13500,139617
2021-07-12,13500,13500,13300,13305,299
2021-07-13,13500,13500,13305,13305,662
2021-07-14,13305,13500,13300,13400,315
2021-07-15,13400,13495,13400,13400,260
2021-07-16,13495,13495,13000,13400,2632
2021-07-19,13500,14000,13470,14000,5930
2021-07-21,14000,14300,14000,14200,13397
2021-07-22,14205,14290,14200,14290,853
2021-07-23,14210,14285,14005,14275,24074
2021-07-26,14200,14205,14200,14200,776
2021-07-27,14270,14285,14005,14285,3233
2021-07-28,14280,14285,14020,14275,1965
2021-07-29,14275,14285,14040,14275,5096
