Date,Open,High,Low,Close,Volume
2020-12-31,11500,13865,11000,13500,1300220
2021-03-31,13100,13445,11000,12900,1066462
2021-06-30,12750,15000,12700,13500,965423
2021-09-30,13400,14300,12500,13500,817568
2021-12-31,13500,14190,13450,13975,817217
2022-03-31,13975,16590,13700,15800,649299
2022-06-30,15700,16485,14200,14490,673102
2022-09-30,14480,14995,14200,14500,573244
2022-12-31,14500,15600,14200,15200,642599
2023-03-31,15195,16395,14600,15800,851002
2023-06-30,15795,16495,14510,15400,556406
2023-09-30,15370,16985,15300,16400,468474
2023-12-31,16295,18000,16000,17980,527075
2024-03-31,17790,18000,16800,17900,589528
2024-06-30,17850,19700,17800,19380,624476
2024-09-30,19300,24150,19205,23200,666385
2024-12-31,23200,24300,22800,24000,1077680
2025-03-31,23850,27000,23600,25000,383477
2025-06-30,25190,27000,24000,25800,639831
2025-09-30,25795,26000,24600,25605,434852
2025-12-31,25795,26900,25600,25900,312126
