Date,Open,High,Low,Close,Volume
2020-11-16,11300,11500,11300,11400,41819
2020-11-23,11490,11490,11090,11400,46113
2020-11-30,11300,11390,11050,11200,64139
2020-12-07,11100,11500,11000,11500,67030
2020-12-14,11500,11650,11250,11450,265955
2020-12-21,11450,13865,11395,13845,662038
2020-12-28,13790,13795,12500,13695,35540
2021-01-04,13450,13500,12495,13000,116757
2021-01-11,12500,13250,12400,12500,18737
2021-01-18,12500,12500,11750,11750,101482
2021-01-25,11750,11750,11300,11495,80673
2021-02-01,11495,11500,11000,11200,160783
2021-02-08,11205,11500,11100,11200,252655
2021-02-15,11200,11420,11150,11200,28345
2021-02-22,11200,11500,11160,11305,105727
2021-03-01,11305,13445,11305,13000,23966
2021-03-08,12980,13000,12600,12600,71353
2021-03-15,12500,12640,12200,12300,7035
2021-03-22,12300,13000,12200,12985,5326
2021-03-29,12900,12900,12300,12500,203690
2021-04-05,12500,12900,12500,12795,8131
2021-04-12,12775,13000,12700,12900,39134
2021-04-19,12905,13800,12905,13710,165849
2021-04-26,13715,14000,13050,13560,114676
2021-05-03,13560,13895,13550,13805,62581
2021-05-10,13805,14600,13750,14505,231877
2021-05-17,14500,15000,13395,13600,104350
2021-05-24,13450,14000,13400,14000,55466
2021-05-31,14030,14550,13780,13800,70605
2021-06-07,13800,13800,13200,13545,24446
2021-06-14,13545,13995,13300,13800,33973
2021-06-21,13810,14000,13715,13715,11038
2021-06-28,13800,13900,13450,13840,29684
2021-07-05,13790,13790,13400,13500,55439
2021-07-12,13500,13500,12500,13305,231286
2021-07-19,13500,14000,13000,14000,9799
2021-07-26,14000,14300,14000,14200,39100
2021-08-02,14270,14290,14005,14250,14864
2021-08-09,14250,14290,14035,14250,13512
2021-08-16,14040,14250,13600,13995,12871
2021-08-23,13995,14240,13900,14000,24452
2021-08-30,14000,14000,13500,13700,40027
2021-09-06,13690,13800,13505,13700,16788
2021-09-13,13700,13790,13555,13650,63964
2021-09-20,13650,13805,13400,13600,186825
2021-09-27,13505,14000,13500,13500,105168
2021-10-04,13900,13900,13450,13500,157555
2021-10-11,13505,13995,13505,13795,17126
2021-10-18,13795,14145,13700,14000,57571
2021-10-25,14010,14100,13900,13900,27308
2021-11-01,13990,14100,13900,14100,34363
2021-11-08,14100,14190,13800,13805,19177
2021-11-15,13900,14090,13800,14000,8978
2021-11-22,14000,14000,13500,13875,122586
2021-11-29,13895,13995,13650,13705,71280
2021-12-06,13750,14000,13750,13900,83429
2021-12-13,13900,13995,13525,13550,35599
2021-12-20,13560,13800,13465,13590,120302
2021-12-27,13595,14000,13515,13900,57799
2022-01-03,13800,13990,13700,13950,27593
2022-01-10,13945,14000,13700,13990,70096
2022-01-17,13990,13995,13850,13900,10156
2022-01-24,13905,13990,13900,13900,78650
2022-01-31,13975,13985,13900,13975,34686
2022-02-07,13910,14100,13910,14100,89259
2022-02-14,14110,14585,14100,14585,66692
2022-02-21,14585,14675,14500,14650,9675
2022-02-28,14650,16590,14600,16495,90646
2022-03-07,16500,16505,15900,15900,76991
2022-03-14,15900,16000,15200,15510,7287
2022-03-21,15510,15600,15200,15500,37639
2022-03-28,15500,15900,15500,15505,31901
2022-04-04,15515,15900,15500,15775,50787
2022-04-11,15775,15995,15660,15800,39909
2022-04-18,15800,15995,15780,15900,29718
2022-04-25,15900,16000,15895,15990,113151
