Date,Open,High,Low,Close,Volume
2020-10-26,1920,1920,1920,1920,136
2020-10-27,1920,1950,1920,1920,1614
2020-10-28,1920,2000,1915,2000,6617
2020-10-30,1900,2150,1900,2150,1083
2020-11-05,2000,2090,2000,2090,805
2020-11-09,2100,2200,2100,2200,150
2020-11-10,2300,2345,2300,2345,1100
2020-11-11,2345,2440,2345,2440,63
2020-11-12,2345,2620,2345,2495,1122
2020-11-17,2310,2310,2310,2310,285
2020-11-18,2305,2305,2305,2305,10
2020-11-19,2300,2300,2180,2180,427
2020-11-23,2175,2175,2100,2175,55
2020-11-24,2050,2150,2050,2150,585
2020-11-25,2050,2180,2050,2180,8598
2020-11-26,2150,2180,2150,2180,2381
2020-11-27,2055,2180,2050,2180,1755
2020-12-02,2180,2300,2180,2300,6323
2020-12-03,2300,2445,2300,2445,4317
2020-12-04,2300,2445,2300,2445,26117
2020-12-08,2265,2395,2265,2395,164
2020-12-09,2265,2380,2265,2380,94
2020-12-10,2300,2380,2300,2380,286
2020-12-11,2300,2350,2300,2350,1470
2020-12-14,2200,2445,2200,2445,2015
2020-12-15,2265,2350,2265,2350,70
2020-12-16,2230,2350,2230,2350,560
2020-12-17,2350,2350,2345,2345,55
2020-12-18,2345,2350,2345,2350,100
2020-12-21,2350,2350,2350,2350,42
2020-12-22,2300,2350,2300,2350,7041
2020-12-23,2440,2440,2440,2440,50
2020-12-24,2375,2375,2375,2375,15
2020-12-28,2300,2300,2300,2300,99
2020-12-29,2210,2345,2200,2345,2364
2020-12-30,2170,2300,2170,2300,145
2020-12-31,2345,2350,2340,2350,5015
2021-01-05,2300,2350,2300,2350,200
2021-01-06,2300,2300,2300,2300,26
2021-01-07,2290,2350,2290,2350,86
2021-01-08,2450,2450,2200,2200,1296
2021-01-11,2365,2365,2180,2180,1160
2021-01-12,2210,2210,2180,2180,680
2021-01-13,2180,2180,2140,2140,95
2021-01-14,2180,2180,2125,2140,1554
2021-01-15,2300,2300,2125,2245,6704
2021-01-18,2200,2410,2200,2410,105
2021-01-19,2250,2395,2250,2350,1203
2021-01-20,2300,2300,2265,2300,850
2021-01-21,2300,2300,2295,2300,1589
2021-01-22,2310,2470,2300,2470,1981
2021-01-25,2405,2405,2355,2405,292
2021-01-26,2410,2410,2410,2410,521
2021-01-27,2405,2465,2350,2465,10735
2021-01-28,2470,2470,2365,2365,80
2021-01-29,2375,2400,2370,2400,734
2021-02-01,2370,2400,2365,2400,1504
2021-02-02,2400,2400,2400,2400,17
2021-02-03,2380,2445,2365,2405,1227
2021-02-04,2425,2425,2360,2360,148
2021-02-05,2395,2395,2365,2365,711
2021-02-08,2360,2365,2360,2360,116
2021-02-09,2360,2400,2360,2400,1082
2021-02-10,2375,2400,2360,2360,134
2021-02-11,2365,2370,2360,2370,950
2021-02-12,2375,2375,2365,2365,794
2021-02-15,2425,2425,2365,2365,2033
2021-02-16,2370,2370,2365,2365,564
2021-02-17,2365,2400,2360,2365,1338
2021-02-18,2360,2365,2360,2365,532
2021-02-22,2365,2365,2365,2365,114
2021-02-23,2370,2370,2365,2365,5180
2021-02-24,2365,2540,2365,2540,9439
2021-02-25,2540,2555,2495,2555,160
2021-02-26,2600,2600,2545,2545,1446
2021-03-01,2500,2550,2500,2500,1056
2021-03-02,2510,2550,2505,2550,2420
2021-03-03,2595,2600,2530,2550,9458
2021-03-04,2600,2675,2600,2610,588
2021-03-05,2650,2650,2650,2650,63
2021-03-08,2650,2675,2650,2655,867
2021-03-09,2700,2750,2700,2750,1849
2021-03-10,2765,2900,2765,2850,2567
2021-03-11,2990,2990,2895,2900,2203
2021-03-12,2950,2950,2900,2900,876
2021-03-15,2990,2990,2900,2900,1445
2021-03-16,2810,2830,2800,2800,466
2021-03-17,2800,2830,2800,2830,401
2021-03-18,2800,2800,2795,2795,598
2021-03-19,2800,2900,2800,2900,181
2021-03-22,2810,2900,2700,2900,4496
2021-03-23,2890,2900,2890,2900,1209
2021-03-24,2890,2900,2845,2845,524
2021-03-25,2835,2840,2835,2840,10100
2021-03-26,2820,2850,2820,2850,136
2021-03-29,2800,2900,2800,2900,472
2021-03-30,2800,3000,2800,3000,1598
2021-03-31,2900,3010,2820,3000,11971
2021-04-01,2950,2950,2950,2950,51
2021-04-02,2795,2950,2730,2950,1501
2021-04-06,2900,2900,2800,2900,424
2021-04-07,2895,2895,2700,2885,7060
2021-04-08,2850,2850,2700,2800,318
2021-04-09,2760,2800,2760,2800,23
2021-04-12,2705,2800,2700,2700,1132
2021-04-13,2710,2845,2705,2845,489
2021-04-14,2850,3000,2705,3000,7903
2021-04-15,2995,2995,2815,2900,1712
2021-04-16,2890,2900,2890,2900,1331
2021-04-19,2880,2890,2880,2890,228
2021-04-20,2900,2900,2800,2800,3304
2021-04-21,2800,2900,2795,2900,1151
2021-04-22,2800,2890,2800,2890,507
2021-04-23,2895,2895,2800,2875,459
2021-04-26,2795,2900,2750,2900,1310
2021-04-27,2845,2900,2845,2900,120
2021-04-28,2800,2900,2800,2900,425
2021-04-29,2900,2900,2750,2750,2745
2021-04-30,2750,2950,2545,2950,3893
2021-05-03,2950,2950,2940,2945,178
2021-05-04,2900,2900,2900,2900,2206
2021-05-05,2900,2900,2700,2885,903
2021-05-06,2885,2885,2800,2800,401
2021-05-07,2885,2900,2885,2900,542
2021-05-10,2700,2700,2700,2700,201
2021-05-11,2720,2900,2720,2900,141
2021-05-14,2900,2900,2895,2900,1209
2021-05-17,2900,2900,2895,2900,641
2021-05-18,2810,2900,2810,2900,358
2021-05-19,2850,2900,2800,2815,1649
2021-05-20,2795,2895,2750,2895,1055
2021-05-21,2895,2945,2895,2945,899
2021-05-25,2940,2945,2940,2940,80
2021-05-26,2935,2935,2775,2920,485
2021-05-27,2900,3000,2900,3000,4430
2021-05-28,2945,3000,2945,3000,50
2021-05-31,3000,3000,3000,3000,200
2021-06-01,2990,2990,2990,2990,351
2021-06-02,2990,3000,2900,2950,1722
2021-06-03,2990,2995,2990,2995,530
2021-06-04,2990,2995,2960,2990,1467
2021-06-07,2995,3110,2990,3000,906
2021-06-08,3000,3000,2990,2990,858
2021-06-09,3000,3100,2995,3100,7278
2021-06-10,3100,3200,3095,3200,26184
2021-06-11,3440,3440,3300,3440,4394
2021-06-14,3385,3390,3345,3385,1007
2021-06-15,3345,3350,3300,3300,557
2021-06-16,3295,3300,3175,3290,1245
2021-06-17,3280,3290,3140,3290,1837
2021-06-18,3290,3435,3290,3430,785
2021-06-21,3350,3350,3310,3310,2491
2021-06-22,3310,3425,3310,3425,1591
2021-06-23,3420,3420,3360,3395,1878
2021-06-24,3395,3430,3355,3430,664
2021-06-25,3385,3400,3385,3400,1666
2021-06-28,3380,3400,3380,3400,895
2021-06-29,3360,3450,3360,3450,6614
2021-06-30,3450,3550,3450,3550,571
2021-07-01,3500,3500,3360,3500,1530
2021-07-02,3450,3450,3450,3450,50
2021-07-05,3400,3540,3360,3540,1206
2021-07-06,3500,3540,3500,3540,616
2021-07-07,3410,3550,3410,3550,548
2021-07-08,3525,3550,3525,3550,479
2021-07-09,3550,3550,3545,3545,181
2021-07-12,3810,3810,3500,3500,1043
2021-07-13,3490,3490,3490,3490,243
2021-07-14,3500,3600,3495,3600,1105
2021-07-15,3600,3870,3600,3870,259
2021-07-16,3870,3870,3595,3600,2932
2021-07-19,3865,3865,3605,3695,125
2021-07-21,3700,3895,3630,3630,552
2021-07-22,3700,3870,3700,3800,385
2021-07-23,3800,3800,3710,3710,308
2021-07-26,3800,3800,3435,3710,35698
2021-07-27,3440,3600,3440,3600,449
2021-07-28,3700,3700,3500,3600,3613
2021-07-29,3600,3600,3445,3600,12747
2021-07-30,3355,3700,3330,3600,46867
2021-08-02,3600,3800,3600,3800,277
2021-08-03,3800,3850,3700,3700,14181
2021-08-04,3700,3800,3700,3750,1165
2021-08-05,3750,3800,3750,3750,139
2021-08-06,3700,3750,3700,3700,185
2021-08-09,3700,3785,3655,3700,854
2021-08-10,3705,3780,3700,3700,153
2021-08-11,3705,3750,3705,3720,145
2021-08-12,3800,3800,3800,3800,3258
2021-08-13,3800,3800,3650,3720,1050
2021-08-16,3800,3800,3800,3800,500
2021-08-17,3800,3800,3720,3800,291
2021-08-18,3720,3800,3720,3750,1203
2021-08-19,3795,3795,3795,3795,282
2021-08-20,3800,3800,3750,3795,338
2021-08-23,3700,3795,3625,3705,4753
2021-08-24,3850,3980,3850,3980,17246
2021-08-25,4275,4275,3850,3950,5678
2021-08-26,4000,4200,3995,4200,4558
2021-08-27,4200,4240,4200,4240,292
2021-08-30,4200,4350,3985,4000,7054
2021-08-31,4090,4100,3985,4100,4527
2021-09-01,4095,4300,4095,4245,354
2021-09-02,4240,4240,4100,4100,273
2021-09-03,4100,4250,3985,4250,8752
2021-09-06,4245,4245,3990,4200,1900
2021-09-07,4000,4180,4000,4140,1462
2021-09-08,4100,4130,4010,4130,665
2021-09-09,4100,4140,4020,4140,610
2021-09-10,4140,4200,4100,4180,1245
2021-09-13,4200,4200,4015,4180,514
2021-09-14,4180,4250,4060,4250,3924
2021-09-15,4015,4250,4015,4250,4426
2021-09-16,4050,4250,4050,4235,795
2021-09-17,4020,4220,4020,4220,160
2021-09-20,4100,4180,4000,4180,781
2021-09-21,4140,4160,4000,4160,11714
2021-09-22,4180,4180,4180,4180,220
2021-09-23,4180,4250,4180,4250,4937
2021-09-24,4255,4300,4200,4250,1977
2021-09-27,4260,4315,4260,4295,534
2021-09-28,4315,4315,4200,4200,1127
2021-09-29,4190,4315,4190,4315,835
2021-09-30,4295,4300,4250,4300,7824
2021-10-01,4305,4500,4300,4500,6640
2021-10-04,4495,4500,4310,4350,1330
2021-10-05,4400,4495,4370,4400,16070
2021-10-06,4720,4720,4500,4550,1373
2021-10-07,4505,4550,4500,4500,3309
2021-10-08,4505,4510,4500,4505,890
2021-10-11,4510,4510,4505,4505,346
2021-10-12,4510,4550,4500,4550,1356
2021-10-13,4550,4550,4500,4500,2742
2021-10-14,4525,4835,4510,4835,33333
2021-10-15,4830,4995,4560,4995,836
2021-10-19,4800,4895,4800,4800,3062
2021-10-20,4800,4980,4800,4980,873
2021-10-21,5005,5340,4985,5335,1258
2021-10-22,5000,5295,5000,5295,1480
2021-10-25,5150,5295,5150,5295,458
2021-10-26,5300,5685,5300,5600,2253
2021-10-27,5500,5595,5500,5550,1020
2021-10-28,5500,5600,5355,5595,3919
2021-10-29,5540,5540,5500,5500,330
2021-11-03,5325,5490,5300,5490,1637
2021-11-04,5490,5495,5370,5370,2086
2021-11-05,5400,5400,4970,5000,6084
2021-11-08,4995,5000,4800,5000,1006
2021-11-09,5005,5005,4810,5000,11560
2021-11-10,4850,4900,4800,4900,1260
2021-11-11,4900,4900,4805,4805,700
2021-11-12,4855,4900,4800,4900,2646
2021-11-16,4995,5000,4850,5000,1039
2021-11-17,5000,5000,4860,5000,3632
2021-11-18,4860,5100,4860,5100,14658
2021-11-19,5000,5100,5000,5095,1442
2021-11-22,5095,5095,4865,5000,144
2021-11-23,5090,5100,5000,5100,493
2021-11-24,5005,5150,5000,5000,3897
2021-11-25,5000,5100,5000,5100,986
2021-11-26,5000,5140,4950,5140,2475
2021-11-29,4885,5350,4885,5350,1561
2021-11-30,5250,5350,5250,5250,6398
2021-12-01,5150,5345,5145,5300,1707
2021-12-02,5250,5250,5160,5160,289
2021-12-03,5150,5150,5000,5000,943
2021-12-06,5000,5250,4900,5100,2377
2021-12-07,4750,5100,4750,5100,1878
2021-12-08,5000,5100,5000,5000,1525
2021-12-09,4990,5000,4850,5000,1657
2021-12-10,5000,5000,4900,5000,327
2021-12-13,5000,5000,4650,4650,181
2021-12-14,4900,4995,4900,4995,312
2021-12-15,4995,5000,4675,4995,2931
2021-12-16,4995,4995,4670,4995,404
2021-12-17,4700,4990,4670,4990,675
2021-12-20,4990,4990,4985,4990,285
2021-12-21,4900,4990,4650,4990,305
2021-12-22,4985,5100,4900,5100,1756
2021-12-23,5095,5100,4900,5100,50601
2021-12-24,5000,5000,5000,5000,20
2021-12-27,4900,5000,4900,5000,59218
2021-12-28,4980,5300,4905,5300,1702
2021-12-29,5200,5300,5180,5285,1210
2021-12-30,5200,5200,5000,5200,1073
2021-12-31,5090,5090,5000,5000,350
2022-01-03,5090,5090,4915,5085,534
2022-01-04,5080,5080,4950,4950,1098
2022-01-05,4950,5000,4950,5000,120
2022-01-06,4955,4995,4955,4995,11484
2022-01-07,4990,5070,4990,4990,1169
2022-01-10,4990,5070,4990,4990,7300
2022-01-11,4985,4985,4985,4985,185
2022-01-12,4900,5000,4900,5000,1685
2022-01-13,4950,5025,4950,5025,305
2022-01-14,4950,5025,4950,5025,642
2022-01-17,5025,5025,4950,5000,1357
2022-01-18,5025,5025,5000,5000,1440
2022-01-19,4960,5000,4960,5000,13
2022-01-20,5000,5000,5000,5000,55
2022-01-21,5000,5195,4900,5195,5961
2022-01-24,5000,5195,5000,5195,124
2022-01-25,5000,5000,4930,4930,705
2022-01-26,5000,5000,4800,5000,713
2022-01-27,4955,4995,4805,4995,393
2022-01-28,4950,4950,4820,4950,409
2022-01-31,4800,4950,4800,4950,3231
2022-02-01,4950,4955,4950,4950,2160
2022-02-02,4920,4950,4910,4950,968
2022-02-03,4950,5000,4920,4950,794
2022-02-04,4925,4950,4925,4950,12036
2022-02-07,4950,5000,4925,5000,439
2022-02-08,5000,5000,4935,4940,588
2022-02-09,4950,5190,4950,4950,39013
2022-02-10,5000,5050,5000,5020,1533
2022-02-11,5000,5180,5000,5180,721
2022-02-14,5180,5195,5105,5120,1120
2022-02-15,5100,5120,5050,5120,456
2022-02-16,5120,5180,5120,5180,613
2022-02-17,5200,5320,5200,5300,4679
2022-02-18,5300,5320,5205,5300,342
2022-02-21,5345,5500,5345,5495,2337
2022-02-22,5495,5500,5350,5500,403
2022-02-23,5400,5495,5400,5490,517
2022-02-24,5400,5500,5400,5500,1586
2022-02-25,5490,5490,5395,5485,373
2022-02-28,5485,5485,5400,5480,624
2022-03-01,5400,5450,5350,5445,1093
2022-03-02,5390,5440,5390,5390,1321
2022-03-03,5390,5485,5390,5485,2119
2022-03-04,5485,5485,5485,5485,270
2022-03-07,5495,5495,5450,5490,1067
2022-03-08,5485,5495,5485,5495,967
2022-03-09,5490,5495,5490,5490,320
2022-03-10,5495,5495,5400,5490,7268
2022-03-11,5490,5490,5490,5490,1461
2022-03-14,5495,5500,5490,5490,7570
2022-03-15,5495,5650,5490,5600,2982
2022-03-16,5600,5600,5505,5585,2153
2022-03-17,5505,5585,5500,5500,2723
2022-03-18,5550,5550,5520,5520,262
2022-03-21,5520,5595,5520,5595,149
2022-03-22,5595,5600,5520,5600,2707
2022-03-23,5580,5850,5580,5850,19915
2022-03-24,5900,5905,5850,5850,5475
2022-03-25,5850,6000,5700,6000,510
2022-03-28,5900,6000,5900,5995,1129
2022-03-29,5995,5995,5855,5990,581
2022-03-30,5990,6000,5850,5990,7046
2022-03-31,6000,6100,6000,6100,912
2022-04-01,6005,6100,5995,5995,10105
2022-04-04,5855,5900,5855,5855,3133
2022-04-05,5855,5900,5850,5900,1710
2022-04-06,5900,5995,5800,5900,850
2022-04-07,5900,6000,5865,6000,904
2022-04-08,6050,6100,6000,6000,2084
2022-04-11,5990,5990,5950,5950,753
2022-04-12,5950,5990,5905,5990,2009
2022-04-13,5910,5990,5905,5910,348
2022-04-14,5910,5920,5910,5915,870
2022-04-15,5990,5990,5990,5990,75
2022-04-19,5990,5990,5950,5990,2836
2022-04-20,5990,5990,5920,5980,3565
2022-04-21,5980,5990,5980,5990,8938
2022-04-22,5990,5990,5980,5990,6864
2022-04-25,5985,5985,5950,5985,3355
2022-04-26,5950,5990,5950,5990,742
2022-04-27,5990,5990,5985,5990,28360
2022-04-29,5990,6000,5985,5985,12481
2022-05-03,6100,6375,6000,6125,18027
2022-05-04,6000,6125,5990,6015,3801
2022-05-05,6015,6200,6010,6100,8679
2022-05-06,6200,6200,6100,6150,8233
2022-05-09,6145,6145,6140,6145,1523
2022-05-10,6145,6150,6125,6150,6292
2022-05-11,6150,6495,6150,6490,8120
2022-05-12,6500,6845,6500,6845,6365
2022-05-13,6850,6980,6845,6950,1585
2022-05-16,7095,7100,6895,6895,2621
2022-05-17,6850,6850,6600,6730,4778
2022-05-18,6700,6720,6600,6600,6928
2022-05-19,6605,6610,6600,6605,1785
2022-05-20,6650,6650,6605,6605,2792
2022-05-23,6600,6610,6275,6600,3007
2022-05-24,6500,6590,6495,6590,794
2022-05-25,6570,6570,6400,6560,861
2022-05-27,6500,6590,6500,6590,1932
2022-05-30,6590,6590,6550,6590,845
2022-05-31,6565,6590,6550,6590,724
2022-06-01,6590,6600,6590,6590,1698
2022-06-02,6600,6650,6600,6600,1245
2022-06-03,6600,6600,6590,6590,310
2022-06-07,6590,6590,6500,6500,254
2022-06-08,6450,6500,6450,6500,698
2022-06-09,6500,6650,6500,6500,10698
2022-06-10,6600,6600,6500,6500,198
2022-06-13,6500,6600,6500,6600,69
2022-06-14,6500,6500,6500,6500,453
2022-06-15,6500,6550,6500,6500,1807
2022-06-16,6505,6600,6500,6505,2257
2022-06-17,6600,6600,6590,6600,3220
2022-06-20,6590,6590,6550,6550,67
2022-06-21,6510,6590,6510,6590,227
2022-06-22,6590,6600,6515,6600,582
2022-06-23,6595,6595,6500,6500,445
2022-06-24,6500,6595,6500,6595,1029
2022-06-27,6595,6595,6300,6500,400
2022-06-28,6500,6600,6400,6600,608
2022-06-29,6500,6600,6400,6500,518
2022-06-30,6500,6505,6500,6505,1256
2022-07-01,6500,6500,6500,6500,38
2022-07-04,6500,6600,6500,6500,536
2022-07-05,6500,6550,6300,6450,1127
2022-07-06,6500,6500,6400,6490,169
2022-07-07,6490,6490,6450,6450,333
2022-07-08,6450,6450,6445,6450,546
2022-07-11,6440,6455,6440,6450,312
2022-07-12,6490,6490,6490,6490,16
2022-07-13,6500,6500,6455,6500,1810
2022-07-14,6500,6500,6460,6460,1367
2022-07-15,6460,6460,6450,6450,905
2022-07-18,6450,6500,6450,6500,737
2022-07-19,6300,6300,6300,6300,80
2022-07-20,6300,6300,6150,6300,613
2022-07-21,6150,6275,6100,6270,177
2022-07-22,6100,6250,5900,6100,1053
2022-07-25,6100,6100,5710,6000,2440
2022-07-26,6000,6000,6000,6000,2125
2022-07-27,6000,6100,5905,6100,2587
2022-07-28,5900,6050,5900,5910,271
2022-07-29,5910,5915,5905,5915,419
2022-08-01,5915,6000,5905,6000,273
2022-08-02,5995,6000,5915,6000,317
2022-08-03,6000,6000,6000,6000,1025
2022-08-04,6000,6000,5955,5955,269
2022-08-05,5950,6000,5950,5955,4152
2022-08-09,5915,5955,5905,5910,624
2022-08-10,5975,6000,5955,6000,181
2022-08-11,5995,5995,5955,5955,818
2022-08-12,5955,6000,5955,6000,924
2022-08-16,5955,6000,5955,6000,1105
2022-08-17,5955,6000,5955,5955,977
2022-08-18,5995,6000,5955,5955,512
2022-08-19,5955,5990,5955,5990,444
2022-08-22,5950,5995,5920,5920,829
2022-08-23,5910,5995,5905,5995,441
2022-08-24,5995,6000,5930,5930,252
2022-08-25,5930,6000,5930,6000,94
2022-08-26,5915,5980,5915,5980,153
2022-08-29,5915,5980,5915,5950,189
2022-08-30,5950,5980,5950,5950,826
2022-08-31,5950,5950,5915,5915,1368
2022-09-01,5950,5950,5900,5900,442
2022-09-02,5900,5900,5850,5865,1160
2022-09-05,5890,5890,5600,5600,1024
2022-09-06,5840,5840,5490,5490,1582
2022-09-07,5490,5500,5490,5490,390
2022-09-08,5500,5800,5490,5700,1683
2022-09-09,5700,5700,5650,5700,147
2022-09-12,5695,5800,5500,5800,209
2022-09-13,5695,5900,5695,5900,953
2022-09-14,5895,5945,5700,5945,982
2022-09-15,5900,5945,5900,5945,301
2022-09-16,5900,6000,5900,6000,7616
2022-09-19,6000,6000,5755,5990,1136
2022-09-20,5950,5990,5950,5990,130
2022-09-21,5990,5995,5975,5990,18464
2022-09-22,5980,6100,5975,5995,18186
2022-09-23,5990,6100,5990,6100,16264
2022-09-26,6050,6100,5980,6000,2659
2022-09-27,5980,6100,5810,6100,754
2022-09-28,6100,6450,6000,6450,7421
