Date,Open,High,Low,Close,Volume
2020-12-31,2345,2620,2050,2350,71560
2021-03-31,2300,3010,2125,3000,112924
2021-06-30,2950,3550,2545,3550,117205
2021-09-30,3500,4350,3330,4300,234094
2021-12-31,4305,5685,4300,5000,278308
2022-03-31,5090,6100,4800,6100,180225
2022-06-30,6005,7100,5800,6505,207713
2022-09-30,6500,6600,5490,6350,124156
2022-12-31,6350,6350,5280,5670,81673
2023-03-31,5665,5800,5255,5400,79985
2023-06-30,5325,5590,4600,4800,122465
2023-09-30,4795,4800,3435,3445,196335
2023-12-31,3500,3785,2405,3270,170892
2024-03-31,3200,4000,2950,3895,109657
2024-06-30,3875,3895,2915,3725,112095
2024-09-30,3670,4000,3550,3935,94051
2024-12-31,3800,4885,3800,4610,267898
2025-03-31,4615,5500,4350,5500,234264
2025-06-30,5200,8580,4810,8100,313906
2025-09-30,8000,8985,7000,8505,515066
2025-12-31,8500,9000,7160,8000,177411
