Date,Open,High,Low,Close,Volume
2020-11-02,1900,2150,1900,2150,1083
2020-11-09,2000,2200,2000,2200,955
2020-11-16,2300,2620,2300,2495,2285
2020-11-23,2310,2310,2100,2175,777
2020-11-30,2050,2180,2050,2180,13319
2020-12-07,2180,2445,2180,2445,36757
2020-12-14,2265,2445,2200,2445,4029
2020-12-21,2265,2350,2230,2350,827
2020-12-28,2300,2440,2300,2300,7205
2021-01-04,2210,2350,2170,2350,7524
2021-01-11,2300,2450,2180,2180,2768
2021-01-18,2210,2410,2125,2410,9138
2021-01-25,2250,2470,2250,2405,5915
2021-02-01,2410,2470,2350,2400,13574
2021-02-08,2400,2445,2360,2360,2219
2021-02-15,2360,2425,2360,2365,4993
2021-02-22,2370,2400,2360,2365,2548
2021-03-01,2370,2600,2365,2500,17281
2021-03-08,2510,2675,2505,2655,13396
2021-03-15,2700,2990,2700,2900,8940
2021-03-22,2810,2900,2700,2900,6142
2021-03-29,2890,2900,2800,2900,12441
2021-04-05,2800,3010,2730,2950,15121
2021-04-12,2900,2900,2700,2700,8957
2021-04-19,2710,3000,2705,2890,11663
2021-04-26,2900,2900,2750,2900,6731
2021-05-03,2845,2950,2545,2945,7361
2021-05-10,2900,2900,2700,2700,4253
2021-05-17,2720,2900,2720,2900,1991
2021-05-24,2810,2945,2750,2945,3961
2021-05-31,2940,3000,2775,3000,5245
2021-06-07,2990,3110,2900,3000,4976
2021-06-14,3000,3440,2990,3385,39721
2021-06-21,3345,3435,3140,3310,6915
2021-06-28,3310,3430,3310,3400,6694
2021-07-05,3360,3550,3360,3540,9971
2021-07-12,3500,3810,3410,3500,2867
2021-07-19,3490,3870,3490,3695,4664
2021-07-26,3700,3895,3435,3710,36943
2021-08-02,3440,3800,3330,3800,63953
2021-08-09,3800,3850,3655,3700,16524
2021-08-16,3705,3800,3650,3800,5106
2021-08-23,3800,3800,3625,3705,6867
2021-08-30,3850,4350,3850,4000,34828
2021-09-06,4090,4300,3985,4200,15806
2021-09-13,4000,4200,4000,4180,4496
2021-09-20,4180,4250,4000,4180,10086
2021-09-27,4140,4315,4000,4295,19382
2021-10-04,4315,4500,4190,4350,17756
2021-10-11,4400,4720,4370,4505,21988
2021-10-18,4510,4995,4500,4995,38267
2021-10-25,4800,5340,4800,5295,7131
2021-11-01,5300,5685,5300,5500,7522
2021-11-08,5325,5495,4800,5000,10813
2021-11-15,5005,5005,4800,4900,16166
2021-11-22,4995,5100,4850,5000,20915
2021-11-29,5090,5350,4885,5350,9412
2021-12-06,5250,5350,4900,5100,11714
2021-12-13,4750,5100,4650,4650,5568
2021-12-20,4900,5000,4670,4990,4607
2021-12-27,4900,5100,4650,5000,111900
2022-01-03,4980,5300,4905,5085,4869
2022-01-10,5080,5080,4950,4990,21171
2022-01-17,4985,5025,4900,5000,4174
2022-01-24,5025,5195,4900,5195,7593
2022-01-31,5000,5000,4800,4950,5451
2022-02-07,4950,5000,4910,5000,16397
2022-02-14,5000,5195,4935,5120,42975
2022-02-21,5100,5500,5050,5495,8427
2022-02-28,5495,5500,5350,5480,3503
2022-03-07,5400,5495,5350,5490,5870
2022-03-14,5485,5500,5400,5490,17586
2022-03-21,5495,5650,5490,5595,8269
2022-03-28,5595,6000,5520,5995,29736
2022-04-04,5995,6100,5850,5855,21777
2022-04-11,5855,6100,5800,5950,6301
2022-04-18,5950,5990,5905,5990,3302
2022-04-25,5990,5990,5920,5985,25558
2022-05-02,5950,6000,5950,5985,41583
2022-05-09,6100,6375,5990,6145,40263
2022-05-16,6145,7100,6125,6895,24983
2022-05-23,6850,6850,6275,6600,19290
2022-05-30,6500,6590,6400,6590,4432
2022-06-06,6565,6650,6550,6590,3977
2022-06-13,6590,6650,6450,6600,11917
2022-06-20,6500,6600,6500,6550,7804
2022-06-27,6510,6600,6300,6500,2683
2022-07-04,6500,6600,6400,6500,2956
2022-07-11,6500,6550,6300,6450,2487
2022-07-18,6490,6500,6450,6500,4835
2022-07-25,6300,6300,5710,6000,4363
2022-08-01,6000,6100,5900,6000,5675
2022-08-08,5995,6000,5915,5955,5763
2022-08-15,5915,6000,5905,6000,2547
2022-08-22,5955,6000,5920,5920,3867
2022-08-29,5910,6000,5905,5950,1129
2022-09-05,5950,5980,5600,5600,4820
2022-09-12,5840,5840,5490,5800,4011
2022-09-19,5695,6000,5695,5990,10988
2022-09-26,5950,6100,5950,6000,55703
2022-10-03,5980,6450,5810,6100,17561
2022-10-10,5705,6150,5705,5995,20604
2022-10-17,5755,6100,5755,6100,6411
2022-10-24,5875,6150,5700,6100,3683
2022-10-31,6000,6125,5715,6095,3209
2022-11-07,6080,6080,5715,6045,2023
2022-11-14,6045,6045,5310,5310,6858
2022-11-21,5500,5700,5310,5500,3120
2022-11-28,5500,5700,5435,5600,4023
2022-12-05,5600,5685,5370,5685,4704
2022-12-12,5685,5700,5685,5695,4453
2022-12-19,5680,5680,5335,5680,2701
2022-12-26,5500,5675,5280,5675,7888
2023-01-02,5675,5675,5500,5670,11829
2023-01-09,5665,5700,5255,5405,11891
2023-01-16,5405,5405,5390,5390,19216
2023-01-23,5390,5750,5350,5740,6811
2023-01-30,5700,5700,5300,5475,10490
2023-02-06,5475,5750,5355,5695,4744
2023-02-13,5690,5690,5555,5680,1521
2023-02-20,5685,5800,5600,5600,4998
2023-02-27,5600,5750,5595,5695,5074
2023-03-06,5695,5695,5600,5690,1634
2023-03-13,5690,5795,5500,5780,4862
2023-03-20,5790,5790,5400,5690,1665
2023-03-27,5690,5700,5625,5625,2724
2023-04-03,5410,5780,5325,5580,11163
2023-04-10,5400,5590,5400,5500,677
2023-04-17,5590,5590,5300,5495,1945
2023-04-24,5495,5495,5380,5380,2526
2023-05-01,5380,5500,5380,5400,15425
2023-05-08,5390,5450,5370,5370,3951
2023-05-15,5370,5370,4600,4660,6125
2023-05-22,4660,4700,4660,4700,8980
2023-05-29,4700,5000,4695,4945,8757
2023-06-05,4995,5280,4995,5010,49479
2023-06-12,5015,5015,4800,4900,8981
2023-06-19,4800,4850,4800,4800,2781
2023-06-26,4800,4830,4720,4795,3932
2023-07-03,4795,4800,4780,4780,2757
2023-07-10,4780,4800,4730,4730,34798
2023-07-17,4730,4750,4070,4245,46735
2023-07-24,4245,4245,4075,4075,12176
2023-07-31,4100,4100,3800,3890,9567
2023-08-07,3890,3890,3600,3800,8575
2023-08-14,3845,3845,3705,3780,4785
2023-08-21,3780,3890,3705,3870,19403
2023-08-28,3875,4000,3850,3985,5813
2023-09-04,3980,3990,3650,3750,4257
2023-09-11,3745,3900,3650,3725,8880
2023-09-18,3720,3790,3645,3695,17089
2023-09-25,3530,3795,3565,3750,15021
2023-10-02,3750,3750,3435,3695,9879
2023-10-09,3700,3700,3450,3480,10763
2023-10-16,3480,3650,3400,3650,31465
2023-10-23,3650,3785,3400,3750,23710
2023-10-30,3750,3750,3165,3165,3293
2023-11-06,2965,3165,2590,2780,6701
2023-11-13,2770,2780,2405,2770,12056
2023-11-20,2760,2770,2510,2595,12230
2023-11-27,2595,2610,2590,2605,23046
2023-12-04,2600,2795,2580,2790,4572
2023-12-11,2785,2790,2670,2745,10432
2023-12-18,2735,3445,2720,3350,15484
2023-12-25,3350,3600,3120,3300,2999
2024-01-01,3300,3300,3020,3270,12839
2024-01-08,3200,3270,3025,3235,31325
2024-01-15,3200,3240,3020,3200,12873
2024-01-22,3195,3200,3075,3090,3055
2024-01-29,3090,3100,3050,3080,3848
2024-02-05,3050,3080,3020,3040,732
2024-02-12,3035,3080,3040,3080,1785
2024-02-19,3050,3200,2950,3200,16688
2024-02-26,3200,3200,3050,3195,3041
2024-03-04,3195,3200,3100,3200,10007
2024-03-11,3200,3400,3200,3300,14385
2024-03-18,3300,3760,3200,3760,4896
2024-03-25,3740,4000,3500,3695,3676
2024-04-01,3500,3895,3460,3895,3346
2024-04-08,3875,3895,3500,3625,2108
2024-04-15,3750,3790,3500,3500,4341
2024-04-22,3500,3550,3420,3450,6608
2024-04-29,3450,3450,3180,3350,1791
2024-05-06,3280,3350,3065,3190,5011
2024-05-13,3190,3200,2965,3190,6507
2024-05-20,3000,3200,3000,3200,3457
2024-05-27,3195,3200,2915,3140,18803
2024-06-03,3140,3190,3025,3125,15968
2024-06-10,3120,3600,3040,3600,17187
2024-06-17,3500,3600,3200,3580,18077
2024-06-24,3575,3745,3320,3725,3265
2024-07-01,3525,3725,3500,3600,10530
2024-07-08,3650,3750,3600,3750,6542
2024-07-15,3800,3885,3750,3875,10135
2024-07-22,3750,3875,3600,3800,4001
2024-07-29,3790,3875,3785,3850,5489
2024-08-05,3850,3995,3800,3930,6530
2024-08-12,3930,3930,3805,3900,3028
2024-08-19,3900,3900,3790,3860,6115
2024-08-26,3860,3900,3700,3895,8606
2024-09-02,3870,3900,3700,3800,8023
2024-09-09,3750,4000,3750,3900,3571
2024-09-16,3900,3990,3690,3970,24520
2024-09-23,3755,3980,3700,3960,2403
2024-09-30,3950,3960,3700,3935,3530
2024-10-07,3800,3960,3800,3960,12068
2024-10-14,3985,4570,3960,4450,20560
2024-10-21,4400,4450,4320,4320,15434
2024-10-28,4320,4450,4250,4385,9369
2024-11-04,4385,4790,4305,4790,7628
2024-11-11,4700,4790,4200,4450,14733
2024-11-18,4455,4515,4200,4500,21060
2024-11-25,4500,4700,4395,4590,21731
2024-12-02,4500,4690,4375,4600,6857
2024-12-09,4595,4885,4500,4690,22354
2024-12-16,4690,4690,4595,4600,62441
2024-12-23,4500,4745,4500,4620,47587
2024-12-30,4620,4620,4550,4555,1623
2025-01-06,4555,4615,4500,4600,5276
2025-01-13,4600,4600,4415,4415,9331
2025-01-20,4420,4505,4380,4500,13402
2025-01-27,4500,4500,4400,4490,17740
2025-02-03,4410,4500,4375,4375,22182
2025-02-10,4490,4750,4375,4700,9790
2025-02-17,4700,4740,4350,4700,29208
2025-02-24,4700,4925,4700,4925,17441
2025-03-03,4925,4995,4750,4830,25035
2025-03-10,4830,5295,4700,5295,13748
2025-03-17,5280,5295,4900,5200,21159
2025-03-24,5200,5495,5200,5400,25379
2025-03-31,5450,5500,5300,5500,29026
2025-04-07,5200,5790,5040,5445,23549
2025-04-14,5440,5445,4810,5245,11622
2025-04-21,5245,5330,5200,5330,5581
2025-04-28,5490,6045,5330,6045,55870
2025-05-05,6145,6200,5900,6095,31494
2025-05-12,6095,6795,6095,6605,46832
2025-05-19,6660,6995,6605,6985,17936
2025-05-26,6880,7380,6385,7005,30329
2025-06-02,7150,7300,7005,7180,18303
2025-06-09,7180,7285,7065,7200,22282
2025-06-16,7070,7900,7075,7605,17592
2025-06-23,7610,8580,7605,8450,13862
2025-06-30,8445,8450,7905,8100,18654
2025-07-07,8000,8250,7800,7950,37588
2025-07-14,7900,7950,7000,7400,41193
2025-07-21,7160,7400,7005,7300,29814
2025-07-28,7300,7400,7100,7340,26113
2025-08-04,7400,7600,7325,7550,8101
2025-08-11,7560,7750,7500,7500,33467
2025-08-18,7500,7750,7220,7500,28293
2025-08-25,7500,7540,7450,7490,26019
2025-09-01,7485,7890,7485,7500,31676
2025-09-08,7650,7840,7485,7840,25469
2025-09-15,7840,7900,7550,7810,95768
2025-09-22,7845,7900,7600,7895,63506
2025-09-29,7895,8985,7755,8590,57087
2025-10-06,8590,9000,8400,8980,33806
2025-10-13,9000,8990,8605,8710,14997
2025-10-20,8785,8895,8600,8705,16922
2025-10-27,8705,8770,8350,8700,17815
