Date,Open,High,Low,Close,Volume
2020-11-04,1395,1400,1395,1400,285
2020-11-09,1400,1400,1400,1400,55
2020-11-10,1380,1380,1380,1380,3
2020-11-11,1400,1400,1380,1380,891
2020-11-12,1400,1400,1400,1400,72
2020-11-13,1380,1390,1380,1390,1970
2020-11-18,1320,1320,1320,1320,250
2020-11-19,1320,1320,1320,1320,20
2020-11-23,1345,1390,1330,1390,3977
2020-11-24,1400,1490,1400,1490,1505
2020-11-25,1490,1490,1490,1490,358
2020-11-27,1500,1500,1500,1500,659
2020-11-30,1390,1390,1390,1390,40
2020-12-02,1340,1340,1340,1340,12
2020-12-03,1315,1315,1315,1315,60
2020-12-04,1400,1400,1400,1400,10
2020-12-09,1350,1350,1350,1350,70
2020-12-10,1345,1345,1345,1345,50
2020-12-11,1300,1320,1300,1320,30
2020-12-14,1320,1320,1320,1320,1024
2020-12-15,1310,1310,1310,1310,215
2020-12-16,1320,1350,1320,1350,1100
2020-12-17,1350,1350,1350,1350,801
2020-12-21,1360,1360,1360,1360,500
2020-12-22,1360,1360,1360,1360,54
2020-12-23,1400,1400,1400,1400,235
2020-12-24,1375,1375,1375,1375,248
2020-12-28,1360,1360,1350,1350,192
2020-12-29,1375,1400,1350,1400,980
2020-12-30,1400,1400,1350,1350,1284
2020-12-31,1350,1400,1350,1400,315
2021-01-05,1400,1400,1400,1400,500
2021-01-06,1400,1400,1390,1390,27
2021-01-07,1305,1305,1305,1305,21
2021-01-08,1400,1400,1400,1400,1300
2021-01-11,1305,1305,1300,1300,445
2021-01-12,1300,1300,1300,1300,190
2021-01-14,1395,1395,1395,1395,2904
2021-01-19,1390,1400,1350,1350,1015
2021-01-20,1350,1350,1350,1350,310
2021-01-22,1400,1400,1350,1350,1020
2021-01-25,1400,1400,1400,1400,2480
2021-01-26,1400,1400,1400,1400,825
2021-01-27,1395,1400,1395,1400,1135
2021-01-28,1410,1420,1410,1420,1020
2021-01-29,1495,1495,1495,1495,1
2021-02-01,1495,1495,1495,1495,29
2021-02-02,1600,1600,1600,1600,101
2021-02-03,1600,1720,1600,1720,503
2021-02-04,1675,1720,1660,1720,443
2021-02-08,1700,1795,1680,1700,2490
2021-02-09,1755,1820,1755,1820,165
2021-02-10,1830,1830,1830,1830,519
2021-02-11,1830,1850,1830,1830,4260
2021-02-12,1830,1850,1830,1850,1798
2021-02-15,1830,1850,1830,1830,1162
2021-02-16,1960,1960,1730,1730,510
2021-02-17,1700,1700,1700,1700,130
2021-02-19,1800,1800,1800,1800,1460
2021-02-23,1800,1800,1705,1705,1260
2021-02-24,1725,1750,1725,1750,248
2021-02-25,1725,1725,1725,1725,32
2021-02-26,1800,1850,1800,1850,800
2021-03-02,1845,1850,1845,1845,236
2021-03-03,1850,1850,1850,1850,128
2021-03-04,1850,1860,1850,1860,100
2021-03-05,1860,1980,1860,1980,55
2021-03-08,1975,1980,1975,1980,478
2021-03-09,1990,2000,1990,2000,354
2021-03-10,2020,2020,2020,2020,20
2021-03-11,2085,2085,2005,2085,511
2021-03-12,2080,2100,2080,2100,413
2021-03-15,2200,2200,2190,2200,1780
2021-03-16,2250,2260,2220,2260,1167
2021-03-17,2260,2365,2260,2365,508
2021-03-18,2520,2520,2430,2430,32
2021-03-19,2450,2520,2450,2520,139
2021-03-22,2515,2520,2370,2370,180
2021-03-23,2450,2450,2450,2450,1
2021-03-24,2270,2425,2270,2425,6
2021-03-25,2245,2410,2245,2400,954
2021-03-26,2400,2410,2400,2410,56
2021-03-29,2400,2410,2400,2400,399
2021-03-30,2310,2310,2220,2220,15
2021-03-31,2055,2100,2055,2100,731
2021-04-01,2100,2100,2100,2100,20
2021-04-02,2100,2100,2100,2100,10
2021-04-06,2060,2060,2050,2060,214
2021-04-07,2050,2050,2050,2050,25
2021-04-08,2000,2000,1950,1950,210
2021-04-09,1910,1950,1905,1950,105
2021-04-12,2000,2000,1900,2000,1901
2021-04-13,2000,2000,2000,2000,1164
2021-04-14,2000,2150,2000,2150,1796
2021-04-15,2090,2245,2090,2245,141
2021-04-16,2245,2300,2150,2300,253
2021-04-19,2300,2300,2300,2300,1
2021-04-20,2295,2300,2150,2300,520
2021-04-21,2300,2300,2150,2150,339
2021-04-22,2310,2310,2310,2310,2
2021-04-23,2400,2400,2400,2400,352
2021-04-26,2580,2580,2580,2580,2167
2021-04-27,2580,2685,2580,2630,769
2021-04-28,2575,2575,2435,2570,729
2021-04-29,2400,2545,2400,2545,2308
2021-05-03,2600,2600,2600,2600,760
2021-05-04,2530,2530,2510,2510,230
2021-05-05,2510,2510,2375,2375,3655
2021-05-06,2200,2200,2200,2200,170
2021-05-07,2200,2295,2035,2200,1701
2021-05-10,2160,2200,2160,2200,310
2021-05-11,2300,2300,2300,2300,40
2021-05-14,2300,2300,2300,2300,70
2021-05-17,2300,2305,2300,2305,55
2021-05-18,2305,2405,2305,2400,362
2021-05-19,2300,2300,2220,2300,1080
2021-05-20,2305,2310,2300,2310,267
2021-05-21,2400,2400,2400,2400,50
2021-05-25,2400,2500,2400,2500,432
2021-05-27,2500,2500,2500,2500,687
2021-05-28,2500,2500,2500,2500,337
2021-05-31,2500,2550,2500,2550,204
2021-06-01,2600,2600,2600,2600,16
2021-06-02,2600,2680,2600,2680,327
2021-06-03,2690,2730,2690,2730,714
2021-06-04,2680,2700,2605,2700,3794
2021-06-07,2700,2700,2605,2695,867
2021-06-08,2685,2685,2610,2610,156
2021-06-09,2650,2650,2600,2600,404
2021-06-10,2700,2700,2700,2700,490
2021-06-14,2650,2730,2650,2730,31
2021-06-15,2725,2725,2725,2725,417
2021-06-16,2700,2725,2700,2725,410
2021-06-17,2725,2725,2725,2725,450
2021-06-18,2700,2700,2700,2700,10
2021-06-21,2725,2730,2700,2700,111
2021-06-25,2700,2700,2700,2700,5
2021-06-29,2650,2700,2650,2700,297
2021-06-30,2630,2630,2630,2630,800
2021-07-01,2640,2700,2630,2700,350
2021-07-02,2700,2700,2700,2700,150
2021-07-06,2700,2700,2700,2700,10
2021-07-07,2610,2610,2610,2610,60
2021-07-08,2610,2730,2610,2730,69
2021-07-09,2610,2610,2610,2610,5
2021-07-12,2750,2750,2750,2750,153
2021-07-13,2750,2925,2750,2925,551
2021-07-14,2750,2760,2750,2760,41
2021-07-15,2920,2920,2920,2920,560
2021-07-16,2980,3100,2980,3100,401
2021-07-19,3110,3135,3110,3135,404
2021-07-21,3135,3135,3000,3000,1162
2021-07-22,3000,3000,3000,3000,5
2021-07-23,3200,3200,3200,3200,114
2021-07-26,3200,3200,3200,3200,18
2021-07-27,3250,3250,3250,3250,148
2021-07-28,3300,3305,3300,3305,82
2021-07-29,3305,3400,3305,3400,862
2021-07-30,3500,3500,3500,3500,943
2021-08-02,3445,3500,3445,3500,164
2021-08-03,3505,3700,3505,3700,151
2021-08-04,3650,3650,3650,3650,4
2021-08-05,3650,3650,3650,3650,4
2021-08-06,3650,3650,3650,3650,16
2021-08-09,3650,3650,3650,3650,99
2021-08-10,3645,3645,3645,3645,87
2021-08-11,3640,3650,3640,3645,501
2021-08-12,3645,3645,3645,3645,200
2021-08-13,3520,3680,3520,3680,280
2021-08-16,3675,3680,3515,3515,310
2021-08-17,3680,3680,3680,3680,166
2021-08-18,3600,3700,3600,3700,68
2021-08-19,3695,3695,3695,3695,164
2021-08-23,3650,3650,3650,3650,10
2021-08-24,3650,3750,3650,3750,2814
2021-08-25,3750,3755,3700,3750,1628
2021-08-26,3795,3795,3795,3795,21
2021-08-27,3800,3800,3800,3800,50
2021-08-30,3795,3795,3750,3795,91
2021-08-31,3795,3795,3595,3700,220
2021-09-01,3700,3850,3700,3850,552
2021-09-02,3850,3850,3850,3850,45
2021-09-03,3900,3950,3900,3950,2934
2021-09-06,3950,4095,3950,4095,1285
2021-09-07,4095,4135,4095,4135,41
2021-09-08,4135,4395,4130,4130,110
2021-09-09,4135,4135,4100,4100,135
2021-09-10,4100,4390,4100,4390,79750
2021-09-13,4440,4440,4135,4250,92
2021-09-14,4250,4250,4130,4130,535
2021-09-15,4130,4200,4130,4195,20150
2021-09-16,4100,4180,4100,4180,121
2021-09-17,4160,4250,4160,4250,928
2021-09-20,4250,4250,4160,4160,55085
2021-09-21,4155,4200,4155,4200,85
2021-09-22,4200,4460,4170,4170,922
2021-09-23,4105,4400,4105,4250,2037
2021-09-24,4250,4450,4250,4450,1055
2021-09-27,4450,4450,4450,4450,105
2021-09-28,4450,4450,4350,4450,562
2021-09-29,4300,4500,4300,4500,1589
2021-09-30,4500,4835,4305,4835,2684
2021-10-01,5195,5195,5195,5195,201
2021-10-04,5580,5580,5580,5580,1278
2021-10-05,5995,5995,5580,5600,908
2021-10-06,5500,5600,5500,5580,6136
2021-10-07,5250,5575,5200,5200,901
2021-10-08,5205,5205,5195,5195,3420
2021-10-11,5500,5500,5390,5395,209
2021-10-12,5390,5390,5390,5390,12
2021-10-13,5200,5290,5200,5290,610
2021-10-14,5200,5500,5200,5500,1778
2021-10-15,5380,5380,5090,5380,540
2021-10-19,5380,5400,5380,5400,1680
2021-10-20,5390,5400,5390,5400,184
2021-10-21,5390,5395,5000,5390,2481
2021-10-22,5200,5390,5025,5390,954
2021-10-25,5385,5390,5385,5390,456
2021-10-26,5390,5390,5385,5390,372
2021-10-27,5385,5385,5385,5385,67
2021-10-28,5300,5300,5270,5300,915
2021-10-29,5300,5300,5270,5270,164
2021-11-03,5400,5500,5395,5485,4720
2021-11-04,5270,5540,5270,5395,1705
2021-11-05,5395,5550,5300,5300,955
2021-11-08,5300,5550,5250,5550,1712
2021-11-09,5275,5275,5275,5275,120
2021-11-10,5275,5350,5200,5350,1924
2021-11-11,5300,5300,5205,5205,162
