Date,Open,High,Low,Close,Volume
2020-12-31,1380,1500,1300,1400,15959
2021-03-31,1400,2520,1300,2100,37366
2021-06-30,2100,2730,1900,2630,32735
2021-09-30,2640,4835,2610,4835,183938
2021-12-31,5195,5995,4820,5195,150221
2022-03-31,4875,5500,4720,5285,137401
2022-06-30,5285,6375,5105,6200,100420
2022-09-30,6200,6345,5100,5800,143690
2022-12-31,5900,5900,4575,4995,95894
2023-03-31,4995,5540,4450,5090,123604
2023-06-30,4995,5000,2900,3200,114662
2023-09-30,3200,3485,2600,2700,150482
2023-12-31,2700,2800,1800,2350,94380
2024-03-31,2320,2580,2040,2580,84248
2024-06-30,2580,2800,2005,2800,178006
2024-09-30,2800,3500,2750,3475,108199
2024-12-31,3500,4570,3300,4140,162081
2025-03-31,4140,4900,3700,4695,178996
2025-06-30,4695,7300,3920,7195,195186
2025-09-30,7000,8180,6110,7410,439110
2025-12-31,7890,8585,7120,7485,238877
