Date,Open,High,Low,Close,Volume
2020-10-26,1280,1280,1280,1280,100
2020-11-02,1290,1350,1290,1350,1382
2020-11-09,1395,1400,1395,1400,353
2020-11-16,1380,1400,1380,1390,2936
2020-11-23,1320,1390,1320,1390,4247
2020-11-30,1400,1500,1390,1390,2562
2020-12-07,1340,1400,1315,1400,82
2020-12-14,1350,1350,1300,1320,1174
2020-12-21,1310,1360,1310,1360,2616
2020-12-28,1360,1400,1350,1350,729
2021-01-04,1375,1400,1350,1400,2579
2021-01-11,1400,1400,1300,1300,2293
2021-01-18,1300,1395,1300,1395,3094
2021-01-25,1390,1400,1350,1400,4825
2021-02-01,1400,1495,1395,1495,3010
2021-02-08,1600,1795,1600,1700,3537
2021-02-15,1755,1850,1755,1830,7904
2021-02-22,1960,1960,1700,1800,2100
2021-03-01,1800,1850,1705,1850,2340
2021-03-08,1845,1980,1845,1980,997
2021-03-15,1990,2200,1990,2200,3078
2021-03-22,2250,2520,2220,2370,2026
2021-03-29,2450,2450,2245,2400,1416
2021-04-05,2310,2310,2055,2100,776
2021-04-12,2060,2060,1900,2000,2455
2021-04-19,2000,2300,2000,2300,3355
2021-04-26,2295,2580,2150,2580,3380
2021-05-03,2580,2685,2400,2600,4566
2021-05-10,2530,2530,2035,2200,6066
2021-05-17,2300,2305,2300,2305,165
2021-05-24,2305,2405,2220,2400,1759
2021-05-31,2400,2550,2400,2550,1660
2021-06-07,2600,2730,2600,2695,5718
2021-06-14,2685,2730,2600,2730,1081
2021-06-21,2725,2730,2700,2700,1398
2021-06-28,2700,2700,2700,2700,5
2021-07-05,2650,2700,2630,2700,1597
2021-07-12,2700,2750,2610,2750,297
2021-07-19,2750,3135,2750,3135,1957
2021-07-26,3135,3200,3000,3200,1299
2021-08-02,3250,3500,3250,3500,2199
2021-08-09,3505,3700,3505,3650,274
2021-08-16,3645,3680,3515,3515,1378
2021-08-23,3680,3700,3600,3650,408
2021-08-30,3650,3800,3650,3795,4604
2021-09-06,3795,4095,3595,4095,5036
2021-09-13,4095,4440,4095,4250,80128
2021-09-20,4250,4250,4100,4160,76819
2021-09-27,4155,4460,4105,4450,4204
2021-10-04,4450,5580,4300,5580,6314
2021-10-11,5995,5995,5195,5395,11574
2021-10-18,5390,5500,5090,5380,2940
2021-10-25,5380,5400,5000,5390,5755
2021-11-01,5390,5390,5270,5270,1518
2021-11-08,5400,5550,5250,5550,9092
2021-11-15,5275,5350,5200,5200,2608
2021-11-22,5100,5300,5005,5300,2497
2021-11-29,5300,5300,4820,5295,74935
2021-12-06,5250,5370,4910,5100,12216
2021-12-13,5100,5300,5000,5000,4554
2021-12-20,5100,5290,4895,5000,11235
2021-12-27,4900,5200,4865,5195,7371
2022-01-03,4880,5195,4880,5195,2447
2022-01-10,4875,5175,4875,5080,931
2022-01-17,5080,5100,4950,5100,1878
2022-01-24,4970,5100,4970,5100,1895
2022-01-31,5100,5205,4810,5200,3405
2022-02-07,5200,5205,4950,5000,6215
2022-02-14,4960,5200,4960,5100,31245
2022-02-21,5025,5150,5000,5100,17719
2022-02-28,5100,5150,4720,5095,14114
2022-03-07,5095,5200,5000,5195,7666
2022-03-14,5150,5500,5010,5490,16911
2022-03-21,5400,5495,5200,5400,13950
2022-03-28,5200,5495,5200,5490,8704
2022-04-04,5490,5490,5105,5200,13392
2022-04-11,5105,5480,5105,5340,2539
2022-04-18,5215,5470,5215,5335,3080
2022-04-25,5345,5345,5210,5300,6706
2022-05-02,5340,5350,5300,5310,2911
2022-05-09,5310,5500,5310,5465,13060
2022-05-16,5350,6350,5350,6340,8502
2022-05-23,6350,6350,5650,5900,5700
2022-05-30,5500,5900,5460,5895,3307
2022-06-06,5485,5910,5485,5800,2612
2022-06-13,5700,6000,5700,6000,797
2022-06-20,6000,6375,6000,6350,8996
2022-06-27,6340,6375,6200,6200,30787
2022-07-04,6200,6300,6200,6200,10932
2022-07-11,6105,6345,6100,6200,703
2022-07-18,6100,6250,6075,6250,3357
2022-07-25,6135,6250,6100,6100,19989
2022-08-01,6050,6245,5900,6245,14332
2022-08-08,6000,6235,5770,5995,16276
2022-08-15,6000,6000,5550,5975,1277
2022-08-22,5900,5900,5460,5875,9239
2022-08-29,5875,5900,5500,5875,1151
2022-09-05,5900,5900,5700,5700,9762
2022-09-12,5700,5705,5400,5500,23932
2022-09-19,5500,5700,5450,5700,30511
2022-09-26,5600,5700,5100,5400,1403
2022-10-03,5395,5900,5300,5800,11654
2022-10-10,5795,5800,5000,5200,11820
2022-10-17,5200,5200,4720,4725,2527
2022-10-24,4725,5190,4575,5095,4375
2022-10-31,5050,5420,4720,5420,5375
2022-11-07,5395,5400,5000,5300,5723
2022-11-14,5300,5300,5000,5200,24526
2022-11-21,4810,5420,4810,5420,2618
2022-11-28,5015,5420,5000,5395,3797
2022-12-05,5370,5400,4905,5200,10271
2022-12-12,5190,5400,4860,5400,2015
2022-12-19,5200,5550,5100,5550,5841
2022-12-26,5500,5500,5500,5500,55
2023-01-02,5500,5500,4995,4995,16922
2023-01-09,4995,5090,4710,5060,2434
2023-01-16,5000,5060,4685,4900,381
2023-01-23,4850,5435,4450,5435,2406
2023-01-30,5195,5500,5000,5500,5029
2023-02-06,5090,5540,5015,5395,1142
2023-02-13,5385,5400,5300,5395,23477
2023-02-20,5395,5395,5005,5375,8626
2023-02-27,5005,5400,5000,5390,3644
2023-03-06,5390,5390,4900,5350,47400
2023-03-13,5300,5340,5100,5100,1839
2023-03-20,5100,5300,4870,5000,8022
2023-03-27,5000,5000,4815,5000,14943
2023-04-03,4995,5100,4995,5000,4510
2023-04-10,4995,5000,4800,4900,1352
2023-04-17,4805,4845,4605,4695,9454
2023-04-24,4605,4605,4550,4550,5984
2023-05-01,4405,4600,4305,4340,4530
2023-05-08,4300,4595,4300,4570,12984
2023-05-15,4565,4565,4120,4230,6902
2023-05-22,4300,4300,4170,4170,570
2023-05-29,4000,4150,3805,3990,3586
2023-06-05,3700,3700,3300,3300,17935
2023-06-12,3300,3300,3200,3200,2995
2023-06-19,3250,3250,3160,3160,6338
2023-06-26,2955,3000,2940,2990,18217
2023-07-03,2980,3260,2900,3145,23851
2023-07-10,3140,3150,3000,3015,5918
2023-07-17,3015,3025,2600,3000,18429
2023-07-24,2990,3000,2800,2995,15052
2023-07-31,2995,3200,2980,3200,5832
2023-08-07,3300,3410,2975,3150,3304
2023-08-14,3190,3190,3100,3150,5537
2023-08-21,3150,3350,3000,3095,7745
2023-08-28,3095,3095,3000,3050,19489
2023-09-04,3050,3095,3000,3095,7454
2023-09-11,3150,3200,3095,3150,7778
2023-09-18,3150,3485,3145,3295,14090
2023-09-25,3395,3395,2910,3095,29872
2023-10-02,2595,3095,2700,2800,9883
2023-10-09,2795,2800,2490,2600,10160
2023-10-16,2600,2660,2500,2600,5569
2023-10-23,2600,2640,2500,2590,1833
2023-10-30,2590,2600,2450,2450,4331
2023-11-06,2450,2500,2305,2390,1512
2023-11-13,2395,2395,2300,2370,1885
2023-11-20,2370,2370,2200,2200,2403
2023-11-27,2200,2200,1980,2000,31013
2023-12-04,2000,2000,1990,1990,7204
2023-12-11,1990,1990,1860,1860,6682
2023-12-18,1810,1870,1820,1820,6000
2023-12-25,1820,2200,1800,2200,9936
2024-01-01,2200,2350,2090,2350,5666
2024-01-08,2320,2500,2295,2445,15881
2024-01-15,2400,2445,2040,2200,9871
2024-01-22,2340,2340,2125,2125,3602
2024-01-29,2125,2295,2120,2290,1479
2024-02-05,2120,2290,2120,2270,458
2024-02-12,2270,2270,2105,2250,877
2024-02-19,2100,2270,2085,2235,2250
2024-02-26,2200,2235,2065,2200,12304
2024-03-04,2200,2235,2070,2200,5727
2024-03-11,2200,2390,2200,2300,13404
2024-03-18,2390,2450,2260,2400,14005
2024-03-25,2400,2550,2400,2550,3164
2024-04-01,2415,2580,2415,2580,1226
2024-04-08,2580,2580,2410,2550,6302
2024-04-15,2450,2550,2180,2180,7518
2024-04-22,2180,2220,2005,2155,60758
2024-04-29,2150,2580,2120,2580,8451
2024-05-06,2580,2580,2180,2180,7875
2024-05-13,2020,2340,2020,2340,23052
2024-05-20,2300,2500,2215,2450,2272
2024-05-27,2450,2475,2265,2470,7800
2024-06-03,2400,2470,2250,2380,1973
2024-06-10,2375,2450,2220,2430,19065
2024-06-17,2430,2585,2250,2495,15696
2024-06-24,2490,2580,2435,2580,11314
2024-07-01,2580,2820,2430,2750,5966
2024-07-08,2750,2995,2750,2980,2187
2024-07-15,2980,3035,2800,3000,32483
2024-07-22,3000,3000,2850,2990,2047
2024-07-29,2980,3035,2800,3000,7309
2024-08-05,2900,3020,2800,3010,9031
2024-08-12,3010,3010,2800,2995,1077
2024-08-19,3020,3030,2990,2990,15746
2024-08-26,2900,3100,2900,3045,8818
2024-09-02,3050,3305,3020,3305,9348
2024-09-09,3150,3500,3130,3395,4932
2024-09-16,3400,3400,3150,3200,4192
2024-09-23,3200,3400,3200,3400,3424
2024-09-30,3400,3475,3350,3475,7569
2024-10-07,3500,3700,3300,3600,11011
2024-10-14,3670,4300,3600,4005,9793
2024-10-21,4125,4050,3900,3965,21584
2024-10-28,3965,4100,3700,4000,5226
2024-11-04,4120,4570,3700,4560,19759
2024-11-11,4510,4560,4000,4290,23504
2024-11-18,4300,4390,4075,4150,20045
2024-11-25,4150,4205,4105,4145,19157
2024-12-02,4140,4245,4070,4150,6998
2024-12-09,4150,4300,4150,4210,10097
2024-12-16,4215,4220,4180,4205,3012
2024-12-23,4205,4300,4150,4150,6751
2024-12-30,4190,4190,4100,4140,4017
2025-01-06,4150,4190,4050,4190,5433
2025-01-13,4160,4190,3990,4000,13858
2025-01-20,3985,4000,3710,3790,14093
2025-01-27,3780,3790,3740,3750,7366
2025-02-03,3790,3790,3700,3740,8879
2025-02-10,3735,4045,3700,3990,20385
2025-02-17,3995,4300,3990,4290,29070
2025-02-24,4290,4400,4290,4350,17644
2025-03-03,4350,4400,4300,4400,10644
2025-03-10,4400,4450,4345,4440,7960
2025-03-17,4440,4500,4355,4400,17503
2025-03-24,4400,4900,4395,4750,22479
2025-03-31,4805,4805,4600,4695,4809
2025-04-07,4695,4700,4345,4600,15220
2025-04-14,4595,4625,3920,4625,21608
2025-04-21,4650,4695,4400,4445,3058
2025-04-28,4445,5030,4445,5405,18513
2025-05-05,5790,5790,5305,5350,27709
2025-05-12,5355,5895,5320,5895,15611
2025-05-19,5985,6200,5895,6150,10105
2025-05-26,6150,6300,5800,6000,12081
2025-06-02,6300,6305,5950,6030,15837
2025-06-09,6025,6030,5960,5960,5960
2025-06-16,6000,6550,5960,6540,21686
2025-06-23,6500,7200,6500,7200,16513
2025-06-30,7200,7300,6950,7195,11285
2025-07-07,7000,7195,6995,7050,18423
2025-07-14,7050,7050,6205,6455,30277
2025-07-21,6395,6455,6110,6300,189447
2025-07-28,6300,6300,6160,6205,17375
2025-08-04,6250,6550,6200,6400,52135
2025-08-11,6400,6700,6210,6510,8182
2025-08-18,6510,6720,6305,6595,14955
2025-08-25,6595,6795,6550,6790,18603
2025-09-01,6720,6990,6720,6845,9188
2025-09-08,6855,6980,6760,6860,11719
2025-09-15,6860,6950,6850,6990,14753
2025-09-22,6990,7300,6990,7275,23742
2025-09-29,7265,8180,7085,7905,27414
2025-10-06,7995,8585,7410,8585,40534
2025-10-13,7945,8585,7500,7800,58937
2025-10-20,7750,8250,7690,7990,40796
2025-10-27,8150,8250,7990,8195,14988
