Date,Open,High,Low,Close,Volume
2020-12-31,275,320,275,280,32451
2021-03-31,300,320,265,270,34143
2021-06-30,290,810,260,680,157476
2021-09-30,680,745,615,660,58146
2021-12-31,660,775,650,730,49494
2022-03-31,720,2250,690,1380,159026
2022-06-30,1400,1860,1330,1395,50679
2022-09-30,1360,1600,1125,1390,13246
2022-12-31,1350,1420,905,950,29192
2023-03-31,950,1190,900,1050,62827
2023-06-30,1050,1180,850,1005,72600
2023-09-30,1005,1150,950,1145,34424
2023-12-31,1145,1150,695,900,32588
2024-03-31,900,900,750,800,9116
2024-06-30,800,805,685,695,10186
2024-09-30,695,780,650,700,23935
2024-12-31,700,700,405,450,32895
2025-03-31,445,715,410,580,56588
2025-06-30,585,645,440,560,68738
2025-09-30,565,1100,520,1050,92992
2025-12-31,1040,1300,995,1160,57496
