Date,Open,High,Low,Close,Volume
2020-11-09,275.0,275.0,275.0,275.0,320
2020-11-16,275.0,285.0,275.0,275.0,4240
2020-11-23,275.0,275.0,275.0,275.0,4530
2020-12-07,275.0,275.0,275.0,275.0,8200
2020-12-14,280.0,280.0,280.0,280.0,600
2020-12-21,280.0,280.0,280.0,280.0,9356
2020-12-28,280.0,300.0,280.0,300.0,2585
2021-01-04,300.0,320.0,280.0,280.0,2920
2021-01-11,300.0,300.0,300.0,300.0,400
2021-01-18,300.0,300.0,300.0,300.0,100
2021-01-25,300.0,300.0,300.0,300.0,200
2021-02-01,300.0,300.0,300.0,300.0,4702
2021-02-08,320.0,320.0,320.0,320.0,35
2021-02-15,300.0,305.0,300.0,305.0,400
2021-02-22,300.0,300.0,280.0,280.0,2190
2021-03-01,280.0,280.0,280.0,280.0,50
2021-03-08,300.0,300.0,300.0,300.0,1310
2021-03-15,280.0,285.0,265.0,265.0,23295
2021-03-22,280.0,280.0,280.0,280.0,1001
2021-03-29,270.0,270.0,270.0,270.0,460
2021-04-05,290.0,300.0,290.0,300.0,405
2021-04-12,300.0,300.0,285.0,300.0,1851
2021-04-19,320.0,340.0,300.0,300.0,35935
2021-04-26,295.0,300.0,260.0,300.0,6746
2021-05-03,300.0,415.0,300.0,415.0,14174
2021-05-10,445.0,545.0,445.0,540.0,61811
2021-05-17,580.0,580.0,540.0,540.0,1767
2021-05-24,570.0,570.0,545.0,565.0,8596
2021-05-31,545.0,545.0,500.0,535.0,4997
2021-06-07,530.0,605.0,530.0,585.0,5683
2021-06-14,600.0,770.0,600.0,770.0,5108
2021-06-21,765.0,810.0,715.0,740.0,5393
2021-06-28,735.0,740.0,695.0,695.0,4291
2021-07-05,695.0,700.0,645.0,645.0,2539
2021-07-12,655.0,745.0,645.0,710.0,2215
2021-07-19,710.0,710.0,650.0,700.0,1404
2021-07-26,700.0,705.0,700.0,700.0,2632
2021-08-02,690.0,705.0,675.0,690.0,2662
2021-08-09,690.0,720.0,690.0,695.0,3071
2021-08-16,690.0,695.0,675.0,675.0,592
2021-08-23,675.0,675.0,615.0,650.0,8291
2021-08-30,650.0,655.0,635.0,645.0,4365
2021-09-06,620.0,660.0,620.0,655.0,4965
2021-09-13,695.0,700.0,650.0,650.0,7520
2021-09-20,695.0,700.0,670.0,695.0,3739
2021-09-27,700.0,700.0,620.0,680.0,13791
2021-10-04,680.0,680.0,660.0,680.0,2066
2021-10-11,670.0,680.0,650.0,650.0,8333
2021-10-18,660.0,680.0,650.0,670.0,1475
2021-10-25,660.0,745.0,660.0,715.0,2497
