Date,Open,High,Low,Close,Volume
2020-12-31,485,530,440,530,575972
2021-03-31,530,870,525,700,70683
2021-06-30,700,3790,680,3250,245223
2021-09-30,3250,4300,3005,4300,167741
2021-12-31,4300,6180,4010,6180,81444
2022-03-31,6060,6450,5365,6450,52441
2022-06-30,6450,6825,5600,6250,88519
2022-09-30,6250,6375,4650,5935,166552
2022-12-31,5750,6850,4950,6850,41171
2023-03-31,7000,7000,5970,6650,49006
2023-06-30,6700,6700,5900,6330,27166
2023-09-30,6330,7100,5815,6200,72735
2023-12-31,5900,6300,5500,5945,24589
2024-03-31,5940,7000,5600,6800,36119
2024-06-30,6800,7500,6195,7495,89539
2024-09-30,7485,7495,6500,7100,152313
2024-12-31,7100,7525,6850,7300,316260
2025-03-31,7300,10200,7225,9950,92611
2025-06-30,9960,18500,9050,17950,205465
2025-09-30,17900,21800,17800,19000,189861
2025-12-31,19000,20265,19000,19795,62552
